"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"2994","","","","0.8615","0.8615","0.8615","0.452","0.452","0.452"
"2995","","","","0.847","0.847","0.847","0.451","0.451","0.451"
"2996","","","","0.876","0.876","0.876","0.4465","0.4465","0.4465"
"2997","","","","0.8775","0.8775","0.8775","0.4505","0.4505","0.4505"
"2998","","","","0.8845","0.8845","0.8845","0.447","0.447","0.447"
"2999","","","","0.853","0.853","0.853","0.4545","0.4545","0.4545"
"3000","","","","0","0","0","0.057","0.057","0.057"
"3001","","","","0.7605","0.7605","0.7605","0.224","0.224","0.224"
"3002","","","","0.7635","0.7635","0.7635","0.294","0.294","0.294"
"3003","","","","0.801","0.801","0.801","0.3365","0.3365","0.3365"
"3004","","","","0.7925","0.7925","0.7925","0.3645","0.3645","0.3645"
"3005","","","","0.811","0.811","0.811","0.377","0.377","0.377"
"3006","","","","0.7925","0.7925","0.7925","0.386","0.386","0.386"
"3007","","","","0.81","0.81","0.81","0.3865","0.3865","0.3865"
"3008","","","","0.7845","0.7845","0.7845","0.3935","0.3935","0.3935"
"3009","","","","0.796","0.796","0.796","0.3965","0.3965","0.3965"
"3010","","","","0.8335","0.8335","0.8335","0.398","0.398","0.398"
"3011","","","","0.815","0.815","0.815","0.3985","0.3985","0.3985"
"3012","","","","0.83","0.83","0.83","0.4015","0.4015","0.4015"
"3013","","","","0.828","0.828","0.828","0.3995","0.3995","0.3995"
"3014","","","","0.805","0.805","0.805","0.4005","0.4005","0.4005"
"3015","","","","0.8215","0.8215","0.8215","0.4005","0.4005","0.4005"
"3016","","","","0.8255","0.8255","0.8255","0.4045","0.4045","0.4045"
"3017","","","","0.7975","0.7975","0.7975","0.4035","0.4035","0.4035"
"3018","","","","0.857","0.857","0.857","0.405","0.405","0.405"
"3019","","","","0.791","0.791","0.791","0.405","0.405","0.405"
"3020","","","","0.8525","0.8525","0.8525","0.401","0.401","0.401"
"3021","","","","0.849","0.849","0.849","0.405","0.405","0.405"
"3022","","","","0.8195","0.8195","0.8195","0.405","0.405","0.405"
"3023","","","","0.8535","0.8535","0.8535","0.407","0.407","0.407"
"3024","","","","0.852","0.852","0.852","0.4065","0.4065","0.4065"
"3025","","","","0","0","0","0.0985","0.0985","0.0985"
"3026","","","","0.7845","0.7845","0.7845","0.2725","0.2725","0.2725"
"3027","","","","0.826","0.826","0.826","0.38","0.38","0.38"
"3028","","","","0.8205","0.8205","0.8205","0.4235","0.4235","0.4235"
"3029","","","","0.8245","0.8245","0.8245","0.438","0.438","0.438"
"3030","","","","0.838","0.838","0.838","0.443","0.443","0.443"
"3031","","","","0.8485","0.8485","0.8485","0.453","0.453","0.453"
"3032","","","","0.824","0.824","0.824","0.453","0.453","0.453"
"3033","","","","0.84","0.84","0.84","0.456","0.456","0.456"
"3034","","","","0.8365","0.8365","0.8365","0.4605","0.4605","0.4605"
"3035","","","","0.857","0.857","0.857","0.4615","0.4615","0.4615"
"3036","","","","0.8625","0.8625","0.8625","0.4665","0.4665","0.4665"
"3037","","","","0.8585","0.8585","0.8585","0.4615","0.4615","0.4615"
"3038","","","","0.8515","0.8515","0.8515","0.459","0.459","0.459"
"3039","","","","0.835","0.835","0.835","0.461","0.461","0.461"
"3040","","","","0.845","0.845","0.845","0.4635","0.4635","0.4635"
"3041","","","","0.856","0.856","0.856","0.4655","0.4655","0.4655"
"3042","","","","0.8265","0.8265","0.8265","0.4655","0.4655","0.4655"
"3043","","","","0.8485","0.8485","0.8485","0.4655","0.4655","0.4655"
"3044","","","","0.862","0.862","0.862","0.469","0.469","0.469"
"3045","","","","0.8465","0.8465","0.8465","0.473","0.473","0.473"
"3046","","","","0.8615","0.8615","0.8615","0.466","0.466","0.466"
"3047","","","","0.847","0.847","0.847","0.465","0.465","0.465"
"3048","","","","0.8695","0.8695","0.8695","0.4655","0.4655","0.4655"
"3049","","","","0.85","0.85","0.85","0.467","0.467","0.467"
"3050","","","","0","0","0","0.05","0.05","0.05"
"3051","","","","0.8295","0.8295","0.8295","0.226","0.226","0.226"
"3052","","","","0.8085","0.8085","0.8085","0.352","0.352","0.352"
"3053","","","","0.831","0.831","0.831","0.4055","0.4055","0.4055"
"3054","","","","0.83","0.83","0.83","0.429","0.429","0.429"
"3055","","","","0.862","0.862","0.862","0.4465","0.4465","0.4465"
"3056","","","","0.8535","0.8535","0.8535","0.4545","0.4545","0.4545"
"3057","","","","0.851","0.851","0.851","0.4585","0.4585","0.4585"
"3058","","","","0.8745","0.8745","0.8745","0.4595","0.4595","0.4595"
"3059","","","","0.893","0.893","0.893","0.468","0.468","0.468"
"3060","","","","0.86","0.86","0.86","0.4705","0.4705","0.4705"
"3061","","","","0.883","0.883","0.883","0.4715","0.4715","0.4715"
"3062","","","","0.8755","0.8755","0.8755","0.473","0.473","0.473"
"3063","","","","0.8975","0.8975","0.8975","0.479","0.479","0.479"
"3064","","","","0.8955","0.8955","0.8955","0.4755","0.4755","0.4755"
"3065","","","","0.894","0.894","0.894","0.4735","0.4735","0.4735"
"3066","","","","0.8985","0.8985","0.8985","0.4855","0.4855","0.4855"
"3067","","","","0.896","0.896","0.896","0.4835","0.4835","0.4835"
"3068","","","","0.8995","0.8995","0.8995","0.4825","0.4825","0.4825"
"3069","","","","0.912","0.912","0.912","0.4805","0.4805","0.4805"
"3070","","","","0.9","0.9","0.9","0.479","0.479","0.479"
"3071","","","","0.905","0.905","0.905","0.4775","0.4775","0.4775"
"3072","","","","0.8925","0.8925","0.8925","0.4825","0.4825","0.4825"
"3073","","","","0.901","0.901","0.901","0.483","0.483","0.483"
"3074","","","","0.9005","0.9005","0.9005","0.4825","0.4825","0.4825"
"3075","","","","0","0","0","0.0815","0.0815","0.0815"
"3076","","","","0.828","0.828","0.828","0.1955","0.1955","0.1955"
"3077","","","","0.855","0.855","0.855","0.2895","0.2895","0.2895"
"3078","","","","0.8675","0.8675","0.8675","0.3325","0.3325","0.3325"
"3079","","","","0.8675","0.8675","0.8675","0.3535","0.3535","0.3535"
"3080","","","","0.888","0.888","0.888","0.3625","0.3625","0.3625"
"3081","","","","0.88","0.88","0.88","0.3695","0.3695","0.3695"
"3082","","","","0.8765","0.8765","0.8765","0.372","0.372","0.372"
"3083","","","","0.881","0.881","0.881","0.373","0.373","0.373"
"3084","","","","0.8815","0.8815","0.8815","0.3775","0.3775","0.3775"
"3085","","","","0.8775","0.8775","0.8775","0.381","0.381","0.381"
"3086","","","","0.874","0.874","0.874","0.386","0.386","0.386"
"3087","","","","0.8725","0.8725","0.8725","0.3875","0.3875","0.3875"
"3088","","","","0.885","0.885","0.885","0.3805","0.3805","0.3805"
"3089","","","","0.8655","0.8655","0.8655","0.384","0.384","0.384"
"3090","","","","0.8945","0.8945","0.8945","0.384","0.384","0.384"
"3091","","","","0.8985","0.8985","0.8985","0.3875","0.3875","0.3875"
"3092","","","","0.8845","0.8845","0.8845","0.3855","0.3855","0.3855"
"3093","","","","0.8815","0.8815","0.8815","0.387","0.387","0.387"
"3094","","","","0.903","0.903","0.903","0.3855","0.3855","0.3855"
"3095","","","","0.8905","0.8905","0.8905","0.3905","0.3905","0.3905"
"3096","","","","0.883","0.883","0.883","0.3875","0.3875","0.3875"
"3097","","","","0.8905","0.8905","0.8905","0.3905","0.3905","0.3905"
"3098","","","","0.9055","0.9055","0.9055","0.395","0.395","0.395"
"3099","","","","0.901","0.901","0.901","0.3965","0.3965","0.3965"
"3100","","","","0","0","0","0.145","0.145","0.145"
"3101","","","","0.858","0.858","0.858","0.252","0.252","0.252"
"3102","","","","0.8765","0.8765","0.8765","0.3045","0.3045","0.3045"
"3103","","","","0.873","0.873","0.873","0.345","0.345","0.345"
"3104","","","","0.8925","0.8925","0.8925","0.3625","0.3625","0.3625"
"3105","","","","0.886","0.886","0.886","0.368","0.368","0.368"
"3106","","","","0.89","0.89","0.89","0.3795","0.3795","0.3795"
"3107","","","","0.8795","0.8795","0.8795","0.3815","0.3815","0.3815"
"3108","","","","0.879","0.879","0.879","0.3825","0.3825","0.3825"
"3109","","","","0.8735","0.8735","0.8735","0.386","0.386","0.386"
"3110","","","","0.8895","0.8895","0.8895","0.39","0.39","0.39"
"3111","","","","0.9015","0.9015","0.9015","0.391","0.391","0.391"
"3112","","","","0.8925","0.8925","0.8925","0.3905","0.3905","0.3905"
"3113","","","","0.858","0.858","0.858","0.3935","0.3935","0.3935"
"3114","","","","0.9015","0.9015","0.9015","0.393","0.393","0.393"
"3115","","","","0.902","0.902","0.902","0.391","0.391","0.391"
"3116","","","","0.882","0.882","0.882","0.3955","0.3955","0.3955"
"3117","","","","0.87","0.87","0.87","0.396","0.396","0.396"
"3118","","","","0.905","0.905","0.905","0.3945","0.3945","0.3945"
"3119","","","","0.896","0.896","0.896","0.396","0.396","0.396"
"3120","","","","0.9005","0.9005","0.9005","0.399","0.399","0.399"
"3121","","","","0.8835","0.8835","0.8835","0.401","0.401","0.401"
"3122","","","","0.8785","0.8785","0.8785","0.403","0.403","0.403"
"3123","","","","0.896","0.896","0.896","0.4025","0.4025","0.4025"
"3124","","","","0.906","0.906","0.906","0.4","0.4","0.4"
"3125","","","","0","0","0","0.0345","0.0345","0.0345"
"3126","","","","0.8835","0.8835","0.8835","0.2315","0.2315","0.2315"
"3127","","","","0.8975","0.8975","0.8975","0.33","0.33","0.33"
"3128","","","","0.889","0.889","0.889","0.3665","0.3665","0.3665"
"3129","","","","0.9","0.9","0.9","0.384","0.384","0.384"
"3130","","","","0.892","0.892","0.892","0.388","0.388","0.388"
"3131","","","","0.9085","0.9085","0.9085","0.391","0.391","0.391"
"3132","","","","0.9105","0.9105","0.9105","0.4","0.4","0.4"
"3133","","","","0.9165","0.9165","0.9165","0.407","0.407","0.407"
"3134","","","","0.9125","0.9125","0.9125","0.4115","0.4115","0.4115"
"3135","","","","0.915","0.915","0.915","0.41","0.41","0.41"
"3136","","","","0.904","0.904","0.904","0.4125","0.4125","0.4125"
"3137","","","","0.9115","0.9115","0.9115","0.415","0.415","0.415"
"3138","","","","0.913","0.913","0.913","0.413","0.413","0.413"
"3139","","","","0.9095","0.9095","0.9095","0.419","0.419","0.419"
"3140","","","","0.9235","0.9235","0.9235","0.424","0.424","0.424"
"3141","","","","0.9165","0.9165","0.9165","0.4215","0.4215","0.4215"
"3142","","","","0.915","0.915","0.915","0.424","0.424","0.424"
"3143","","","","0.923","0.923","0.923","0.4265","0.4265","0.4265"
"3144","","","","0.9245","0.9245","0.9245","0.4225","0.4225","0.4225"
"3145","","","","0.892","0.892","0.892","0.4245","0.4245","0.4245"
"3146","","","","0.9285","0.9285","0.9285","0.424","0.424","0.424"
"3147","","","","0.923","0.923","0.923","0.428","0.428","0.428"
"3148","","","","0.9305","0.9305","0.9305","0.4285","0.4285","0.4285"
"3149","","","","0.9145","0.9145","0.9145","0.4285","0.4285","0.4285"
"3150","","","","0","0","0","0.0865","0.0865","0.0865"
"3151","","","","0.8575","0.8575","0.8575","0.226","0.226","0.226"
"3152","","","","0.8175","0.8175","0.8175","0.284","0.284","0.284"
"3153","","","","0.8815","0.8815","0.8815","0.3155","0.3155","0.3155"
"3154","","","","0.881","0.881","0.881","0.3375","0.3375","0.3375"
"3155","","","","0.883","0.883","0.883","0.346","0.346","0.346"
"3156","","","","0.8785","0.8785","0.8785","0.3645","0.3645","0.3645"
"3157","","","","0.8745","0.8745","0.8745","0.366","0.366","0.366"
"3158","","","","0.892","0.892","0.892","0.372","0.372","0.372"
"3159","","","","0.896","0.896","0.896","0.378","0.378","0.378"
"3160","","","","0.8875","0.8875","0.8875","0.381","0.381","0.381"
"3161","","","","0.8875","0.8875","0.8875","0.382","0.382","0.382"
"3162","","","","0.895","0.895","0.895","0.3825","0.3825","0.3825"
"3163","","","","0.875","0.875","0.875","0.3865","0.3865","0.3865"
"3164","","","","0.896","0.896","0.896","0.3885","0.3885","0.3885"
"3165","","","","0.8865","0.8865","0.8865","0.3905","0.3905","0.3905"
"3166","","","","0.8975","0.8975","0.8975","0.3905","0.3905","0.3905"
"3167","","","","0.885","0.885","0.885","0.392","0.392","0.392"
"3168","","","","0.8965","0.8965","0.8965","0.3945","0.3945","0.3945"
"3169","","","","0.8915","0.8915","0.8915","0.39","0.39","0.39"
"3170","","","","0.8825","0.8825","0.8825","0.3965","0.3965","0.3965"
"3171","","","","0.891","0.891","0.891","0.397","0.397","0.397"
"3172","","","","0.8935","0.8935","0.8935","0.3985","0.3985","0.3985"
"3173","","","","0.8995","0.8995","0.8995","0.398","0.398","0.398"
"3174","","","","0.8975","0.8975","0.8975","0.3955","0.3955","0.3955"
"3175","","","","0","0","0","0.0985","0.0985","0.0985"
"3176","","","","0.806","0.806","0.806","0.2585","0.2585","0.2585"
"3177","","","","0.853","0.853","0.853","0.3445","0.3445","0.3445"
"3178","","","","0.801","0.801","0.801","0.386","0.386","0.386"
"3179","","","","0.812","0.812","0.812","0.411","0.411","0.411"
"3180","","","","0.817","0.817","0.817","0.422","0.422","0.422"
"3181","","","","0.838","0.838","0.838","0.4315","0.4315","0.4315"
"3182","","","","0.8275","0.8275","0.8275","0.439","0.439","0.439"
"3183","","","","0.856","0.856","0.856","0.4395","0.4395","0.4395"
"3184","","","","0.865","0.865","0.865","0.4455","0.4455","0.4455"
"3185","","","","0.865","0.865","0.865","0.4465","0.4465","0.4465"
"3186","","","","0.876","0.876","0.876","0.4485","0.4485","0.4485"
"3187","","","","0.8675","0.8675","0.8675","0.45","0.45","0.45"
"3188","","","","0.823","0.823","0.823","0.445","0.445","0.445"
"3189","","","","0.869","0.869","0.869","0.454","0.454","0.454"
"3190","","","","0.885","0.885","0.885","0.451","0.451","0.451"
"3191","","","","0.848","0.848","0.848","0.455","0.455","0.455"
"3192","","","","0.8875","0.8875","0.8875","0.4525","0.4525","0.4525"
"3193","","","","0.8565","0.8565","0.8565","0.455","0.455","0.455"
"3194","","","","0.884","0.884","0.884","0.453","0.453","0.453"
"3195","","","","0.873","0.873","0.873","0.4525","0.4525","0.4525"
"3196","","","","0.837","0.837","0.837","0.453","0.453","0.453"
"3197","","","","0.866","0.866","0.866","0.459","0.459","0.459"
"3198","","","","0.8535","0.8535","0.8535","0.463","0.463","0.463"
"3199","","","","0.885","0.885","0.885","0.4585","0.4585","0.4585"
"3200","","","","0","0","0","0.107","0.107","0.107"
"3201","","","","0.8305","0.8305","0.8305","0.2655","0.2655","0.2655"
"3202","","","","0.85","0.85","0.85","0.349","0.349","0.349"
"3203","","","","0.8885","0.8885","0.8885","0.393","0.393","0.393"
"3204","","","","0.856","0.856","0.856","0.4125","0.4125","0.4125"
"3205","","","","0.89","0.89","0.89","0.4205","0.4205","0.4205"
"3206","","","","0.891","0.891","0.891","0.426","0.426","0.426"
"3207","","","","0.8865","0.8865","0.8865","0.434","0.434","0.434"
"3208","","","","0.8895","0.8895","0.8895","0.436","0.436","0.436"
"3209","","","","0.9005","0.9005","0.9005","0.439","0.439","0.439"
"3210","","","","0.893","0.893","0.893","0.4365","0.4365","0.4365"
"3211","","","","0.8975","0.8975","0.8975","0.4395","0.4395","0.4395"
"3212","","","","0.8915","0.8915","0.8915","0.442","0.442","0.442"
"3213","","","","0.902","0.902","0.902","0.441","0.441","0.441"
"3214","","","","0.885","0.885","0.885","0.4415","0.4415","0.4415"
"3215","","","","0.9205","0.9205","0.9205","0.444","0.444","0.444"
"3216","","","","0.873","0.873","0.873","0.4465","0.4465","0.4465"
"3217","","","","0.916","0.916","0.916","0.4415","0.4415","0.4415"
"3218","","","","0.9015","0.9015","0.9015","0.4495","0.4495","0.4495"
"3219","","","","0.9185","0.9185","0.9185","0.445","0.445","0.445"
"3220","","","","0.8905","0.8905","0.8905","0.4485","0.4485","0.4485"
"3221","","","","0.9025","0.9025","0.9025","0.446","0.446","0.446"
"3222","","","","0.8945","0.8945","0.8945","0.442","0.442","0.442"
"3223","","","","0.905","0.905","0.905","0.451","0.451","0.451"
"3224","","","","0.927","0.927","0.927","0.452","0.452","0.452"
"3225","","","","0","0","0","0.0215","0.0215","0.0215"
"3226","","","","0.8825","0.8825","0.8825","0.305","0.305","0.305"
"3227","","","","0.8625","0.8625","0.8625","0.4155","0.4155","0.4155"
"3228","","","","0.8835","0.8835","0.8835","0.453","0.453","0.453"
"3229","","","","0.859","0.859","0.859","0.474","0.474","0.474"
"3230","","","","0.852","0.852","0.852","0.484","0.484","0.484"
"3231","","","","0.8815","0.8815","0.8815","0.491","0.491","0.491"
"3232","","","","0.855","0.855","0.855","0.4945","0.4945","0.4945"
"3233","","","","0.886","0.886","0.886","0.5","0.5","0.5"
"3234","","","","0.8985","0.8985","0.8985","0.5075","0.5075","0.5075"
"3235","","","","0.901","0.901","0.901","0.5","0.5","0.5"
"3236","","","","0.8645","0.8645","0.8645","0.511","0.511","0.511"
"3237","","","","0.899","0.899","0.899","0.508","0.508","0.508"
"3238","","","","0.8685","0.8685","0.8685","0.513","0.513","0.513"
"3239","","","","0.8975","0.8975","0.8975","0.5085","0.5085","0.5085"
"3240","","","","0.8835","0.8835","0.8835","0.5145","0.5145","0.5145"
"3241","","","","0.901","0.901","0.901","0.514","0.514","0.514"
"3242","","","","0.8705","0.8705","0.8705","0.5145","0.5145","0.5145"
"3243","","","","0.906","0.906","0.906","0.515","0.515","0.515"
"3244","","","","0.8985","0.8985","0.8985","0.5155","0.5155","0.5155"
"3245","","","","0.883","0.883","0.883","0.517","0.517","0.517"
"3246","","","","0.8915","0.8915","0.8915","0.5205","0.5205","0.5205"
"3247","","","","0.9025","0.9025","0.9025","0.518","0.518","0.518"
"3248","","","","0.8955","0.8955","0.8955","0.5185","0.5185","0.5185"
"3249","","","","0.895","0.895","0.895","0.516","0.516","0.516"
"3250","","","","0","0","0","0.042","0.042","0.042"
"3251","","","","0.9065","0.9065","0.9065","0.3155","0.3155","0.3155"
"3252","","","","0.934","0.934","0.934","0.4045","0.4045","0.4045"
"3253","","","","0.9335","0.9335","0.9335","0.454","0.454","0.454"
"3254","","","","0.9455","0.9455","0.9455","0.4705","0.4705","0.4705"
"3255","","","","0.934","0.934","0.934","0.494","0.494","0.494"
"3256","","","","0.9465","0.9465","0.9465","0.5035","0.5035","0.5035"
"3257","","","","0.9465","0.9465","0.9465","0.5065","0.5065","0.5065"
"3258","","","","0.943","0.943","0.943","0.511","0.511","0.511"
"3259","","","","0.942","0.942","0.942","0.517","0.517","0.517"
"3260","","","","0.941","0.941","0.941","0.517","0.517","0.517"
"3261","","","","0.9445","0.9445","0.9445","0.521","0.521","0.521"
"3262","","","","0.935","0.935","0.935","0.519","0.519","0.519"
"3263","","","","0.943","0.943","0.943","0.52","0.52","0.52"
"3264","","","","0.9385","0.9385","0.9385","0.523","0.523","0.523"
"3265","","","","0.9475","0.9475","0.9475","0.523","0.523","0.523"
"3266","","","","0.9415","0.9415","0.9415","0.53","0.53","0.53"
"3267","","","","0.949","0.949","0.949","0.5285","0.5285","0.5285"
"3268","","","","0.946","0.946","0.946","0.5305","0.5305","0.5305"
"3269","","","","0.948","0.948","0.948","0.5325","0.5325","0.5325"
"3270","","","","0.947","0.947","0.947","0.5395","0.5395","0.5395"
"3271","","","","0.9415","0.9415","0.9415","0.532","0.532","0.532"
"3272","","","","0.949","0.949","0.949","0.539","0.539","0.539"
"3273","","","","0.9485","0.9485","0.9485","0.54","0.54","0.54"
"3274","","","","0.9485","0.9485","0.9485","0.534","0.534","0.534"
"3275","","","","0","0","0","0.1835","0.1835","0.1835"
"3276","","","","0.8365","0.8365","0.8365","0.318","0.318","0.318"
"3277","","","","0.8215","0.8215","0.8215","0.3835","0.3835","0.3835"
"3278","","","","0.84","0.84","0.84","0.4195","0.4195","0.4195"
"3279","","","","0.7885","0.7885","0.7885","0.436","0.436","0.436"
"3280","","","","0.8405","0.8405","0.8405","0.4435","0.4435","0.4435"
"3281","","","","0.8535","0.8535","0.8535","0.4475","0.4475","0.4475"
"3282","","","","0.8585","0.8585","0.8585","0.452","0.452","0.452"
"3283","","","","0.8685","0.8685","0.8685","0.454","0.454","0.454"
"3284","","","","0.8605","0.8605","0.8605","0.4595","0.4595","0.4595"
"3285","","","","0.8895","0.8895","0.8895","0.4545","0.4545","0.4545"
"3286","","","","0.8455","0.8455","0.8455","0.461","0.461","0.461"
"3287","","","","0.868","0.868","0.868","0.463","0.463","0.463"
"3288","","","","0.8765","0.8765","0.8765","0.4635","0.4635","0.4635"
"3289","","","","0.8795","0.8795","0.8795","0.4655","0.4655","0.4655"
"3290","","","","0.8805","0.8805","0.8805","0.4655","0.4655","0.4655"
"3291","","","","0.8975","0.8975","0.8975","0.4685","0.4685","0.4685"
"3292","","","","0.879","0.879","0.879","0.4705","0.4705","0.4705"
"3293","","","","0.8725","0.8725","0.8725","0.466","0.466","0.466"
"3294","","","","0.88","0.88","0.88","0.4715","0.4715","0.4715"
"3295","","","","0.8775","0.8775","0.8775","0.4695","0.4695","0.4695"
"3296","","","","0.897","0.897","0.897","0.473","0.473","0.473"
"3297","","","","0.876","0.876","0.876","0.4715","0.4715","0.4715"
"3298","","","","0.8795","0.8795","0.8795","0.4695","0.4695","0.4695"
"3299","","","","0.8785","0.8785","0.8785","0.4725","0.4725","0.4725"
"3300","","","","0","0","0","0.0815","0.0815","0.0815"
"3301","","","","0.8385","0.8385","0.8385","0.286","0.286","0.286"
"3302","","","","0.855","0.855","0.855","0.4075","0.4075","0.4075"
"3303","","","","0.878","0.878","0.878","0.4585","0.4585","0.4585"
"3304","","","","0.8865","0.8865","0.8865","0.476","0.476","0.476"
"3305","","","","0.8645","0.8645","0.8645","0.4855","0.4855","0.4855"
"3306","","","","0.8785","0.8785","0.8785","0.493","0.493","0.493"
"3307","","","","0.8815","0.8815","0.8815","0.492","0.492","0.492"
"3308","","","","0.886","0.886","0.886","0.508","0.508","0.508"
"3309","","","","0.899","0.899","0.899","0.499","0.499","0.499"
"3310","","","","0.8755","0.8755","0.8755","0.5005","0.5005","0.5005"
"3311","","","","0.8935","0.8935","0.8935","0.506","0.506","0.506"
"3312","","","","0.9045","0.9045","0.9045","0.504","0.504","0.504"
"3313","","","","0.8765","0.8765","0.8765","0.508","0.508","0.508"
"3314","","","","0.8975","0.8975","0.8975","0.505","0.505","0.505"
"3315","","","","0.892","0.892","0.892","0.508","0.508","0.508"
"3316","","","","0.8875","0.8875","0.8875","0.5065","0.5065","0.5065"
"3317","","","","0.8905","0.8905","0.8905","0.5095","0.5095","0.5095"
"3318","","","","0.8955","0.8955","0.8955","0.5045","0.5045","0.5045"
"3319","","","","0.8875","0.8875","0.8875","0.509","0.509","0.509"
"3320","","","","0.8855","0.8855","0.8855","0.516","0.516","0.516"
"3321","","","","0.891","0.891","0.891","0.513","0.513","0.513"
"3322","","","","0.9015","0.9015","0.9015","0.512","0.512","0.512"
"3323","","","","0.9025","0.9025","0.9025","0.508","0.508","0.508"
"3324","","","","0.9105","0.9105","0.9105","0.516","0.516","0.516"
"3325","","","","0","0","0","0.1245","0.1245","0.1245"
"3326","","","","0.8895","0.8895","0.8895","0.2875","0.2875","0.2875"
"3327","","","","0.9065","0.9065","0.9065","0.36","0.36","0.36"
"3328","","","","0.9","0.9","0.9","0.3915","0.3915","0.3915"
"3329","","","","0.9135","0.9135","0.9135","0.4115","0.4115","0.4115"
"3330","","","","0.906","0.906","0.906","0.426","0.426","0.426"
"3331","","","","0.914","0.914","0.914","0.432","0.432","0.432"
"3332","","","","0.8995","0.8995","0.8995","0.441","0.441","0.441"
"3333","","","","0.8795","0.8795","0.8795","0.4465","0.4465","0.4465"
"3334","","","","0.915","0.915","0.915","0.4515","0.4515","0.4515"
"3335","","","","0.918","0.918","0.918","0.452","0.452","0.452"
"3336","","","","0.9105","0.9105","0.9105","0.455","0.455","0.455"
"3337","","","","0.9055","0.9055","0.9055","0.4535","0.4535","0.4535"
"3338","","","","0.9155","0.9155","0.9155","0.452","0.452","0.452"
"3339","","","","0.9065","0.9065","0.9065","0.454","0.454","0.454"
"3340","","","","0.884","0.884","0.884","0.4535","0.4535","0.4535"
"3341","","","","0.9165","0.9165","0.9165","0.455","0.455","0.455"
"3342","","","","0.908","0.908","0.908","0.4565","0.4565","0.4565"
"3343","","","","0.8865","0.8865","0.8865","0.4605","0.4605","0.4605"
"3344","","","","0.9165","0.9165","0.9165","0.4585","0.4585","0.4585"
"3345","","","","0.9195","0.9195","0.9195","0.461","0.461","0.461"
"3346","","","","0.924","0.924","0.924","0.457","0.457","0.457"
"3347","","","","0.923","0.923","0.923","0.4615","0.4615","0.4615"
"3348","","","","0.924","0.924","0.924","0.4625","0.4625","0.4625"
"3349","","","","0.9275","0.9275","0.9275","0.4635","0.4635","0.4635"
"3350","","","","0","0","0","0.1075","0.1075","0.1075"
"3351","","","","0.818","0.818","0.818","0.2585","0.2585","0.2585"
"3352","","","","0.8115","0.8115","0.8115","0.3715","0.3715","0.3715"
"3353","","","","0.827","0.827","0.827","0.416","0.416","0.416"
"3354","","","","0.85","0.85","0.85","0.4385","0.4385","0.4385"
"3355","","","","0.872","0.872","0.872","0.4515","0.4515","0.4515"
"3356","","","","0.884","0.884","0.884","0.4665","0.4665","0.4665"
"3357","","","","0.8475","0.8475","0.8475","0.4695","0.4695","0.4695"
"3358","","","","0.805","0.805","0.805","0.469","0.469","0.469"
"3359","","","","0.867","0.867","0.867","0.474","0.474","0.474"
"3360","","","","0.8245","0.8245","0.8245","0.4725","0.4725","0.4725"
"3361","","","","0.8485","0.8485","0.8485","0.4685","0.4685","0.4685"
"3362","","","","0.8615","0.8615","0.8615","0.4755","0.4755","0.4755"
"3363","","","","0.868","0.868","0.868","0.477","0.477","0.477"
"3364","","","","0.868","0.868","0.868","0.477","0.477","0.477"
"3365","","","","0.8775","0.8775","0.8775","0.474","0.474","0.474"
"3366","","","","0.8675","0.8675","0.8675","0.48","0.48","0.48"
"3367","","","","0.886","0.886","0.886","0.4825","0.4825","0.4825"
"3368","","","","0.8925","0.8925","0.8925","0.483","0.483","0.483"
"3369","","","","0.894","0.894","0.894","0.482","0.482","0.482"
"3370","","","","0.899","0.899","0.899","0.4815","0.4815","0.4815"
"3371","","","","0.901","0.901","0.901","0.4825","0.4825","0.4825"
"3372","","","","0.8885","0.8885","0.8885","0.483","0.483","0.483"
"3373","","","","0.8925","0.8925","0.8925","0.48","0.48","0.48"
"3374","","","","0.885","0.885","0.885","0.4825","0.4825","0.4825"
"3375","","","","0","0","0","0.0885","0.0885","0.0885"
"3376","","","","0.8295","0.8295","0.8295","0.2745","0.2745","0.2745"
"3377","","","","0.8415","0.8415","0.8415","0.3625","0.3625","0.3625"
"3378","","","","0.829","0.829","0.829","0.401","0.401","0.401"
"3379","","","","0.8575","0.8575","0.8575","0.4205","0.4205","0.4205"
"3380","","","","0.859","0.859","0.859","0.4335","0.4335","0.4335"
"3381","","","","0.875","0.875","0.875","0.4425","0.4425","0.4425"
"3382","","","","0.8645","0.8645","0.8645","0.448","0.448","0.448"
