"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"129","0.6255","0.6255","0.6255","0.697","0.697","0.697","0.1625","0.1625","0.1625"
"130","0.611","0.611","0.611","0.693","0.693","0.693","0.17","0.17","0.17"
"131","0.6125","0.6125","0.6125","0.706","0.706","0.706","0.1745","0.1745","0.1745"
"132","0.6785","0.6785","0.6785","0.7645","0.7645","0.7645","0.1805","0.1805","0.1805"
"133","0.6615","0.6615","0.6615","0.737","0.737","0.737","0.1855","0.1855","0.1855"
"134","0.6835","0.6835","0.6835","0.801","0.801","0.801","0.1935","0.1935","0.1935"
"135","0.6345","0.6345","0.6345","0.7485","0.7485","0.7485","0.1965","0.1965","0.1965"
"136","0.644","0.644","0.644","0.7795","0.7795","0.7795","0.208","0.208","0.208"
"137","0.6935","0.6935","0.6935","0.753","0.753","0.753","0.2055","0.2055","0.2055"
"138","0.7075","0.7075","0.7075","0.767","0.767","0.767","0.214","0.214","0.214"
"139","0.68","0.68","0.68","0.7755","0.7755","0.7755","0.213","0.213","0.213"
"140","0.7","0.7","0.7","0.7865","0.7865","0.7865","0.221","0.221","0.221"
"141","0.675","0.675","0.675","0.781","0.781","0.781","0.2215","0.2215","0.2215"
"142","0.6905","0.6905","0.6905","0.7645","0.7645","0.7645","0.2175","0.2175","0.2175"
"143","0.693","0.693","0.693","0.7835","0.7835","0.7835","0.2165","0.2165","0.2165"
"144","0.6615","0.6615","0.6615","0.7895","0.7895","0.7895","0.222","0.222","0.222"
"145","0.715","0.715","0.715","0.828","0.828","0.828","0.2325","0.2325","0.2325"
"146","0.716","0.716","0.716","0.778","0.778","0.778","0.2245","0.2245","0.2245"
"147","0.7115","0.7115","0.7115","0.788","0.788","0.788","0.224","0.224","0.224"
"148","0.7155","0.7155","0.7155","0.802","0.802","0.802","0.225","0.225","0.225"
"149","0.68","0.68","0.68","0.7985","0.7985","0.7985","0.228","0.228","0.228"
"150","0","0","0","0","0","0","0.042","0.042","0.042"
"151","0.582","0.582","0.582","0.606","0.606","0.606","0.091","0.091","0.091"
"152","0.592","0.592","0.592","0.614","0.614","0.614","0.115","0.115","0.115"
"153","0.694","0.694","0.694","0.6615","0.6615","0.6615","0.1305","0.1305","0.1305"
"154","0.6765","0.6765","0.6765","0.735","0.735","0.735","0.135","0.135","0.135"
"155","0.665","0.665","0.665","0.7775","0.7775","0.7775","0.16","0.16","0.16"
"156","0.649","0.649","0.649","0.759","0.759","0.759","0.167","0.167","0.167"
"157","0.604","0.604","0.604","0.74","0.74","0.74","0.183","0.183","0.183"
"158","0.648","0.648","0.648","0.7635","0.7635","0.7635","0.1875","0.1875","0.1875"
"159","0.6585","0.6585","0.6585","0.72","0.72","0.72","0.198","0.198","0.198"
"160","0.693","0.693","0.693","0.7135","0.7135","0.7135","0.1975","0.1975","0.1975"
