"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"27920","0.4505","0.4505","0.4505","","","","","",""
"27921","0.449","0.449","0.449","","","","","",""
"27923","0.449","0.449","0.449","","","","","",""
"27924","0.4495","0.4495","0.4495","0.4345","0.4345","0.4345","","",""
"27931","","","","0.3745","0.3745","0.3745","","",""
"27937","","","","","","","0.4735","0.4735","0.4735"
"27938","","","","0.4145","0.4145","0.4145","","",""
"27940","0.4205","0.4205","0.4205","","","","0.474","0.474","0.474"
"27942","","","","0.4245","0.4245","0.4245","","",""
"27944","0.426","0.426","0.426","","","","","",""
"27950","","","","0.0025","0.0025","0.0025","","",""
"27953","0.304","0.304","0.304","","","","0.3815","0.3815","0.3815"
"27954","","","","","","","0.393","0.393","0.393"
"27961","","","","0.403","0.403","0.403","","",""
"27962","0.4","0.4","0.4","","","","","",""
"27963","0.4045","0.4045","0.4045","0.407","0.407","0.407","","",""
"27966","","","","0.414","0.414","0.414","","",""
"27968","0.4135","0.4135","0.4135","","","","","",""
"27969","","","","","","","0.4505","0.4505","0.4505"
"27970","","","","","","","0.448","0.448","0.448"
"27977","","","","0.238","0.238","0.238","","",""
"27978","","","","0.308","0.308","0.308","0.431","0.431","0.431"
"27982","","","","","","","0.4615","0.4615","0.4615"
"27989","","","","0.4295","0.4295","0.4295","","",""
"27991","0.4405","0.4405","0.4405","","","","","",""
"27993","","","","0.4345","0.4345","0.4345","","",""
"27994","0.443","0.443","0.443","0.4355","0.4355","0.4355","","",""
"27996","","","","","","","0.4885","0.4885","0.4885"
"28002","0.2165","0.2165","0.2165","","","","","",""
"28006","","","","","","","0.3895","0.3895","0.3895"
"28008","","","","0.362","0.362","0.362","","",""
"28011","0.3855","0.3855","0.3855","","","","","",""
"28016","","","","0.385","0.385","0.385","","",""
"28018","0.3985","0.3985","0.3985","","","","","",""
"28019","","","","","","","0.419","0.419","0.419"
"28020","","","","","","","0.423","0.423","0.423"
"28022","0.401","0.401","0.401","","","","","",""
"28024","","","","0.398","0.398","0.398","","",""
"28034","0.422","0.422","0.422","","","","","",""
"28039","","","","0.4395","0.4395","0.4395","","",""
"28040","","","","","","","0.464","0.464","0.464"
"28043","","","","","","","0.4655","0.4655","0.4655"
"28047","","","","0.455","0.455","0.455","0.471","0.471","0.471"
"28055","","","","","","","0.4905","0.4905","0.4905"
"28058","0.4735","0.4735","0.4735","","","","","",""
"28060","","","","0.4795","0.4795","0.4795","","",""
"28064","","","","0.4885","0.4885","0.4885","","",""
"28067","","","","","","","0.5405","0.5405","0.5405"
"28069","","","","0.493","0.493","0.493","","",""
"28070","","","","","","","0.545","0.545","0.545"
"28072","","","","","","","0.5435","0.5435","0.5435"
"28074","0.51","0.51","0.51","","","","","",""
"28077","0.234","0.234","0.234","","","","","",""
"28078","","","","","","","0.371","0.371","0.371"
"28081","","","","","","","0.4295","0.4295","0.4295"
"28082","","","","","","","0.4365","0.4365","0.4365"
"28084","0.3925","0.3925","0.3925","0.414","0.414","0.414","","",""
"28086","","","","0.418","0.418","0.418","","",""
"28089","0.409","0.409","0.409","","","","","",""
"28090","0.406","0.406","0.406","","","","","",""
"28092","","","","","","","0.4595","0.4595","0.4595"
"28094","0.418","0.418","0.418","","","","","",""
"28099","0.422","0.422","0.422","","","","","",""
"28104","","","","0.3055","0.3055","0.3055","0.379","0.379","0.379"
"28106","","","","","","","0.404","0.404","0.404"
"28107","","","","","","","0.4175","0.4175","0.4175"
"28108","","","","","","","0.42","0.42","0.42"
"28114","","","","0.395","0.395","0.395","0.4365","0.4365","0.4365"
"28115","0.3915","0.3915","0.3915","","","","","",""
"28129","","","","0.3945","0.3945","0.3945","","",""
"28131","0.431","0.431","0.431","","","","","",""
"28134","","","","","","","0.4975","0.4975","0.4975"
"28136","","","","","","","0.5","0.5","0.5"
"28137","","","","","","","0.505","0.505","0.505"
"28140","","","","","","","0.5125","0.5125","0.5125"
"28142","0.4835","0.4835","0.4835","0.485","0.485","0.485","","",""
"28144","","","","0.489","0.489","0.489","","",""
"28145","0.4885","0.4885","0.4885","","","","","",""
"28153","","","","0.338","0.338","0.338","","",""
"28155","0.4055","0.4055","0.4055","0.405","0.405","0.405","","",""
"28156","","","","","","","0.4555","0.4555","0.4555"
"28158","0.437","0.437","0.437","","","","","",""
"28160","0.453","0.453","0.453","","","","","",""
"28163","0.4605","0.4605","0.4605","","","","","",""
"28169","0.466","0.466","0.466","","","","0.498","0.498","0.498"
"28171","","","","","","","0.5035","0.5035","0.5035"
"28179","","","","0.3075","0.3075","0.3075","","",""
"28195","0.3675","0.3675","0.3675","","","","0.3975","0.3975","0.3975"
"28198","","","","0.364","0.364","0.364","","",""
"28200","","","","0.0155","0.0155","0.0155","0.0205","0.0205","0.0205"
"28201","","","","","","","0.248","0.248","0.248"
"28206","","","","","","","0.4395","0.4395","0.4395"
"28207","0.3885","0.3885","0.3885","","","","","",""
"28208","0.3845","0.3845","0.3845","","","","","",""
"28211","","","","0.401","0.401","0.401","","",""
"28212","0.4","0.4","0.4","0.403","0.403","0.403","","",""
"28215","0.407","0.407","0.407","","","","0.441","0.441","0.441"
"28220","","","","","","","0.4495","0.4495","0.4495"
"28221","0.416","0.416","0.416","","","","0.4515","0.4515","0.4515"
"28223","0.4215","0.4215","0.4215","","","","","",""
"28225","","","","","","","0.017","0.017","0.017"
"28230","","","","0.3975","0.3975","0.3975","","",""
"28232","","","","","","","0.4825","0.4825","0.4825"
"28233","0.443","0.443","0.443","0.4365","0.4365","0.4365","","",""
"28235","","","","0.4485","0.4485","0.4485","","",""
"28236","","","","0.449","0.449","0.449","","",""
"28239","","","","0.461","0.461","0.461","","",""
"28240","0.463","0.463","0.463","","","","","",""
"28241","","","","0.4615","0.4615","0.4615","","",""
"28242","","","","0.4655","0.4655","0.4655","0.5015","0.5015","0.5015"
"28244","","","","0.464","0.464","0.464","0.5075","0.5075","0.5075"
"28245","","","","0.47","0.47","0.47","","",""
"28251","","","","0.1345","0.1345","0.1345","0.3685","0.3685","0.3685"
"28252","0.2975","0.2975","0.2975","","","","","",""
"28257","0.4855","0.4855","0.4855","","","","","",""
"28258","","","","","","","0.5345","0.5345","0.5345"
"28265","","","","","","","0.561","0.561","0.561"
"28266","","","","","","","0.5645","0.5645","0.5645"
"28269","0.5175","0.5175","0.5175","","","","","",""
"28272","","","","","","","0.572","0.572","0.572"
"28274","0.5215","0.5215","0.5215","0.529","0.529","0.529","0.579","0.579","0.579"
"28275","","","","0.0045","0.0045","0.0045","","",""
"28276","","","","0.0535","0.0535","0.0535","","",""
"28280","","","","","","","0.3365","0.3365","0.3365"
"28281","","","","0.2735","0.2735","0.2735","","",""
"28283","","","","","","","0.3495","0.3495","0.3495"
"28285","","","","0.303","0.303","0.303","","",""
"28286","","","","","","","0.3505","0.3505","0.3505"
"28287","","","","0.308","0.308","0.308","","",""
"28289","","","","","","","0.356","0.356","0.356"
"28293","","","","0.3195","0.3195","0.3195","","",""
"28294","","","","0.32","0.32","0.32","","",""
"28295","0.345","0.345","0.345","","","","","",""
"28296","0.347","0.347","0.347","","","","","",""
"28297","0.353","0.353","0.353","","","","0.3615","0.3615","0.3615"
"28301","0.0875","0.0875","0.0875","","","","","",""
"28306","","","","","","","0.4","0.4","0.4"
"28315","0.397","0.397","0.397","0.3815","0.3815","0.3815","0.4305","0.4305","0.4305"
"28316","","","","","","","0.4365","0.4365","0.4365"
"28317","","","","","","","0.436","0.436","0.436"
"28320","0.398","0.398","0.398","","","","0.435","0.435","0.435"
"28321","","","","","","","0.4355","0.4355","0.4355"
"28322","0.4035","0.4035","0.4035","","","","","",""
"28324","0.4015","0.4015","0.4015","","","","","",""
"28326","","","","0.079","0.079","0.079","","",""
"28327","","","","0.2","0.2","0.2","","",""
"28328","","","","0.275","0.275","0.275","0.384","0.384","0.384"
"28330","0.356","0.356","0.356","0.3395","0.3395","0.3395","0.4135","0.4135","0.4135"
"28331","","","","","","","0.425","0.425","0.425"
"28332","","","","","","","0.4245","0.4245","0.4245"
"28334","","","","0.3705","0.3705","0.3705","","",""
"28335","0.3935","0.3935","0.3935","0.3725","0.3725","0.3725","","",""
"28342","","","","","","","0.4715","0.4715","0.4715"
"28346","0.4135","0.4135","0.4135","0.395","0.395","0.395","","",""
"28347","0.417","0.417","0.417","","","","","",""
"28350","","","","","","","0.0185","0.0185","0.0185"
"28352","","","","0.312","0.312","0.312","","",""
"28353","0.361","0.361","0.361","","","","","",""
"28356","","","","","","","0.4925","0.4925","0.4925"
"28360","","","","0.497","0.497","0.497","0.5285","0.5285","0.5285"
"28361","0.493","0.493","0.493","","","","","",""
"28365","0.505","0.505","0.505","","","","","",""
"28366","0.5025","0.5025","0.5025","0.4995","0.4995","0.4995","","",""
"28367","","","","0.5015","0.5015","0.5015","","",""
"28369","0.504","0.504","0.504","","","","","",""
"28371","","","","0.5035","0.5035","0.5035","","",""
"28372","","","","","","","0.549","0.549","0.549"
"28376","","","","","","","0.3525","0.3525","0.3525"
"28384","","","","0.4465","0.4465","0.4465","","",""
"28386","","","","0.464","0.464","0.464","","",""
"28387","","","","","","","0.511","0.511","0.511"
"28389","","","","0.463","0.463","0.463","","",""
"28392","","","","0.47","0.47","0.47","","",""
"28394","","","","","","","0.5305","0.5305","0.5305"
"28397","0.458","0.458","0.458","","","","","",""
"28402","0.2255","0.2255","0.2255","","","","","",""
"28403","","","","0.3185","0.3185","0.3185","","",""
"28404","0.3635","0.3635","0.3635","","","","","",""
"28405","","","","0.379","0.379","0.379","","",""
"28406","0.4025","0.4025","0.4025","","","","","",""
"28408","","","","","","","0.431","0.431","0.431"
"28409","","","","","","","0.4475","0.4475","0.4475"
"28418","0.437","0.437","0.437","0.426","0.426","0.426","","",""
"28422","","","","0.4295","0.4295","0.4295","","",""
"28423","","","","0.436","0.436","0.436","0.479","0.479","0.479"
"28424","","","","","","","0.4795","0.4795","0.4795"
"28425","0.003","0.003","0.003","","","","","",""
"28428","","","","","","","0.414","0.414","0.414"
"28429","0.374","0.374","0.374","0.3565","0.3565","0.3565","0.4415","0.4415","0.4415"
"28434","","","","","","","0.482","0.482","0.482"
"28435","","","","0.4555","0.4555","0.4555","","",""
"28437","0.4545","0.4545","0.4545","","","","","",""
"28441","","","","0.4665","0.4665","0.4665","","",""
"28442","0.4665","0.4665","0.4665","","","","","",""
"28450","","","","","","","0.0425","0.0425","0.0425"
"28453","","","","0.325","0.325","0.325","","",""
"28455","0.389","0.389","0.389","","","","","",""
"28457","0.415","0.415","0.415","","","","","",""
"28458","","","","0.4205","0.4205","0.4205","","",""
"28461","0.4265","0.4265","0.4265","","","","","",""
"28463","0.4355","0.4355","0.4355","","","","","",""
"28464","","","","0.437","0.437","0.437","","",""
"28465","","","","","","","0.461","0.461","0.461"
"28466","","","","0.4375","0.4375","0.4375","0.46","0.46","0.46"
"28467","0.4395","0.4395","0.4395","0.4415","0.4415","0.4415","","",""
"28468","","","","","","","0.4585","0.4585","0.4585"
"28470","","","","0.4465","0.4465","0.4465","","",""
"28476","0.128","0.128","0.128","","","","","",""
"28483","","","","0.3665","0.3665","0.3665","0.4055","0.4055","0.4055"
"28484","","","","","","","0.4075","0.4075","0.4075"
"28485","0.37","0.37","0.37","","","","","",""
"28486","","","","0.3805","0.3805","0.3805","","",""
"28487","0.377","0.377","0.377","0.385","0.385","0.385","","",""
"28489","","","","0.3885","0.3885","0.3885","","",""
"28490","0.3825","0.3825","0.3825","","","","","",""
"28492","","","","0.391","0.391","0.391","","",""
"28494","","","","","","","0.4275","0.4275","0.4275"
"28498","","","","0.3975","0.3975","0.3975","0.429","0.429","0.429"
"28501","0.0865","0.0865","0.0865","","","","0.2595","0.2595","0.2595"
"28502","0.185","0.185","0.185","0.2075","0.2075","0.2075","","",""
"28503","","","","","","","0.398","0.398","0.398"
"28504","","","","","","","0.419","0.419","0.419"
"28506","","","","0.4015","0.4015","0.4015","","",""
"28510","","","","0.426","0.426","0.426","","",""
"28517","","","","0.434","0.434","0.434","0.4735","0.4735","0.4735"
"28519","","","","","","","0.4735","0.4735","0.4735"
"28520","","","","0.437","0.437","0.437","","",""
"28522","","","","","","","0.4805","0.4805","0.4805"
"28524","","","","","","","0.4795","0.4795","0.4795"
"28527","","","","0.1685","0.1685","0.1685","","",""
"28528","","","","0.2575","0.2575","0.2575","","",""
"28529","","","","","","","0.378","0.378","0.378"
"28533","","","","","","","0.4095","0.4095","0.4095"
"28536","0.4265","0.4265","0.4265","","","","","",""
"28540","0.4305","0.4305","0.4305","","","","","",""
"28542","","","","0.422","0.422","0.422","0.442","0.442","0.442"
"28544","","","","","","","0.448","0.448","0.448"
"28545","","","","0.422","0.422","0.422","","",""
"28546","","","","0.425","0.425","0.425","","",""
"28550","0.0035","0.0035","0.0035","","","","0.0105","0.0105","0.0105"
"28551","","","","0.0825","0.0825","0.0825","","",""
"28553","0.3095","0.3095","0.3095","","","","0.3645","0.3645","0.3645"
"28555","","","","","","","0.4225","0.4225","0.4225"
"28556","0.3835","0.3835","0.3835","","","","","",""
"28559","0.4055","0.4055","0.4055","","","","","",""
"28561","0.4185","0.4185","0.4185","","","","0.4425","0.4425","0.4425"
"28562","0.422","0.422","0.422","0.41","0.41","0.41","","",""
"28563","0.422","0.422","0.422","","","","","",""
"28565","","","","0.4225","0.4225","0.4225","0.4495","0.4495","0.4495"
"28568","","","","","","","0.457","0.457","0.457"
"28569","0.4275","0.4275","0.4275","","","","","",""
"28571","0.431","0.431","0.431","","","","","",""
"28572","0.433","0.433","0.433","","","","","",""
"28573","0.433","0.433","0.433","","","","","",""
"28574","","","","0.4275","0.4275","0.4275","","",""
"28575","0.01","0.01","0.01","","","","","",""
"28576","0.1155","0.1155","0.1155","0.075","0.075","0.075","","",""
"28577","","","","0.177","0.177","0.177","","",""
"28579","","","","0.295","0.295","0.295","","",""
"28581","0.347","0.347","0.347","","","","","",""
"28585","","","","0.359","0.359","0.359","","",""
"28592","","","","","","","0.414","0.414","0.414"
"28594","0.381","0.381","0.381","","","","0.4105","0.4105","0.4105"
"28595","0.387","0.387","0.387","","","","","",""
"28596","0.389","0.389","0.389","","","","","",""
"28598","","","","","","","0.4115","0.4115","0.4115"
"28600","","","","0.005","0.005","0.005","","",""
"28601","","","","","","","0.314","0.314","0.314"
"28603","","","","0.3145","0.3145","0.3145","","",""
"28604","0.3715","0.3715","0.3715","","","","","",""
"28606","0.413","0.413","0.413","","","","0.455","0.455","0.455"
"28608","","","","","","","0.466","0.466","0.466"
"28609","","","","0.4445","0.4445","0.4445","","",""
"28618","0.4525","0.4525","0.4525","0.4685","0.4685","0.4685","","",""
"28620","0.4585","0.4585","0.4585","","","","","",""
"28625","0.005","0.005","0.005","","","","0.005","0.005","0.005"
"28627","","","","","","","0.3615","0.3615","0.3615"
"28629","0.3775","0.3775","0.3775","","","","","",""
"28630","","","","0.3915","0.3915","0.3915","","",""
"28631","","","","0.406","0.406","0.406","0.4515","0.4515","0.4515"
"28632","","","","0.4125","0.4125","0.4125","","",""
"28635","","","","","","","0.462","0.462","0.462"
"28636","","","","","","","0.4615","0.4615","0.4615"
"28637","0.455","0.455","0.455","0.432","0.432","0.432","","",""
"28638","","","","","","","0.475","0.475","0.475"
"28643","","","","","","","0.478","0.478","0.478"
"28645","0.468","0.468","0.468","","","","","",""
"28646","","","","","","","0.4815","0.4815","0.4815"
"28649","","","","0.441","0.441","0.441","","",""
"28650","","","","","","","0.032","0.032","0.032"
"28652","","","","","","","0.468","0.468","0.468"
"28654","","","","","","","0.5155","0.5155","0.5155"
"28655","0.4495","0.4495","0.4495","","","","","",""
"28658","0.4825","0.4825","0.4825","","","","","",""
"28661","","","","0.5015","0.5015","0.5015","","",""
"28665","0.5125","0.5125","0.5125","","","","","",""
"28669","","","","0.5105","0.5105","0.5105","","",""
"28670","","","","0.513","0.513","0.513","","",""
"28672","0.5175","0.5175","0.5175","","","","","",""
"28675","","","","0.0075","0.0075","0.0075","","",""
"28679","","","","0.32","0.32","0.32","0.3955","0.3955","0.3955"
"28681","0.353","0.353","0.353","0.364","0.364","0.364","","",""
"28693","","","","0.4065","0.4065","0.4065","","",""
"28696","","","","0.407","0.407","0.407","","",""
"28697","0.402","0.402","0.402","","","","","",""
"28704","0.305","0.305","0.305","","","","","",""
"28705","0.34","0.34","0.34","","","","","",""
"28707","","","","0.365","0.365","0.365","","",""
"28711","","","","0.3885","0.3885","0.3885","0.435","0.435","0.435"
"28713","","","","0.388","0.388","0.388","0.4355","0.4355","0.4355"
"28715","0.398","0.398","0.398","0.3915","0.3915","0.3915","","",""
"28717","0.401","0.401","0.401","","","","0.4435","0.4435","0.4435"
"28729","","","","","","","0.429","0.429","0.429"
"28731","","","","","","","0.461","0.461","0.461"
"28732","","","","0.406","0.406","0.406","","",""
"28735","","","","0.4145","0.4145","0.4145","","",""
"28736","","","","0.4205","0.4205","0.4205","0.4665","0.4665","0.4665"
"28738","","","","0.424","0.424","0.424","0.472","0.472","0.472"
"28739","0.4285","0.4285","0.4285","","","","","",""
"28741","0.4295","0.4295","0.4295","","","","","",""
"28746","","","","","","","0.4685","0.4685","0.4685"
"28751","","","","0.0755","0.0755","0.0755","","",""
"28760","0.4105","0.4105","0.4105","","","","","",""
"28762","","","","","","","0.456","0.456","0.456"
"28764","0.4235","0.4235","0.4235","","","","","",""
"28767","","","","0.4235","0.4235","0.4235","","",""
"28771","","","","0.4285","0.4285","0.4285","","",""
"28774","0.4365","0.4365","0.4365","","","","","",""
"28775","","","","","","","0.0425","0.0425","0.0425"
"28781","","","","0.4165","0.4165","0.4165","0.479","0.479","0.479"
"28784","0.444","0.444","0.444","","","","","",""
"28785","","","","","","","0.502","0.502","0.502"
"28786","","","","0.446","0.446","0.446","0.504","0.504","0.504"
"28787","","","","","","","0.509","0.509","0.509"
"28790","","","","","","","0.5155","0.5155","0.5155"
"28794","0.472","0.472","0.472","0.469","0.469","0.469","","",""
"28795","","","","0.472","0.472","0.472","0.523","0.523","0.523"
"28797","","","","0.4725","0.4725","0.4725","0.525","0.525","0.525"
"28799","","","","","","","0.529","0.529","0.529"
"28800","0.003","0.003","0.003","","","","","",""
"28801","0.088","0.088","0.088","","","","","",""
"28803","","","","0.264","0.264","0.264","","",""
"28805","","","","0.3675","0.3675","0.3675","","",""
"28809","","","","0.4235","0.4235","0.4235","","",""
"28813","0.4355","0.4355","0.4355","","","","","",""
"28815","","","","0.443","0.443","0.443","","",""
"28816","","","","0.4455","0.4455","0.4455","","",""
"28817","0.434","0.434","0.434","0.4545","0.4545","0.4545","","",""
"28821","0.4445","0.4445","0.4445","","","","","",""
"28824","0.4475","0.4475","0.4475","","","","","",""
"28829","","","","","","","0.4785","0.4785","0.4785"
"28831","","","","","","","0.489","0.489","0.489"
"28832","0.4675","0.4675","0.4675","","","","","",""
"28834","0.4845","0.4845","0.4845","","","","","",""
"28836","0.4965","0.4965","0.4965","","","","0.518","0.518","0.518"
"28837","0.4985","0.4985","0.4985","","","","","",""
"28844","","","","0.499","0.499","0.499","0.5305","0.5305","0.5305"
"28849","","","","0.5065","0.5065","0.5065","","",""
"28853","0.2975","0.2975","0.2975","","","","","",""
"28854","","","","0.3545","0.3545","0.3545","","",""
"28858","","","","0.431","0.431","0.431","","",""
"28860","","","","0.4375","0.4375","0.4375","","",""
"28861","","","","","","","0.4535","0.4535","0.4535"
"28871","","","","","","","0.4565","0.4565","0.4565"
"28872","","","","0.4595","0.4595","0.4595","","",""
"28873","","","","0.4565","0.4565","0.4565","","",""
"28874","0.4475","0.4475","0.4475","0.4605","0.4605","0.4605","","",""
"28876","","","","0.0785","0.0785","0.0785","","",""
"28879","0.373","0.373","0.373","0.354","0.354","0.354","0.4085","0.4085","0.4085"
"28880","","","","0.39","0.39","0.39","","",""
"28881","","","","0.41","0.41","0.41","","",""
"28885","","","","","","","0.474","0.474","0.474"
"28887","","","","0.4525","0.4525","0.4525","","",""
"28892","","","","","","","0.491","0.491","0.491"
"28896","","","","","","","0.493","0.493","0.493"
"28898","","","","0.458","0.458","0.458","","",""
"28899","0.475","0.475","0.475","","","","0.4965","0.4965","0.4965"
"28900","","","","0.0045","0.0045","0.0045","","",""
"28902","","","","0.1865","0.1865","0.1865","","",""
"28904","0.324","0.324","0.324","","","","","",""
"28906","0.3755","0.3755","0.3755","","","","","",""
"28908","0.3955","0.3955","0.3955","","","","","",""
"28909","","","","0.4035","0.4035","0.4035","","",""
"28911","","","","","","","0.4375","0.4375","0.4375"
"28912","","","","","","","0.44","0.44","0.44"
"28916","0.42","0.42","0.42","","","","0.4465","0.4465","0.4465"
"28917","0.422","0.422","0.422","","","","","",""
"28927","0.25","0.25","0.25","","","","","",""
"28929","0.422","0.422","0.422","","","","0.5055","0.5055","0.5055"
"28931","","","","0.4515","0.4515","0.4515","","",""
"28933","","","","","","","0.5345","0.5345","0.5345"
"28936","0.505","0.505","0.505","","","","","",""
"28937","0.508","0.508","0.508","","","","","",""
"28938","","","","0.5065","0.5065","0.5065","","",""
"28940","","","","","","","0.558","0.558","0.558"
"28945","","","","0.5155","0.5155","0.5155","0.5615","0.5615","0.5615"
"28949","","","","","","","0.572","0.572","0.572"
"28950","","","","","","","0.018","0.018","0.018"
"28954","0.333","0.333","0.333","","","","","",""
"28955","0.3695","0.3695","0.3695","","","","","",""
"28957","0.4","0.4","0.4","","","","","",""
"28958","","","","","","","0.4435","0.4435","0.4435"
"28960","0.417","0.417","0.417","","","","","",""
"28963","","","","","","","0.459","0.459","0.459"
"28966","","","","","","","0.471","0.471","0.471"
"28969","","","","","","","0.473","0.473","0.473"
"28973","0.442","0.442","0.442","","","","","",""
"28974","","","","0.4135","0.4135","0.4135","","",""
"28975","","","","0.009","0.009","0.009","","",""
"28978","","","","","","","0.3945","0.3945","0.3945"
"28979","","","","0.33","0.33","0.33","","",""
"28982","0.417","0.417","0.417","","","","","",""
"28983","","","","","","","0.4545","0.4545","0.4545"
"28984","","","","0.4155","0.4155","0.4155","","",""
"28985","","","","","","","0.4615","0.4615","0.4615"
"28986","","","","0.419","0.419","0.419","","",""
"28990","0.448","0.448","0.448","0.43","0.43","0.43","","",""
"28994","","","","","","","0.474","0.474","0.474"
"28995","","","","","","","0.476","0.476","0.476"
"29003","","","","0.3225","0.3225","0.3225","","",""
"29004","","","","","","","0.436","0.436","0.436"
"29007","0.4465","0.4465","0.4465","","","","0.487","0.487","0.487"
"29012","","","","","","","0.51","0.51","0.51"
"29013","0.4795","0.4795","0.4795","0.4805","0.4805","0.4805","","",""
"29015","","","","0.4785","0.4785","0.4785","","",""
"29019","","","","","","","0.521","0.521","0.521"
"29023","","","","0.497","0.497","0.497","","",""
"29026","","","","","","","0.2695","0.2695","0.2695"
"29028","","","","0.299","0.299","0.299","","",""
"29035","0.398","0.398","0.398","","","","0.4185","0.4185","0.4185"
"29036","","","","","","","0.421","0.421","0.421"
"29038","","","","0.393","0.393","0.393","","",""
"29040","","","","0.396","0.396","0.396","","",""
"29042","","","","","","","0.4295","0.4295","0.4295"
"29045","0.4215","0.4215","0.4215","","","","","",""
"29047","","","","0.3995","0.3995","0.3995","","",""
"29052","","","","0.2465","0.2465","0.2465","","",""
"29053","0.3145","0.3145","0.3145","","","","","",""
"29055","","","","","","","0.438","0.438","0.438"
"29057","0.416","0.416","0.416","","","","","",""
"29062","","","","0.4385","0.4385","0.4385","","",""
"29066","0.438","0.438","0.438","","","","","",""
"29069","0.4435","0.4435","0.4435","","","","","",""
"29072","","","","0.451","0.451","0.451","","",""
"29077","0.2085","0.2085","0.2085","","","","0.345","0.345","0.345"
"29079","","","","0.3395","0.3395","0.3395","","",""
"29084","0.416","0.416","0.416","","","","","",""
"29086","0.426","0.426","0.426","","","","","",""
"29087","","","","","","","0.4685","0.4685","0.4685"
"29088","","","","","","","0.4735","0.4735","0.4735"
"29089","","","","","","","0.477","0.477","0.477"
"29093","","","","","","","0.486","0.486","0.486"
"29096","","","","0.4455","0.4455","0.4455","0.4855","0.4855","0.4855"
"29097","0.45","0.45","0.45","","","","","",""
"29100","0.002","0.002","0.002","0.0015","0.0015","0.0015","","",""
"29103","","","","0.2945","0.2945","0.2945","","",""
"29106","0.375","0.375","0.375","","","","","",""
"29108","0.394","0.394","0.394","","","","","",""
"29109","","","","","","","0.4265","0.4265","0.4265"
"29110","","","","","","","0.435","0.435","0.435"
"29112","","","","0.425","0.425","0.425","","",""
"29116","","","","0.4265","0.4265","0.4265","","",""
"29117","0.4265","0.4265","0.4265","","","","","",""
"29118","","","","","","","0.45","0.45","0.45"
"29119","","","","","","","0.447","0.447","0.447"
"29120","","","","0.433","0.433","0.433","","",""
"29123","","","","","","","0.453","0.453","0.453"
"29125","0.023","0.023","0.023","0.0185","0.0185","0.0185","","",""
"29129","","","","","","","0.374","0.374","0.374"
"29131","","","","0.343","0.343","0.343","0.4095","0.4095","0.4095"
"29134","0.3775","0.3775","0.3775","","","","","",""
"29141","0.3885","0.3885","0.3885","","","","","",""
"29143","","","","","","","0.4355","0.4355","0.4355"
"29145","","","","0.3875","0.3875","0.3875","0.4425","0.4425","0.4425"
"29147","","","","","","","0.4425","0.4425","0.4425"
"29149","","","","","","","0.448","0.448","0.448"
"29154","","","","","","","0.425","0.425","0.425"
"29156","0.388","0.388","0.388","","","","","",""
"29157","","","","0.403","0.403","0.403","","",""
"29158","","","","","","","0.4565","0.4565","0.4565"
"29161","0.4195","0.4195","0.4195","","","","","",""
"29162","","","","0.4175","0.4175","0.4175","","",""
"29166","0.4305","0.4305","0.4305","","","","","",""
"29168","0.432","0.432","0.432","","","","","",""
"29169","","","","0.428","0.428","0.428","","",""
"29170","","","","0.4295","0.4295","0.4295","","",""
"29174","","","","0.4305","0.4305","0.4305","0.4785","0.4785","0.4785"
"29175","","","","","","","0.006","0.006","0.006"
"29177","0.2685","0.2685","0.2685","","","","","",""
"29182","0.3885","0.3885","0.3885","0.3825","0.3825","0.3825","","",""
"29184","","","","0.3925","0.3925","0.3925","","",""
"29187","","","","","","","0.4305","0.4305","0.4305"
"29188","","","","","","","0.4275","0.4275","0.4275"
"29190","","","","0.405","0.405","0.405","","",""
"29191","0.4085","0.4085","0.4085","","","","","",""
"29197","0.419","0.419","0.419","","","","","",""
"29200","","","","","","","0.056","0.056","0.056"
"29202","0.2075","0.2075","0.2075","","","","","",""
"29204","0.3405","0.3405","0.3405","","","","","",""
"29206","0.3945","0.3945","0.3945","","","","","",""
"29207","","","","","","","0.465","0.465","0.465"
"29209","","","","","","","0.474","0.474","0.474"
"29210","0.419","0.419","0.419","0.408","0.408","0.408","","",""
"29211","","","","","","","0.4775","0.4775","0.4775"
"29212","","","","0.414","0.414","0.414","","",""
"29217","","","","0.4205","0.4205","0.4205","","",""
"29218","","","","","","","0.4995","0.4995","0.4995"
"29220","0.4305","0.4305","0.4305","","","","","",""
"29221","","","","0.424","0.424","0.424","","",""
"29222","","","","0.426","0.426","0.426","0.49","0.49","0.49"
