"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"483","","","","","","","0.1735","0.1735","0.1735"
"486","0.213","0.213","0.213","","","","","",""
"487","","","","0.21","0.21","0.21","","",""
"488","","","","","","","0.2225","0.2225","0.2225"
"489","0.233","0.233","0.233","","","","","",""
"490","0.235","0.235","0.235","0.2265","0.2265","0.2265","","",""
"491","","","","0.2275","0.2275","0.2275","","",""
"493","","","","","","","0.2375","0.2375","0.2375"
"494","","","","0.2355","0.2355","0.2355","","",""
"495","0.248","0.248","0.248","","","","0.242","0.242","0.242"
"497","0.244","0.244","0.244","","","","","",""
"498","","","","","","","0.2465","0.2465","0.2465"
"500","0.0085","0.0085","0.0085","","","","","",""
"501","","","","0.02","0.02","0.02","","",""
"502","0.057","0.057","0.057","0.059","0.059","0.059","","",""
"504","","","","0.124","0.124","0.124","","",""
"505","","","","0.1395","0.1395","0.1395","","",""
"507","0.193","0.193","0.193","","","","0.189","0.189","0.189"
"512","","","","","","","0.229","0.229","0.229"
"513","0.2325","0.2325","0.2325","0.2275","0.2275","0.2275","","",""
"514","","","","","","","0.235","0.235","0.235"
"515","0.243","0.243","0.243","","","","","",""
"516","0.243","0.243","0.243","","","","","",""
"522","0.2615","0.2615","0.2615","","","","","",""
"523","","","","0.2425","0.2425","0.2425","","",""
"525","","","","","","","0.04","0.04","0.04"
"529","","","","","","","0.155","0.155","0.155"
"531","","","","","","","0.187","0.187","0.187"
"542","","","","0.236","0.236","0.236","","",""
