"Step","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MIN","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MAX"
"241","0.567","0.567","0.567"
"242","0.5685","0.5685","0.5685"
"243","0.5855","0.5855","0.5855"
"244","0.597","0.597","0.597"
"245","0.6385","0.6385","0.6385"
"246","0.637","0.637","0.637"
"247","0.628","0.628","0.628"
"248","0.658","0.658","0.658"
"249","0.6865","0.6865","0.6865"
"250","0.1475","0.1475","0.1475"
"251","0.6085","0.6085","0.6085"
"252","0.6185","0.6185","0.6185"
"253","0.6525","0.6525","0.6525"
"254","0.6135","0.6135","0.6135"
"255","0.614","0.614","0.614"
"256","0.577","0.577","0.577"
"257","0.611","0.611","0.611"
"258","0.598","0.598","0.598"
"259","0.6345","0.6345","0.6345"
"260","0.106","0.106","0.106"
"261","0.5705","0.5705","0.5705"
"262","0.6145","0.6145","0.6145"
"263","0.609","0.609","0.609"
"264","0.6405","0.6405","0.6405"
"265","0.675","0.675","0.675"
"266","0.579","0.579","0.579"
"267","0.599","0.599","0.599"
"268","0.591","0.591","0.591"
"269","0.561","0.561","0.561"
"270","0.1775","0.1775","0.1775"
"271","0.5605","0.5605","0.5605"
"272","0.555","0.555","0.555"
"273","0.582","0.582","0.582"
"274","0.565","0.565","0.565"
"275","0.603","0.603","0.603"
"276","0.6445","0.6445","0.6445"
"277","0.661","0.661","0.661"
"278","0.665","0.665","0.665"
"279","0.6245","0.6245","0.6245"
"280","0.1605","0.1605","0.1605"
"281","0.541","0.541","0.541"
"282","0.52","0.52","0.52"
"283","0.597","0.597","0.597"
"284","0.5935","0.5935","0.5935"
"285","0.6275","0.6275","0.6275"
"286","0.558","0.558","0.558"
"287","0.605","0.605","0.605"
"288","0.586","0.586","0.586"
"289","0.593","0.593","0.593"
"290","0.294","0.294","0.294"
"291","0.587","0.587","0.587"
"292","0.606","0.606","0.606"
"293","0.6535","0.6535","0.6535"
"294","0.652","0.652","0.652"
"295","0.6795","0.6795","0.6795"
"296","0.6445","0.6445","0.6445"
"297","0.656","0.656","0.656"
"298","0.6815","0.6815","0.6815"
"299","0.6815","0.6815","0.6815"
"300","0.298","0.298","0.298"
"301","0.5355","0.5355","0.5355"
"302","0.5895","0.5895","0.5895"
"303","0.5385","0.5385","0.5385"
"304","0.5265","0.5265","0.5265"
"305","0.582","0.582","0.582"
"306","0.5575","0.5575","0.5575"
"307","0.5815","0.5815","0.5815"
"308","0.564","0.564","0.564"
"309","0.556","0.556","0.556"
"310","0.1495","0.1495","0.1495"
"311","0.573","0.573","0.573"
"312","0.5605","0.5605","0.5605"
"313","0.6665","0.6665","0.6665"
"314","0.687","0.687","0.687"
"315","0.6535","0.6535","0.6535"
"316","0.683","0.683","0.683"
"317","0.7","0.7","0.7"
"318","0.689","0.689","0.689"
"319","0.6845","0.6845","0.6845"
"320","0.152","0.152","0.152"
"321","0.5595","0.5595","0.5595"
"322","0.608","0.608","0.608"
"323","0.624","0.624","0.624"
"324","0.6425","0.6425","0.6425"
"325","0.638","0.638","0.638"
"326","0.642","0.642","0.642"
"327","0.6645","0.6645","0.6645"
"328","0.6945","0.6945","0.6945"
"329","0.7","0.7","0.7"
"330","0.1235","0.1235","0.1235"
"331","0.624","0.624","0.624"
"332","0.5975","0.5975","0.5975"
"333","0.6305","0.6305","0.6305"
"334","0.6495","0.6495","0.6495"
"335","0.6275","0.6275","0.6275"
"336","0.6345","0.6345","0.6345"
"337","0.6495","0.6495","0.6495"
"338","0.6445","0.6445","0.6445"
"339","0.659","0.659","0.659"
"340","0.079","0.079","0.079"
"341","0.5615","0.5615","0.5615"
"342","0.636","0.636","0.636"
"343","0.6125","0.6125","0.6125"
"344","0.566","0.566","0.566"
"345","0.6315","0.6315","0.6315"
"346","0.5985","0.5985","0.5985"
"347","0.604","0.604","0.604"
"348","0.632","0.632","0.632"
"349","0.61","0.61","0.61"
"350","0.05","0.05","0.05"
"351","0.467","0.467","0.467"
"352","0.5665","0.5665","0.5665"
"353","0.5765","0.5765","0.5765"
"354","0.572","0.572","0.572"
"355","0.552","0.552","0.552"
"356","0.6615","0.6615","0.6615"
"357","0.59","0.59","0.59"
"358","0.596","0.596","0.596"
"359","0.661","0.661","0.661"
"360","0.224","0.224","0.224"
"361","0.5445","0.5445","0.5445"
"362","0.563","0.563","0.563"
"363","0.5405","0.5405","0.5405"
"364","0.583","0.583","0.583"
"365","0.567","0.567","0.567"
"366","0.5755","0.5755","0.5755"
"367","0.6145","0.6145","0.6145"
"368","0.613","0.613","0.613"
"369","0.5605","0.5605","0.5605"
"370","0.119","0.119","0.119"
"371","0.5825","0.5825","0.5825"
"372","0.6515","0.6515","0.6515"
"373","0.675","0.675","0.675"
"374","0.623","0.623","0.623"
"375","0.7205","0.7205","0.7205"
"376","0.712","0.712","0.712"
"377","0.737","0.737","0.737"
"378","0.7365","0.7365","0.7365"
"379","0.7565","0.7565","0.7565"
"380","0.2505","0.2505","0.2505"
"381","0.6615","0.6615","0.6615"
"382","0.676","0.676","0.676"
"383","0.6735","0.6735","0.6735"
"384","0.702","0.702","0.702"
"385","0.7295","0.7295","0.7295"
"386","0.713","0.713","0.713"
"387","0.743","0.743","0.743"
"388","0.719","0.719","0.719"
"389","0.7175","0.7175","0.7175"
"390","0.0995","0.0995","0.0995"
"391","0.5565","0.5565","0.5565"
"392","0.567","0.567","0.567"
"393","0.6115","0.6115","0.6115"
"394","0.588","0.588","0.588"
"395","0.6045","0.6045","0.6045"
"396","0.613","0.613","0.613"
"397","0.6305","0.6305","0.6305"
"398","0.6465","0.6465","0.6465"
"399","0.6275","0.6275","0.6275"
"400","0.186","0.186","0.186"
"401","0.453","0.453","0.453"
"402","0.551","0.551","0.551"
"403","0.5515","0.5515","0.5515"
"404","0.5595","0.5595","0.5595"
"405","0.5685","0.5685","0.5685"
"406","0.6","0.6","0.6"
"407","0.654","0.654","0.654"
"408","0.653","0.653","0.653"
"409","0.641","0.641","0.641"
"410","0.106","0.106","0.106"
"411","0.546","0.546","0.546"
"412","0.6255","0.6255","0.6255"
"413","0.544","0.544","0.544"
"414","0.568","0.568","0.568"
"415","0.667","0.667","0.667"
"416","0.665","0.665","0.665"
"417","0.6555","0.6555","0.6555"
"418","0.636","0.636","0.636"
"419","0.658","0.658","0.658"
"420","0.059","0.059","0.059"
"421","0.4995","0.4995","0.4995"
"422","0.637","0.637","0.637"
"423","0.6115","0.6115","0.6115"
"424","0.641","0.641","0.641"
"425","0.673","0.673","0.673"
"426","0.6775","0.6775","0.6775"
"427","0.6835","0.6835","0.6835"
"428","0.6115","0.6115","0.6115"
"429","0.683","0.683","0.683"
"430","0.107","0.107","0.107"
"431","0.5745","0.5745","0.5745"
"432","0.6075","0.6075","0.6075"
"433","0.6765","0.6765","0.6765"
"434","0.674","0.674","0.674"
"435","0.6365","0.6365","0.6365"
"436","0.6545","0.6545","0.6545"
"437","0.6045","0.6045","0.6045"
"438","0.6035","0.6035","0.6035"
"439","0.682","0.682","0.682"
"440","0.1275","0.1275","0.1275"
"441","0.519","0.519","0.519"
"442","0.574","0.574","0.574"
"443","0.5715","0.5715","0.5715"
"444","0.621","0.621","0.621"
"445","0.6455","0.6455","0.6455"
"446","0.6415","0.6415","0.6415"
"447","0.6375","0.6375","0.6375"
"448","0.6535","0.6535","0.6535"
"449","0.6865","0.6865","0.6865"
"450","0.0815","0.0815","0.0815"
"451","0.527","0.527","0.527"
"452","0.585","0.585","0.585"
"453","0.5995","0.5995","0.5995"
"454","0.5805","0.5805","0.5805"
"455","0.547","0.547","0.547"
"456","0.5655","0.5655","0.5655"
"457","0.616","0.616","0.616"
"458","0.6275","0.6275","0.6275"
"459","0.6345","0.6345","0.6345"
"460","0.1725","0.1725","0.1725"
"461","0.6435","0.6435","0.6435"
"462","0.668","0.668","0.668"
"463","0.657","0.657","0.657"
"464","0.696","0.696","0.696"
"465","0.7245","0.7245","0.7245"
"466","0.7355","0.7355","0.7355"
"467","0.802","0.802","0.802"
"468","0.7745","0.7745","0.7745"
"469","0.711","0.711","0.711"
"470","0.0015","0.0015","0.0015"
"471","0.544","0.544","0.544"
"472","0.587","0.587","0.587"
"473","0.5085","0.5085","0.5085"
"474","0.527","0.527","0.527"
"475","0.599","0.599","0.599"
"476","0.5735","0.5735","0.5735"
"477","0.695","0.695","0.695"
"478","0.6605","0.6605","0.6605"
"479","0.643","0.643","0.643"
"480","0.097","0.097","0.097"
"481","0.537","0.537","0.537"
"482","0.5645","0.5645","0.5645"
"483","0.5275","0.5275","0.5275"
"484","0.6015","0.6015","0.6015"
"485","0.617","0.617","0.617"
"486","0.5735","0.5735","0.5735"
"487","0.635","0.635","0.635"
"488","0.593","0.593","0.593"
"489","0.558","0.558","0.558"
"490","0.133","0.133","0.133"
"491","0.552","0.552","0.552"
"492","0.571","0.571","0.571"
"493","0.556","0.556","0.556"
"494","0.6055","0.6055","0.6055"
"495","0.616","0.616","0.616"
"496","0.5885","0.5885","0.5885"
"497","0.673","0.673","0.673"
"498","0.617","0.617","0.617"
"499","0.6635","0.6635","0.6635"
"500","0.115","0.115","0.115"
"501","0.5975","0.5975","0.5975"
"502","0.5925","0.5925","0.5925"
"503","0.6015","0.6015","0.6015"
"504","0.594","0.594","0.594"
"505","0.6025","0.6025","0.6025"
"506","0.593","0.593","0.593"
"507","0.574","0.574","0.574"
"508","0.624","0.624","0.624"
"509","0.608","0.608","0.608"
"510","0.1265","0.1265","0.1265"
"511","0.6205","0.6205","0.6205"
