"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MAX"
"1043","0.3545","0.3545","0.3545"
"1049","0.3595","0.3595","0.3595"
"1063","0.368","0.368","0.368"
"1069","0.3725","0.3725","0.3725"
"1070","0.3705","0.3705","0.3705"
"1082","0.3805","0.3805","0.3805"
"1085","0.385","0.385","0.385"
"1103","0.0735","0.0735","0.0735"
"1104","0.0785","0.0785","0.0785"
"1106","0.093","0.093","0.093"
"1109","0.1295","0.1295","0.1295"
"1110","0.1575","0.1575","0.1575"
"1111","0.181","0.181","0.181"
"1112","0.21","0.21","0.21"
"1119","0.302","0.302","0.302"
"1133","0.34","0.34","0.34"
"1141","0.344","0.344","0.344"
"1151","0.3575","0.3575","0.3575"
"1153","0.3595","0.3595","0.3595"
"1165","0.367","0.367","0.367"
"1170","0.365","0.365","0.365"
"1174","0.366","0.366","0.366"
"1180","0.368","0.368","0.368"
"1187","0.3735","0.3735","0.3735"
"1195","0.3845","0.3845","0.3845"
"1202","0.046","0.046","0.046"
"1205","0.0875","0.0875","0.0875"
"1206","0.1145","0.1145","0.1145"
"1208","0.168","0.168","0.168"
"1217","0.296","0.296","0.296"
"1220","0.32","0.32","0.32"
"1223","0.323","0.323","0.323"
"1225","0.327","0.327","0.327"
"1233","0.3485","0.3485","0.3485"
"1236","0.3545","0.3545","0.3545"
"1238","0.355","0.355","0.355"
"1240","0.357","0.357","0.357"
"1242","0.355","0.355","0.355"
"1243","0.3545","0.3545","0.3545"
"1244","0.355","0.355","0.355"
"1248","0.3635","0.3635","0.3635"
"1249","0.361","0.361","0.361"
"1261","0.3685","0.3685","0.3685"
"1263","0.37","0.37","0.37"
"1270","0.3765","0.3765","0.3765"
"1276","0.3825","0.3825","0.3825"
