"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"348","0.2485","0.2485","0.2485"
"349","0.253","0.253","0.253"
"350","0","0","0"
"351","0","0","0"
"352","0","0","0"
"353","0.016","0.016","0.016"
"354","0.0985","0.0985","0.0985"
"355","0.1215","0.1215","0.1215"
"356","0.1385","0.1385","0.1385"
"357","0.158","0.158","0.158"
"358","0.17","0.17","0.17"
"359","0.1785","0.1785","0.1785"
"360","0.191","0.191","0.191"
"361","0.2015","0.2015","0.2015"
"362","0.207","0.207","0.207"
"363","0.2075","0.2075","0.2075"
"364","0.2115","0.2115","0.2115"
"365","0.2145","0.2145","0.2145"
"366","0.215","0.215","0.215"
"367","0.218","0.218","0.218"
"368","0.2205","0.2205","0.2205"
"369","0.225","0.225","0.225"
"370","0.226","0.226","0.226"
"371","0.229","0.229","0.229"
"372","0.2275","0.2275","0.2275"
"373","0.2255","0.2255","0.2255"
"374","0.2285","0.2285","0.2285"
"375","0.003","0.003","0.003"
"376","0.0095","0.0095","0.0095"
"377","0.022","0.022","0.022"
"378","0.0375","0.0375","0.0375"
"379","0.0595","0.0595","0.0595"
"380","0.093","0.093","0.093"
"381","0.125","0.125","0.125"
"382","0.137","0.137","0.137"
"383","0.1595","0.1595","0.1595"
"384","0.168","0.168","0.168"
"385","0.1655","0.1655","0.1655"
"386","0.1745","0.1745","0.1745"
"387","0.1775","0.1775","0.1775"
"388","0.18","0.18","0.18"
"389","0.184","0.184","0.184"
"390","0.186","0.186","0.186"
"391","0.1895","0.1895","0.1895"
"392","0.1935","0.1935","0.1935"
"393","0.1935","0.1935","0.1935"
"394","0.197","0.197","0.197"
"395","0.19","0.19","0.19"
"396","0.196","0.196","0.196"
"397","0.2","0.2","0.2"
"398","0.1945","0.1945","0.1945"
"399","0.197","0.197","0.197"
"400","0","0","0"
"401","0","0","0"
"402","0","0","0"
"403","0.0215","0.0215","0.0215"
"404","0.099","0.099","0.099"
"405","0.142","0.142","0.142"
"406","0.1585","0.1585","0.1585"
"407","0.1535","0.1535","0.1535"
"408","0.16","0.16","0.16"
"409","0.1655","0.1655","0.1655"
"410","0.165","0.165","0.165"
"411","0.165","0.165","0.165"
"412","0.1755","0.1755","0.1755"
"413","0.178","0.178","0.178"
"414","0.181","0.181","0.181"
"415","0.1855","0.1855","0.1855"
"416","0.184","0.184","0.184"
"417","0.184","0.184","0.184"
"418","0.1855","0.1855","0.1855"
"419","0.1885","0.1885","0.1885"
"420","0.189","0.189","0.189"
"421","0.195","0.195","0.195"
"422","0.194","0.194","0.194"
"423","0.1945","0.1945","0.1945"
"424","0.196","0.196","0.196"
"425","0","0","0"
"426","0","0","0"
"427","0.001","0.001","0.001"
"428","0.0775","0.0775","0.0775"
"429","0.1455","0.1455","0.1455"
"430","0.164","0.164","0.164"
"431","0.171","0.171","0.171"
"432","0.1825","0.1825","0.1825"
"433","0.188","0.188","0.188"
"434","0.1845","0.1845","0.1845"
"435","0.191","0.191","0.191"
"436","0.1985","0.1985","0.1985"
"437","0.203","0.203","0.203"
"438","0.2185","0.2185","0.2185"
"439","0.2255","0.2255","0.2255"
"440","0.2285","0.2285","0.2285"
"441","0.228","0.228","0.228"
"442","0.2355","0.2355","0.2355"
"443","0.2395","0.2395","0.2395"
"444","0.2445","0.2445","0.2445"
"445","0.2495","0.2495","0.2495"
