"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"31956","0.5805","0.5805","0.5805"
"31962","0.5725","0.5725","0.5725"
"31968","0.5025","0.5025","0.5025"
"31973","0.4385","0.4385","0.4385"
"31978","0.579","0.579","0.579"
"31982","0.642","0.642","0.642"
"31983","0.6615","0.6615","0.6615"
"31995","0.5585","0.5585","0.5585"
"31996","0.551","0.551","0.551"
"32002","0.4825","0.4825","0.4825"
"32021","0.498","0.498","0.498"
"32022","0.547","0.547","0.547"
"32031","0.6135","0.6135","0.6135"
"32036","0.606","0.606","0.606"
"32041","0.581","0.581","0.581"
"32054","0.6385","0.6385","0.6385"
"32063","0.5995","0.5995","0.5995"
"32069","0.555","0.555","0.555"
"32073","0.5295","0.5295","0.5295"
"32074","0.498","0.498","0.498"
"32085","0.6155","0.6155","0.6155"
"32090","0.582","0.582","0.582"
"32107","0.6155","0.6155","0.6155"
"32113","0.5635","0.5635","0.5635"
"32117","0.544","0.544","0.544"
"32127","0.52","0.52","0.52"
"32131","0.523","0.523","0.523"
"32134","0.586","0.586","0.586"
"32136","0.5665","0.5665","0.5665"
"32137","0.522","0.522","0.522"
"32141","0.5425","0.5425","0.5425"
"32152","0.5275","0.5275","0.5275"
"32161","0.6515","0.6515","0.6515"
"32176","0.4295","0.4295","0.4295"
"32194","0.4805","0.4805","0.4805"
"32195","0.507","0.507","0.507"
"32197","0.489","0.489","0.489"
"32203","0.599","0.599","0.599"
"32205","0.6225","0.6225","0.6225"
"32213","0.508","0.508","0.508"
"32216","0.502","0.502","0.502"
"32223","0.4345","0.4345","0.4345"
"32234","0.5675","0.5675","0.5675"
"32239","0.4865","0.4865","0.4865"
"32240","0.49","0.49","0.49"
"32249","0.4465","0.4465","0.4465"
"32276","0.418","0.418","0.418"
"32286","0.583","0.583","0.583"
"32293","0.5505","0.5505","0.5505"
"32302","0.5505","0.5505","0.5505"
"32317","0.5715","0.5715","0.5715"
"32324","0.5015","0.5015","0.5015"
"32328","0.4765","0.4765","0.4765"
"32329","0.5645","0.5645","0.5645"
"32332","0.588","0.588","0.588"
"32339","0.58","0.58","0.58"
"32341","0.597","0.597","0.597"
"32343","0.5345","0.5345","0.5345"
"32347","0.539","0.539","0.539"
"32357","0.604","0.604","0.604"
"32361","0.533","0.533","0.533"
"32363","0.5595","0.5595","0.5595"
"32364","0.608","0.608","0.608"
"32371","0.506","0.506","0.506"
"32380","0.5765","0.5765","0.5765"
"32382","0.6055","0.6055","0.6055"
"32385","0.5875","0.5875","0.5875"
"32386","0.608","0.608","0.608"
"32394","0.531","0.531","0.531"
"32395","0.4965","0.4965","0.4965"
"32397","0.5075","0.5075","0.5075"
"32404","0.6285","0.6285","0.6285"
"32406","0.66","0.66","0.66"
"32412","0.642","0.642","0.642"
"32415","0.558","0.558","0.558"
"32433","0.6","0.6","0.6"
"32435","0.628","0.628","0.628"
"32436","0.5995","0.5995","0.5995"
"32438","0.545","0.545","0.545"
"32439","0.6155","0.6155","0.6155"
"32445","0.49","0.49","0.49"
"32447","0.475","0.475","0.475"
"32450","0","0","0"
"32465","0.565","0.565","0.565"
"32468","0.5745","0.5745","0.5745"
"32469","0.574","0.574","0.574"
"32473","0.5535","0.5535","0.5535"
"32478","0.538","0.538","0.538"
"32480","0.6215","0.6215","0.6215"
"32481","0.603","0.603","0.603"
"32484","0.5285","0.5285","0.5285"
"32496","0.5435","0.5435","0.5435"
"32500","0","0","0"
"32513","0.491","0.491","0.491"
"32514","0.5405","0.5405","0.5405"
"32518","0.5","0.5","0.5"
"32521","0.4975","0.4975","0.4975"
"32524","0.4815","0.4815","0.4815"
"32528","0.5845","0.5845","0.5845"
"32536","0.5975","0.5975","0.5975"
"32538","0.588","0.588","0.588"
"32541","0.52","0.52","0.52"
"32548","0.5","0.5","0.5"
"32553","0.547","0.547","0.547"
"32561","0.628","0.628","0.628"
"32568","0.561","0.561","0.561"
"32570","0.5705","0.5705","0.5705"
"32576","0.475","0.475","0.475"
"32580","0.6275","0.6275","0.6275"
"32582","0.6465","0.6465","0.6465"
"32584","0.575","0.575","0.575"
"32589","0.6165","0.6165","0.6165"
"32605","0.636","0.636","0.636"
"32606","0.6505","0.6505","0.6505"
"32612","0.588","0.588","0.588"
"32614","0.5315","0.5315","0.5315"
"32620","0.4955","0.4955","0.4955"
"32621","0.5065","0.5065","0.5065"
"32626","0.501","0.501","0.501"
"32629","0.682","0.682","0.682"
"32634","0.676","0.676","0.676"
"32637","0.595","0.595","0.595"
"32638","0.611","0.611","0.611"
"32644","0.529","0.529","0.529"
"32649","0.4965","0.4965","0.4965"
"32652","0.5095","0.5095","0.5095"
"32654","0.617","0.617","0.617"
"32667","0.5655","0.5655","0.5655"
"32676","0.457","0.457","0.457"
"32686","0.5835","0.5835","0.5835"
"32691","0.515","0.515","0.515"
"32692","0.5355","0.5355","0.5355"
"32708","0.6365","0.6365","0.6365"
"32711","0.6195","0.6195","0.6195"
"32726","0.4535","0.4535","0.4535"
"32728","0.5735","0.5735","0.5735"
"32729","0.6505","0.6505","0.6505"
"32742","0.593","0.593","0.593"
"32745","0.5345","0.5345","0.5345"
"32760","0.6285","0.6285","0.6285"
"32766","0.5445","0.5445","0.5445"
"32767","0.55","0.55","0.55"
"32770","0.5555","0.5555","0.5555"
"32771","0.526","0.526","0.526"
"32780","0.719","0.719","0.719"
"32782","0.711","0.711","0.711"
"32796","0.601","0.601","0.601"
"32804","0.6965","0.6965","0.6965"
"32806","0.638","0.638","0.638"
"32808","0.628","0.628","0.628"
"32812","0.607","0.607","0.607"
"32818","0.5465","0.5465","0.5465"
"32821","0.5435","0.5435","0.5435"
"32836","0.68","0.68","0.68"
"32837","0.591","0.591","0.591"
"32839","0.5735","0.5735","0.5735"
"32846","0.4865","0.4865","0.4865"
"32856","0.6395","0.6395","0.6395"
"32865","0.583","0.583","0.583"
"32873","0.456","0.456","0.456"
"32874","0.4485","0.4485","0.4485"
"32878","0.6205","0.6205","0.6205"
"32883","0.5775","0.5775","0.5775"
"32889","0.5905","0.5905","0.5905"
"32894","0.522","0.522","0.522"
"32927","0.6115","0.6115","0.6115"
"32931","0.687","0.687","0.687"
"32935","0.6275","0.6275","0.6275"
"32937","0.5965","0.5965","0.5965"
"32940","0.545","0.545","0.545"
"32946","0.486","0.486","0.486"
"32948","0.4635","0.4635","0.4635"
"32951","0.4305","0.4305","0.4305"
"32961","0.6055","0.6055","0.6055"
"32967","0.568","0.568","0.568"
"32973","0.5675","0.5675","0.5675"
"32987","0.6215","0.6215","0.6215"
"32991","0.5565","0.5565","0.5565"
"32993","0.5335","0.5335","0.5335"
"32994","0.528","0.528","0.528"
"32995","0.5245","0.5245","0.5245"
"32997","0.522","0.522","0.522"
"32998","0.494","0.494","0.494"
"33006","0.6725","0.6725","0.6725"
"33008","0.64","0.64","0.64"
"33012","0.591","0.591","0.591"
"33020","0.519","0.519","0.519"
"33025","0","0","0"
"33034","0.574","0.574","0.574"
"33035","0.59","0.59","0.59"
"33049","0.539","0.539","0.539"
"33052","0.5445","0.5445","0.5445"
"33060","0.5685","0.5685","0.5685"
"33066","0.526","0.526","0.526"
"33069","0.4735","0.4735","0.4735"
"33072","0.444","0.444","0.444"
"33074","0.4355","0.4355","0.4355"
"33088","0.588","0.588","0.588"
"33092","0.5415","0.5415","0.5415"
"33093","0.5665","0.5665","0.5665"
"33097","0.5205","0.5205","0.5205"
"33103","0.5955","0.5955","0.5955"
"33105","0.6195","0.6195","0.6195"
"33107","0.6175","0.6175","0.6175"
"33114","0.5435","0.5435","0.5435"
"33119","0.539","0.539","0.539"
"33120","0.4985","0.4985","0.4985"
"33136","0.5705","0.5705","0.5705"
"33159","0.57","0.57","0.57"
"33163","0.574","0.574","0.574"
"33165","0.5545","0.5545","0.5545"
"33174","0.456","0.456","0.456"
"33177","0.495","0.495","0.495"
"33189","0.6255","0.6255","0.6255"
"33193","0.5895","0.5895","0.5895"
"33212","0.539","0.539","0.539"
"33215","0.5245","0.5245","0.5245"
"33221","0.5315","0.5315","0.5315"
"33223","0.5045","0.5045","0.5045"
"33242","0.4785","0.4785","0.4785"
"33243","0.464","0.464","0.464"
"33248","0.4175","0.4175","0.4175"
"33259","0.6095","0.6095","0.6095"
"33269","0.5845","0.5845","0.5845"
"33273","0.5855","0.5855","0.5855"
"33276","0.4605","0.4605","0.4605"
"33279","0.62","0.62","0.62"
"33281","0.636","0.636","0.636"
"33288","0.494","0.494","0.494"
"33291","0.529","0.529","0.529"
"33293","0.5005","0.5005","0.5005"
"33303","0.596","0.596","0.596"
"33310","0.5565","0.5565","0.5565"
"33311","0.5415","0.5415","0.5415"
"33312","0.532","0.532","0.532"
"33313","0.4845","0.4845","0.4845"
"33314","0.52","0.52","0.52"
"33320","0.4935","0.4935","0.4935"
"33328","0.604","0.604","0.604"
"33330","0.5955","0.5955","0.5955"
"33341","0.5265","0.5265","0.5265"
"33355","0.6275","0.6275","0.6275"
"33356","0.6395","0.6395","0.6395"
"33360","0.662","0.662","0.662"
"33369","0.5395","0.5395","0.5395"
"33370","0.5185","0.5185","0.5185"
"33377","0.5345","0.5345","0.5345"
"33384","0.6475","0.6475","0.6475"
"33389","0.516","0.516","0.516"
"33396","0.4865","0.4865","0.4865"
"33420","0.5865","0.5865","0.5865"
"33426","0.4185","0.4185","0.4185"
"33439","0.486","0.486","0.486"
"33452","0.6135","0.6135","0.6135"
"33453","0.633","0.633","0.633"
"33455","0.6335","0.6335","0.6335"
"33458","0.6565","0.6565","0.6565"
"33460","0.61","0.61","0.61"
"33465","0.5775","0.5775","0.5775"
"33466","0.6055","0.6055","0.6055"
"33487","0.546","0.546","0.546"
"33495","0.5095","0.5095","0.5095"
"33496","0.5075","0.5075","0.5075"
"33503","0.526","0.526","0.526"
"33510","0.5455","0.5455","0.5455"
"33516","0.518","0.518","0.518"
"33523","0.5615","0.5615","0.5615"
"33529","0.567","0.567","0.567"
"33538","0.545","0.545","0.545"
"33540","0.54","0.54","0.54"
"33552","0.5865","0.5865","0.5865"
"33554","0.624","0.624","0.624"
"33556","0.5855","0.5855","0.5855"
"33560","0.5985","0.5985","0.5985"
"33593","0.512","0.512","0.512"
"33599","0.4915","0.4915","0.4915"
"33601","0.378","0.378","0.378"
"33602","0.5805","0.5805","0.5805"
"33606","0.672","0.672","0.672"
"33618","0.584","0.584","0.584"
"33619","0.502","0.502","0.502"
"33620","0.4525","0.4525","0.4525"
"33624","0.4575","0.4575","0.4575"
"33629","0.597","0.597","0.597"
"33637","0.6045","0.6045","0.6045"
"33638","0.569","0.569","0.569"
"33642","0.523","0.523","0.523"
"33645","0.4815","0.4815","0.4815"
"33649","0.4715","0.4715","0.4715"
"33651","0.4415","0.4415","0.4415"
"33658","0.6135","0.6135","0.6135"
"33663","0.6355","0.6355","0.6355"
"33676","0.437","0.437","0.437"
"33685","0.4955","0.4955","0.4955"
"33695","0.4625","0.4625","0.4625"
"33710","0.635","0.635","0.635"
"33711","0.5965","0.5965","0.5965"
"33712","0.589","0.589","0.589"
"33715","0.551","0.551","0.551"
"33716","0.5595","0.5595","0.5595"
"33723","0.5095","0.5095","0.5095"
"33726","0.4525","0.4525","0.4525"
"33727","0.5265","0.5265","0.5265"
"33732","0.6045","0.6045","0.6045"
"33733","0.6165","0.6165","0.6165"
"33735","0.62","0.62","0.62"
"33738","0.634","0.634","0.634"
"33765","0.543","0.543","0.543"
"33767","0.522","0.522","0.522"
"33772","0.448","0.448","0.448"
"33776","0.486","0.486","0.486"
"33780","0.4975","0.4975","0.4975"
"33789","0.495","0.495","0.495"
"33790","0.4795","0.4795","0.4795"
"33793","0.4825","0.4825","0.4825"
"33794","0.4735","0.4735","0.4735"
"33800","0","0","0"
"33801","0.5445","0.5445","0.5445"
"33802","0.652","0.652","0.652"
"33811","0.694","0.694","0.694"
"33812","0.6715","0.6715","0.6715"
"33822","0.5465","0.5465","0.5465"
"33828","0.631","0.631","0.631"
"33839","0.636","0.636","0.636"
"33842","0.6135","0.6135","0.6135"
"33843","0.577","0.577","0.577"
"33846","0.5625","0.5625","0.5625"
"33847","0.4935","0.4935","0.4935"
"33855","0.6325","0.6325","0.6325"
"33857","0.6485","0.6485","0.6485"
"33859","0.6675","0.6675","0.6675"
"33864","0.515","0.515","0.515"
"33868","0.5405","0.5405","0.5405"
"33872","0.52","0.52","0.52"
"33879","0.6745","0.6745","0.6745"
"33884","0.668","0.668","0.668"
"33887","0.642","0.642","0.642"
"33894","0.587","0.587","0.587"
"33895","0.5565","0.5565","0.5565"
"33914","0.665","0.665","0.665"
"33920","0.5045","0.5045","0.5045"
"33921","0.5225","0.5225","0.5225"
"33930","0.58","0.58","0.58"
"33935","0.609","0.609","0.609"
"33937","0.6105","0.6105","0.6105"
"33946","0.591","0.591","0.591"
"33954","0.678","0.678","0.678"
"33957","0.663","0.663","0.663"
"33958","0.6965","0.6965","0.6965"
"33964","0.65","0.65","0.65"
"33975","0","0","0"
"33982","0.6395","0.6395","0.6395"
"33983","0.5785","0.5785","0.5785"
"33993","0.463","0.463","0.463"
"33998","0.427","0.427","0.427"
"34002","0.543","0.543","0.543"
"34005","0.589","0.589","0.589"
"34019","0.484","0.484","0.484"
"34021","0.472","0.472","0.472"
"34023","0.4955","0.4955","0.4955"
"34024","0.4545","0.4545","0.4545"
"34025","0","0","0"
"34028","0.531","0.531","0.531"
"34029","0.553","0.553","0.553"
"34034","0.5745","0.5745","0.5745"
"34036","0.554","0.554","0.554"
"34045","0.483","0.483","0.483"
"34046","0.4995","0.4995","0.4995"
"34054","0.542","0.542","0.542"
"34057","0.6405","0.6405","0.6405"
"34058","0.591","0.591","0.591"
"34076","0.468","0.468","0.468"
"34077","0.4915","0.4915","0.4915"
"34078","0.564","0.564","0.564"
"34079","0.509","0.509","0.509"
"34095","0.3895","0.3895","0.3895"
"34110","0.551","0.551","0.551"
"34113","0.58","0.58","0.58"
"34116","0.5335","0.5335","0.5335"
"34118","0.5475","0.5475","0.5475"
"34120","0.524","0.524","0.524"
"34128","0.569","0.569","0.569"
"34153","0.6145","0.6145","0.6145"
"34156","0.6305","0.6305","0.6305"
"34168","0.578","0.578","0.578"
"34180","0.695","0.695","0.695"
"34191","0.614","0.614","0.614"
"34194","0.6015","0.6015","0.6015"
"34195","0.563","0.563","0.563"
"34200","0","0","0"
"34207","0.599","0.599","0.599"
"34223","0.4245","0.4245","0.4245"
"34226","0.4855","0.4855","0.4855"
"34239","0.532","0.532","0.532"
"34253","0.575","0.575","0.575"
"34265","0.531","0.531","0.531"
"34271","0.496","0.496","0.496"
"34277","0.5285","0.5285","0.5285"
"34279","0.6245","0.6245","0.6245"
"34282","0.602","0.602","0.602"
"34285","0.565","0.565","0.565"
"34287","0.596","0.596","0.596"
"34290","0.524","0.524","0.524"
"34292","0.56","0.56","0.56"
"34299","0.4805","0.4805","0.4805"
"34302","0.479","0.479","0.479"
"34307","0.5785","0.5785","0.5785"
"34313","0.5475","0.5475","0.5475"
"34317","0.492","0.492","0.492"
"34318","0.495","0.495","0.495"
"34319","0.4185","0.4185","0.4185"
"34334","0.5945","0.5945","0.5945"
"34335","0.5745","0.5745","0.5745"
"34338","0.579","0.579","0.579"
"34351","0.4025","0.4025","0.4025"
"34353","0.5015","0.5015","0.5015"
"34356","0.493","0.493","0.493"
"34363","0.49","0.49","0.49"
"34366","0.4745","0.4745","0.4745"
"34377","0.497","0.497","0.497"
"34388","0.5535","0.5535","0.5535"
"34390","0.5615","0.5615","0.5615"
"34392","0.525","0.525","0.525"
"34408","0.5895","0.5895","0.5895"
"34412","0.5645","0.5645","0.5645"
"34417","0.568","0.568","0.568"
"34425","0","0","0"
"34441","0.6115","0.6115","0.6115"
"34442","0.5425","0.5425","0.5425"
"34444","0.5315","0.5315","0.5315"
"34447","0.4865","0.4865","0.4865"
"34454","0.6525","0.6525","0.6525"
"34458","0.653","0.653","0.653"
"34483","0.7085","0.7085","0.7085"
"34503","0.578","0.578","0.578"
"34520","0.5335","0.5335","0.5335"
"34533","0.6755","0.6755","0.6755"
"34548","0.482","0.482","0.482"
"34550","0","0","0"
"34552","0.5965","0.5965","0.5965"
"34553","0.6675","0.6675","0.6675"
"34559","0.642","0.642","0.642"
"34560","0.61","0.61","0.61"
"34565","0.5905","0.5905","0.5905"
"34566","0.6495","0.6495","0.6495"
"34575","0","0","0"
"34581","0.586","0.586","0.586"
"34582","0.522","0.522","0.522"
"34583","0.599","0.599","0.599"
"34589","0.537","0.537","0.537"
"34593","0.513","0.513","0.513"
"34597","0.4395","0.4395","0.4395"
"34601","0.501","0.501","0.501"
"34633","0.6595","0.6595","0.6595"
"34640","0.555","0.555","0.555"
"34644","0.4495","0.4495","0.4495"
"34645","0.471","0.471","0.471"
"34649","0.4745","0.4745","0.4745"
"34657","0.676","0.676","0.676"
"34661","0.643","0.643","0.643"
"34666","0.5575","0.5575","0.5575"
"34667","0.569","0.569","0.569"
"34668","0.5475","0.5475","0.5475"
"34669","0.511","0.511","0.511"
"34684","0.6205","0.6205","0.6205"
"34693","0.5245","0.5245","0.5245"
"34699","0.477","0.477","0.477"
"34703","0.5835","0.5835","0.5835"
"34712","0.572","0.572","0.572"
"34718","0.501","0.501","0.501"
"34722","0.5265","0.5265","0.5265"
"34728","0.624","0.624","0.624"
"34729","0.6525","0.6525","0.6525"
"34734","0.671","0.671","0.671"
"34739","0.5845","0.5845","0.5845"
"34758","0.656","0.656","0.656"
"34773","0.539","0.539","0.539"
"34776","0.478","0.478","0.478"
"34778","0.646","0.646","0.646"
"34781","0.6965","0.6965","0.6965"
"34782","0.648","0.648","0.648"
"34795","0.5075","0.5075","0.5075"
"34796","0.555","0.555","0.555"
"34797","0.5415","0.5415","0.5415"
"34798","0.4775","0.4775","0.4775"
"34805","0.657","0.657","0.657"
"34819","0.531","0.531","0.531"
"34824","0.468","0.468","0.468"
"34838","0.5365","0.5365","0.5365"
"34840","0.527","0.527","0.527"
"34843","0.5115","0.5115","0.5115"
"34845","0.4445","0.4445","0.4445"
"34849","0.4785","0.4785","0.4785"
"34855","0.567","0.567","0.567"
"34861","0.591","0.591","0.591"
"34867","0.5875","0.5875","0.5875"
"34881","0.66","0.66","0.66"
"34889","0.539","0.539","0.539"
"34890","0.5045","0.5045","0.5045"
"34897","0.487","0.487","0.487"
"34908","0.611","0.611","0.611"
"34909","0.6155","0.6155","0.6155"
"34914","0.561","0.561","0.561"
"34929","0.574","0.574","0.574"
"34930","0.61","0.61","0.61"
"34933","0.618","0.618","0.618"
"34935","0.662","0.662","0.662"
"34943","0.559","0.559","0.559"
"34944","0.5435","0.5435","0.5435"
"34949","0.52","0.52","0.52"
"34955","0.601","0.601","0.601"
"34959","0.648","0.648","0.648"
"34977","0.554","0.554","0.554"
"34984","0.608","0.608","0.608"
"34989","0.5875","0.5875","0.5875"
"34999","0.437","0.437","0.437"
"35000","0","0","0"
"35001","0.4475","0.4475","0.4475"
"35011","0.521","0.521","0.521"
"35013","0.512","0.512","0.512"
"35016","0.5115","0.5115","0.5115"
"35020","0.5135","0.5135","0.5135"
"35022","0.4735","0.4735","0.4735"
"35026","0.359","0.359","0.359"
"35034","0.545","0.545","0.545"
"35035","0.573","0.573","0.573"
"35043","0.512","0.512","0.512"
"35044","0.507","0.507","0.507"
"35050","0","0","0"
"35055","0.562","0.562","0.562"
"35065","0.582","0.582","0.582"
"35071","0.5475","0.5475","0.5475"
"35073","0.5735","0.5735","0.5735"
"35074","0.5425","0.5425","0.5425"
"35083","0.6385","0.6385","0.6385"
"35084","0.608","0.608","0.608"
"35089","0.5955","0.5955","0.5955"
"35091","0.553","0.553","0.553"
"35095","0.545","0.545","0.545"
"35104","0.635","0.635","0.635"
"35109","0.67","0.67","0.67"
"35115","0.5545","0.5545","0.5545"
"35123","0.51","0.51","0.51"
"35131","0.627","0.627","0.627"
"35152","0.5205","0.5205","0.5205"
"35154","0.5945","0.5945","0.5945"
"35159","0.666","0.666","0.666"
"35160","0.6345","0.6345","0.6345"
"35161","0.723","0.723","0.723"
"35171","0.567","0.567","0.567"
"35179","0.658","0.658","0.658"
"35185","0.624","0.624","0.624"
"35188","0.56","0.56","0.56"
"35207","0.571","0.571","0.571"
"35208","0.597","0.597","0.597"
"35209","0.614","0.614","0.614"
"35211","0.5945","0.5945","0.5945"
"35219","0.5455","0.5455","0.5455"
"35221","0.5385","0.5385","0.5385"
"35245","0.5475","0.5475","0.5475"
"35246","0.528","0.528","0.528"
"35247","0.525","0.525","0.525"
"35250","0","0","0"
"35274","0.424","0.424","0.424"
"35283","0.561","0.561","0.561"
"35288","0.5265","0.5265","0.5265"
"35296","0.4965","0.4965","0.4965"
"35302","0.522","0.522","0.522"
"35304","0.6445","0.6445","0.6445"
"35306","0.6425","0.6425","0.6425"
"35310","0.6415","0.6415","0.6415"
"35323","0.5305","0.5305","0.5305"
"35328","0.7165","0.7165","0.7165"
"35338","0.663","0.663","0.663"
"35345","0.551","0.551","0.551"
"35353","0.606","0.606","0.606"
"35364","0.518","0.518","0.518"
"35374","0.5385","0.5385","0.5385"
"35378","0.6505","0.6505","0.6505"
"35385","0.6955","0.6955","0.6955"
"35397","0.4825","0.4825","0.4825"
"35402","0.598","0.598","0.598"
"35406","0.6865","0.6865","0.6865"
"35410","0.621","0.621","0.621"
"35413","0.6105","0.6105","0.6105"
"35429","0.6305","0.6305","0.6305"
"35436","0.63","0.63","0.63"
"35441","0.5495","0.5495","0.5495"
"35444","0.5285","0.5285","0.5285"
"35455","0.545","0.545","0.545"
"35459","0.5645","0.5645","0.5645"
"35462","0.566","0.566","0.566"
"35471","0.508","0.508","0.508"
"35479","0.537","0.537","0.537"
"35480","0.589","0.589","0.589"
"35503","0.5885","0.5885","0.5885"
"35513","0.5615","0.5615","0.5615"
"35514","0.5865","0.5865","0.5865"
"35515","0.542","0.542","0.542"
"35520","0.513","0.513","0.513"
"35531","0.6255","0.6255","0.6255"
"35541","0.597","0.597","0.597"
"35546","0.6365","0.6365","0.6365"
"35547","0.5995","0.5995","0.5995"
"35550","0","0","0"
"35555","0.698","0.698","0.698"
"35558","0.6475","0.6475","0.6475"
"35567","0.5455","0.5455","0.5455"
"35572","0.5","0.5","0.5"
"35573","0.4765","0.4765","0.4765"
"35574","0.459","0.459","0.459"
"35579","0.566","0.566","0.566"
"35588","0.4755","0.4755","0.4755"
"35589","0.4805","0.4805","0.4805"
"35594","0.4255","0.4255","0.4255"
"35608","0.659","0.659","0.659"
"35615","0.5955","0.5955","0.5955"
"35616","0.54","0.54","0.54"
"35624","0.5285","0.5285","0.5285"
"35630","0.635","0.635","0.635"
"35642","0.559","0.559","0.559"
"35645","0.485","0.485","0.485"
"35655","0.6785","0.6785","0.6785"
"35665","0.628","0.628","0.628"
"35678","0.5815","0.5815","0.5815"
"35681","0.662","0.662","0.662"
"35697","0.483","0.483","0.483"
"35698","0.4975","0.4975","0.4975"
"35699","0.469","0.469","0.469"
"35707","0.663","0.663","0.663"
"35721","0.498","0.498","0.498"
"35723","0.447","0.447","0.447"
"35730","0.6665","0.6665","0.6665"
"35735","0.5225","0.5225","0.5225"
"35742","0.443","0.443","0.443"
"35743","0.432","0.432","0.432"
"35764","0.579","0.579","0.579"
"35765","0.542","0.542","0.542"
"35776","0.4985","0.4985","0.4985"
"35777","0.627","0.627","0.627"
"35782","0.5875","0.5875","0.5875"
"35791","0.59","0.59","0.59"
"35802","0.557","0.557","0.557"
"35818","0.5715","0.5715","0.5715"
"35823","0.5005","0.5005","0.5005"
"35824","0.4845","0.4845","0.4845"
"35827","0.4805","0.4805","0.4805"
"35833","0.5475","0.5475","0.5475"
"35847","0.495","0.495","0.495"
"35851","0.482","0.482","0.482"
"35869","0.5285","0.5285","0.5285"
"35870","0.577","0.577","0.577"
"35876","0.475","0.475","0.475"
"35883","0.5945","0.5945","0.5945"
"35887","0.533","0.533","0.533"
"35889","0.514","0.514","0.514"
"35894","0.478","0.478","0.478"
"35898","0.497","0.497","0.497"
"35905","0.5455","0.5455","0.5455"
"35912","0.598","0.598","0.598"
"35935","0.5225","0.5225","0.5225"
"35936","0.5615","0.5615","0.5615"
"35938","0.538","0.538","0.538"
"35940","0.528","0.528","0.528"
"35941","0.531","0.531","0.531"
"35961","0.59","0.59","0.59"
"35971","0.52","0.52","0.52"
"35975","0","0","0"
"35979","0.6925","0.6925","0.6925"
"35989","0.5805","0.5805","0.5805"
"35991","0.5215","0.5215","0.5215"
"36001","0.471","0.471","0.471"
"36003","0.5115","0.5115","0.5115"
"36007","0.595","0.595","0.595"
"36009","0.564","0.564","0.564"
"36015","0.524","0.524","0.524"
"36018","0.54","0.54","0.54"
"36026","0.48","0.48","0.48"
"36041","0.559","0.559","0.559"
"36065","0.577","0.577","0.577"
"36078","0.5675","0.5675","0.5675"
"36082","0.5165","0.5165","0.5165"
"36092","0.487","0.487","0.487"
"36103","0.536","0.536","0.536"
"36105","0.547","0.547","0.547"
"36107","0.571","0.571","0.571"
"36118","0.48","0.48","0.48"
"36120","0.4735","0.4735","0.4735"
"36121","0.5105","0.5105","0.5105"
"36124","0.488","0.488","0.488"
"36132","0.596","0.596","0.596"
"36133","0.65","0.65","0.65"
"36142","0.534","0.534","0.534"
"36150","0","0","0"
"36154","0.5935","0.5935","0.5935"
"36159","0.651","0.651","0.651"
"36177","0.472","0.472","0.472"
"36178","0.5325","0.5325","0.5325"
"36180","0.5595","0.5595","0.5595"
"36185","0.5485","0.5485","0.5485"
"36203","0.588","0.588","0.588"
"36206","0.5615","0.5615","0.5615"
"36208","0.599","0.599","0.599"
"36210","0.6265","0.6265","0.6265"
"36211","0.5775","0.5775","0.5775"
"36218","0.482","0.482","0.482"
"36222","0.475","0.475","0.475"
"36223","0.479","0.479","0.479"
"36239","0.5075","0.5075","0.5075"
"36245","0.45","0.45","0.45"
"36249","0.443","0.443","0.443"
"36267","0.5465","0.5465","0.5465"
"36269","0.4815","0.4815","0.4815"
"36295","0.514","0.514","0.514"
"36301","0.373","0.373","0.373"
"36316","0.5575","0.5575","0.5575"
"36319","0.573","0.573","0.573"
"36322","0.4895","0.4895","0.4895"
"36333","0.575","0.575","0.575"
"36337","0.5725","0.5725","0.5725"
"36341","0.583","0.583","0.583"
"36342","0.5355","0.5355","0.5355"
"36348","0.4775","0.4775","0.4775"
"36361","0.659","0.659","0.659"
"36368","0.5965","0.5965","0.5965"
"36372","0.588","0.588","0.588"
"36380","0.6565","0.6565","0.6565"
"36381","0.6495","0.6495","0.6495"
"36383","0.6515","0.6515","0.6515"
"36385","0.651","0.651","0.651"
"36389","0.596","0.596","0.596"
"36400","0.01","0.01","0.01"
"36406","0.665","0.665","0.665"
"36408","0.6755","0.6755","0.6755"
"36416","0.595","0.595","0.595"
"36421","0.576","0.576","0.576"
"36424","0.5135","0.5135","0.5135"
"36431","0.562","0.562","0.562"
"36444","0.4925","0.4925","0.4925"
"36445","0.5095","0.5095","0.5095"
"36446","0.495","0.495","0.495"
"36451","0.4485","0.4485","0.4485"
"36452","0.554","0.554","0.554"
"36459","0.6095","0.6095","0.6095"
"36463","0.5725","0.5725","0.5725"
"36482","0.621","0.621","0.621"
"36485","0.6075","0.6075","0.6075"
"36498","0.492","0.492","0.492"
"36516","0.511","0.511","0.511"
"36517","0.4865","0.4865","0.4865"
"36522","0.4775","0.4775","0.4775"
"36524","0.4775","0.4775","0.4775"
"36528","0.5655","0.5655","0.5655"
"36541","0.5505","0.5505","0.5505"
"36546","0.502","0.502","0.502"
