"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"1600","0.0005","0.0005","0.0005"
"1609","0.5175","0.5175","0.5175"
"1624","0.5825","0.5825","0.5825"
"1630","0.2585","0.2585","0.2585"
"1635","0.5265","0.5265","0.5265"
"1644","0.569","0.569","0.569"
"1655","0.3155","0.3155","0.3155"
"1658","0.621","0.621","0.621"
"1662","0.659","0.659","0.659"
"1672","0.6745","0.6745","0.6745"
"1675","0","0","0"
"1678","0.082","0.082","0.082"
"1685","0.621","0.621","0.621"
"1689","0.638","0.638","0.638"
"1699","0.666","0.666","0.666"
"1702","0","0","0"
"1710","0.604","0.604","0.604"
"1715","0.65","0.65","0.65"
"1723","0.674","0.674","0.674"
"1726","0.049","0.049","0.049"
"1739","0.558","0.558","0.558"
"1753","0.1515","0.1515","0.1515"
"1759","0.575","0.575","0.575"
"1762","0.589","0.589","0.589"
"1775","0","0","0"
"1779","0.179","0.179","0.179"
"1789","0.5325","0.5325","0.5325"
"1804","0.2405","0.2405","0.2405"
"1817","0.5695","0.5695","0.5695"
"1818","0.449","0.449","0.449"
"1820","0.4935","0.4935","0.4935"
"1821","0.5515","0.5515","0.5515"
"1829","0.2725","0.2725","0.2725"
"1833","0.3835","0.3835","0.3835"
"1838","0.517","0.517","0.517"
"1844","0.5215","0.5215","0.5215"
"1853","0.126","0.126","0.126"
"1860","0.4945","0.4945","0.4945"
"1862","0.5375","0.5375","0.5375"
"1863","0.5565","0.5565","0.5565"
"1866","0.566","0.566","0.566"
"1869","0.562","0.562","0.562"
"1873","0.577","0.577","0.577"
"1878","0.103","0.103","0.103"
"1892","0.627","0.627","0.627"
"1897","0.6385","0.6385","0.6385"
"1898","0.6215","0.6215","0.6215"
"1904","0.2475","0.2475","0.2475"
"1908","0.377","0.377","0.377"
"1917","0.539","0.539","0.539"
"1931","0.41","0.41","0.41"
"1934","0.6085","0.6085","0.6085"
"1937","0.65","0.65","0.65"
"1942","0.665","0.665","0.665"
"1954","0.2225","0.2225","0.2225"
"1963","0.5925","0.5925","0.5925"
"1966","0.589","0.589","0.589"
"1969","0.587","0.587","0.587"
"1974","0.5595","0.5595","0.5595"
"1975","0","0","0"
"1978","0.149","0.149","0.149"
"1990","0.632","0.632","0.632"
"1999","0.614","0.614","0.614"
"2003","0.0895","0.0895","0.0895"
"2015","0.648","0.648","0.648"
"2023","0.6295","0.6295","0.6295"
"2027","0.1585","0.1585","0.1585"
"2029","0.272","0.272","0.272"
"2031","0.473","0.473","0.473"
"2041","0.676","0.676","0.676"
"2049","0.6735","0.6735","0.6735"
"2051","0.05","0.05","0.05"
"2057","0.4055","0.4055","0.4055"
"2060","0.5185","0.5185","0.5185"
"2074","0.596","0.596","0.596"
"2077","0.158","0.158","0.158"
"2107","0.4645","0.4645","0.4645"
"2114","0.6525","0.6525","0.6525"
"2126","0.048","0.048","0.048"
"2128","0.2025","0.2025","0.2025"
"2138","0.587","0.587","0.587"
"2144","0.635","0.635","0.635"
"2145","0.625","0.625","0.625"
"2179","0.26","0.26","0.26"
"2188","0.6105","0.6105","0.6105"
"2189","0.6075","0.6075","0.6075"
"2205","0.3665","0.3665","0.3665"
"2210","0.5765","0.5765","0.5765"
"2225","0","0","0"
"2226","0.0275","0.0275","0.0275"
"2250","0","0","0"
"2253","0.19","0.19","0.19"
"2254","0.3765","0.3765","0.3765"
"2262","0.6335","0.6335","0.6335"
"2263","0.6435","0.6435","0.6435"
"2265","0.6065","0.6065","0.6065"
"2267","0.6305","0.6305","0.6305"
"2268","0.598","0.598","0.598"
"2269","0.605","0.605","0.605"
"2277","0.1105","0.1105","0.1105"
"2292","0.5795","0.5795","0.5795"
"2296","0.5795","0.5795","0.5795"
"2310","0.585","0.585","0.585"
"2324","0.6035","0.6035","0.6035"
"2327","0.033","0.033","0.033"
"2344","0.6145","0.6145","0.6145"
"2350","0","0","0"
"2352","0.0715","0.0715","0.0715"
"2353","0.1775","0.1775","0.1775"
"2356","0.4385","0.4385","0.4385"
"2360","0.5765","0.5765","0.5765"
"2365","0.569","0.569","0.569"
"2367","0.5925","0.5925","0.5925"
"2370","0.584","0.584","0.584"
"2382","0.5665","0.5665","0.5665"
