"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"110","0.158","0.158","0.158","0.13385","0.13385","0.13385","0.1357","0.1357","0.1357"
"111","0.165","0.165","0.165","0.1369","0.1369","0.1369","0.13845","0.13845","0.13845"
"112","0.1655","0.1655","0.1655","0.14065","0.14065","0.14065","0.1404","0.1404","0.1404"
"113","0.1695","0.1695","0.1695","0.14475","0.14475","0.14475","0.1448","0.1448","0.1448"
"114","0.1735","0.1735","0.1735","0.14635","0.14635","0.14635","0.1477","0.1477","0.1477"
"115","0.167","0.167","0.167","0.14965","0.14965","0.14965","0.15235","0.15235","0.15235"
"116","0.172","0.172","0.172","0.15075","0.15075","0.15075","0.15385","0.15385","0.15385"
"117","0.1755","0.1755","0.1755","0.15495","0.15495","0.15495","0.15605","0.15605","0.15605"
"118","0.1695","0.1695","0.1695","0.15665","0.15665","0.15665","0.1588","0.1588","0.1588"
"119","0.171","0.171","0.171","0.1566","0.1566","0.1566","0.1591","0.1591","0.1591"
"120","0.17","0.17","0.17","0.1609","0.1609","0.1609","0.1613","0.1613","0.1613"
"121","0.1765","0.1765","0.1765","0.1602","0.1602","0.1602","0.1647","0.1647","0.1647"
"122","0.1825","0.1825","0.1825","0.16305","0.16305","0.16305","0.16545","0.16545","0.16545"
"123","0.178","0.178","0.178","0.1654","0.1654","0.1654","0.16655","0.16655","0.16655"
"124","0.1805","0.1805","0.1805","0.16745","0.16745","0.16745","0.1694","0.1694","0.1694"
"125","0","0","0","0.0281","0.0281","0.0281","0.0285","0.0285","0.0285"
"126","0","0","0","0.04525","0.04525","0.04525","0.0445","0.0445","0.0445"
"127","0.0085","0.0085","0.0085","0.0627","0.0627","0.0627","0.06495","0.06495","0.06495"
"128","0.0495","0.0495","0.0495","0.08025","0.08025","0.08025","0.0806","0.0806","0.0806"
"129","0.0795","0.0795","0.0795","0.09425","0.09425","0.09425","0.09675","0.09675","0.09675"
"130","0.089","0.089","0.089","0.10445","0.10445","0.10445","0.10655","0.10655","0.10655"
"131","0.0995","0.0995","0.0995","0.1089","0.1089","0.1089","0.11295","0.11295","0.11295"
"132","0.1015","0.1015","0.1015","0.1149","0.1149","0.1149","0.1173","0.1173","0.1173"
"133","0.1125","0.1125","0.1125","0.11995","0.11995","0.11995","0.12255","0.12255","0.12255"
"134","0.132","0.132","0.132","0.1246","0.1246","0.1246","0.1258","0.1258","0.1258"
"135","0.1475","0.1475","0.1475","0.12915","0.12915","0.12915","0.12755","0.12755","0.12755"
"136","0.1525","0.1525","0.1525","0.1326","0.1326","0.1326","0.1327","0.1327","0.1327"
"137","0.1565","0.1565","0.1565","0.1347","0.1347","0.1347","0.13635","0.13635","0.13635"
"138","0.157","0.157","0.157","0.138","0.138","0.138","0.1378","0.1378","0.1378"
"139","0.159","0.159","0.159","0.1396","0.1396","0.1396","0.1401","0.1401","0.1401"
"140","0.168","0.168","0.168","0.1441","0.1441","0.1441","0.14255","0.14255","0.14255"
"141","0.1685","0.1685","0.1685","0.14475","0.14475","0.14475","0.1445","0.1445","0.1445"
"142","0.1825","0.1825","0.1825","0.1459","0.1459","0.1459","0.1458","0.1458","0.1458"
"143","0.183","0.183","0.183","0.1475","0.1475","0.1475","0.1485","0.1485","0.1485"
"144","0.1825","0.1825","0.1825","0.1497","0.1497","0.1497","0.15085","0.15085","0.15085"
"145","0.181","0.181","0.181","0.1512","0.1512","0.1512","0.1522","0.1522","0.1522"
"146","0.1885","0.1885","0.1885","0.1538","0.1538","0.1538","0.15325","0.15325","0.15325"
"147","0.1935","0.1935","0.1935","0.1544","0.1544","0.1544","0.1539","0.1539","0.1539"
"148","0.198","0.198","0.198","0.1542","0.1542","0.1542","0.1559","0.1559","0.1559"
"149","0.193","0.193","0.193","0.15535","0.15535","0.15535","0.15555","0.15555","0.15555"
"150","0","0","0","0.0288","0.0288","0.0288","0.0297","0.0297","0.0297"
"151","0","0","0","0.0513","0.0513","0.0513","0.05355","0.05355","0.05355"
"152","0","0","0","0.06935","0.06935","0.06935","0.07025","0.07025","0.07025"
"153","0.009","0.009","0.009","0.08355","0.08355","0.08355","0.0848","0.0848","0.0848"
"154","0.0755","0.0755","0.0755","0.0944","0.0944","0.0944","0.09515","0.09515","0.09515"
"155","0.1065","0.1065","0.1065","0.10245","0.10245","0.10245","0.10235","0.10235","0.10235"
"156","0.1345","0.1345","0.1345","0.1082","0.1082","0.1082","0.1092","0.1092","0.1092"
"157","0.1565","0.1565","0.1565","0.1141","0.1141","0.1141","0.11405","0.11405","0.11405"
"158","0.168","0.168","0.168","0.11895","0.11895","0.11895","0.1186","0.1186","0.1186"
"159","0.178","0.178","0.178","0.12225","0.12225","0.12225","0.12175","0.12175","0.12175"
"160","0.1915","0.1915","0.1915","0.1251","0.1251","0.1251","0.1257","0.1257","0.1257"
"161","0.197","0.197","0.197","0.1292","0.1292","0.1292","0.12905","0.12905","0.12905"
"162","0.202","0.202","0.202","0.13125","0.13125","0.13125","0.13165","0.13165","0.13165"
"163","0.1985","0.1985","0.1985","0.1341","0.1341","0.1341","0.13465","0.13465","0.13465"
"164","0.2015","0.2015","0.2015","0.13565","0.13565","0.13565","0.1361","0.1361","0.1361"
"165","0.208","0.208","0.208","0.13785","0.13785","0.13785","0.13855","0.13855","0.13855"
"166","0.2045","0.2045","0.2045","0.1385","0.1385","0.1385","0.14165","0.14165","0.14165"
"167","0.214","0.214","0.214","0.14015","0.14015","0.14015","0.14205","0.14205","0.14205"
"168","0.21","0.21","0.21","0.14335","0.14335","0.14335","0.14365","0.14365","0.14365"
"169","0.2075","0.2075","0.2075","0.14335","0.14335","0.14335","0.14585","0.14585","0.14585"
"170","0.213","0.213","0.213","0.1448","0.1448","0.1448","0.14675","0.14675","0.14675"
"171","0.213","0.213","0.213","0.1465","0.1465","0.1465","0.147","0.147","0.147"
"172","0.2165","0.2165","0.2165","0.1481","0.1481","0.1481","0.14815","0.14815","0.14815"
"173","0.22","0.22","0.22","0.1495","0.1495","0.1495","0.1493","0.1493","0.1493"
"174","0.228","0.228","0.228","0.14975","0.14975","0.14975","0.1505","0.1505","0.1505"
"175","0.006","0.006","0.006","0.0204","0.0204","0.0204","0.02135","0.02135","0.02135"
"176","0.0335","0.0335","0.0335","0.0429","0.0429","0.0429","0.04415","0.04415","0.04415"
"177","0.039","0.039","0.039","0.06935","0.06935","0.06935","0.07285","0.07285","0.07285"
"178","0.046","0.046","0.046","0.09035","0.09035","0.09035","0.09355","0.09355","0.09355"
"179","0.076","0.076","0.076","0.10385","0.10385","0.10385","0.104","0.104","0.104"
"180","0.1215","0.1215","0.1215","0.1144","0.1144","0.1144","0.1114","0.1114","0.1114"
"181","0.145","0.145","0.145","0.12295","0.12295","0.12295","0.12","0.12","0.12"
"182","0.1595","0.1595","0.1595","0.1285","0.1285","0.1285","0.12675","0.12675","0.12675"
"183","0.1735","0.1735","0.1735","0.13185","0.13185","0.13185","0.1332","0.1332","0.1332"
"184","0.1805","0.1805","0.1805","0.13655","0.13655","0.13655","0.13755","0.13755","0.13755"
"185","0.183","0.183","0.183","0.1427","0.1427","0.1427","0.1414","0.1414","0.1414"
"186","0.1855","0.1855","0.1855","0.145","0.145","0.145","0.14545","0.14545","0.14545"
