Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
90,0.3355,0.3355,0.3355,0.178,0.178,0.178,0.1705,0.1705,0.1705
91,0.33955,0.33955,0.33955,0.193,0.193,0.193,0.1735,0.1735,0.1735
92,0.3375,0.3375,0.3375,0.183,0.183,0.183,0.1875,0.1875,0.1875
93,0.3379,0.3379,0.3379,0.189,0.189,0.189,0.1785,0.1785,0.1785
94,0.3374,0.3374,0.3374,0.1935,0.1935,0.1935,0.1815,0.1815,0.1815
95,0.33825,0.33825,0.33825,0.197,0.197,0.197,0.191,0.191,0.191
96,0.33525,0.33525,0.33525,0.198,0.198,0.198,0.201,0.201,0.201
97,0.3413,0.3413,0.3413,0.21,0.21,0.21,0.199,0.199,0.199
98,0.33535,0.33535,0.33535,0.2195,0.2195,0.2195,0.2045,0.2045,0.2045
99,0.3404,0.3404,0.3404,0.2165,0.2165,0.2165,0.1995,0.1995,0.1995
100,0.20485,0.20485,0.20485,0,0,0,0,0,0
101,0.28105,0.28105,0.28105,0.029,0.029,0.029,0.0545,0.0545,0.0545
102,0.2987,0.2987,0.2987,0.147,0.147,0.147,0.156,0.156,0.156
103,0.30465,0.30465,0.30465,0.155,0.155,0.155,0.16,0.16,0.16
104,0.3057,0.3057,0.3057,0.168,0.168,0.168,0.1695,0.1695,0.1695
105,0.3062,0.3062,0.3062,0.166,0.166,0.166,0.176,0.176,0.176
106,0.3089,0.3089,0.3089,0.1785,0.1785,0.1785,0.1855,0.1855,0.1855
107,0.3077,0.3077,0.3077,0.1785,0.1785,0.1785,0.1795,0.1795,0.1795
108,0.3085,0.3085,0.3085,0.186,0.186,0.186,0.198,0.198,0.198
