Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
319,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08
324,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08
325,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08
334,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08
335,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08
339,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08
345,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08
347,4.77E-08,4.77E-08,4.77E-08,4.77E-08,4.77E-08,4.77E-08,4.77E-08,4.77E-08,4.77E-08
361,5.83E-08,5.83E-08,5.83E-08,5.83E-08,5.83E-08,5.83E-08,5.83E-08,5.83E-08,5.83E-08
363,5.51E-08,5.51E-08,5.51E-08,5.51E-08,5.51E-08,5.51E-08,5.51E-08,5.51E-08,5.51E-08
364,5.35E-08,5.35E-08,5.35E-08,5.35E-08,5.35E-08,5.35E-08,5.35E-08,5.35E-08,5.35E-08
372,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08
373,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08
377,1.37E-07,1.37E-07,1.37E-07,1.37E-07,1.37E-07,1.37E-07,1.37E-07,1.37E-07,1.37E-07
380,8.19E-08,8.19E-08,8.19E-08,8.19E-08,8.19E-08,8.19E-08,8.19E-08,8.19E-08,8.19E-08
386,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08
388,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08
389,5.19E-08,5.19E-08,5.19E-08,5.19E-08,5.19E-08,5.19E-08,5.19E-08,5.19E-08,5.19E-08
391,5.03E-08,5.03E-08,5.03E-08,5.03E-08,5.03E-08,5.03E-08,5.03E-08,5.03E-08,5.03E-08
395,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08
396,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08,4.75E-08
397,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08
403,1.06E-07,1.06E-07,1.06E-07,1.06E-07,1.06E-07,1.06E-07,1.06E-07,1.06E-07,1.06E-07
408,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08,6.52E-08
415,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08
417,5.02E-08,5.02E-08,5.02E-08,5.02E-08,5.02E-08,5.02E-08,5.02E-08,5.02E-08,5.02E-08
424,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08
