"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"566","","","","0.3635","0.3635","0.3635","","",""
"567","","","","0.361","0.361","0.361","","",""
"568","","","","0.362","0.362","0.362","","",""
"569","","","","0.358","0.358","0.358","","",""
"570","","","","0.355","0.355","0.355","","",""
"571","","","","0.353","0.353","0.353","","",""
"572","","","","0.355","0.355","0.355","","",""
"573","","","","0.357","0.357","0.357","","",""
"574","","","","0.358","0.358","0.358","","",""
"575","","","","0.256","0.256","0.256","","",""
"576","","","","0.2735","0.2735","0.2735","","",""
"577","","","","0.288","0.288","0.288","","",""
"578","","","","0.301","0.301","0.301","","",""
"579","","","","0.2955","0.2955","0.2955","","",""
"580","","","","0.3105","0.3105","0.3105","","",""
"581","","","","0.308","0.308","0.308","","",""
"582","","","","0.3085","0.3085","0.3085","","",""
"583","","","","0.309","0.309","0.309","","",""
"584","","","","0.3125","0.3125","0.3125","","",""
"585","","","","0.3145","0.3145","0.3145","","",""
"586","","","","0.316","0.316","0.316","","",""
"587","","","","0.3195","0.3195","0.3195","","",""
"588","","","","0.3205","0.3205","0.3205","","",""
"589","","","","0.318","0.318","0.318","","",""
"590","","","","0.3185","0.3185","0.3185","","",""
"591","","","","0.319","0.319","0.319","","",""
"592","","","","0.322","0.322","0.322","","",""
"593","","","","0.316","0.316","0.316","","",""
"594","","","","0.3165","0.3165","0.3165","","",""
"595","","","","0.32","0.32","0.32","","",""
"596","","","","0.3155","0.3155","0.3155","","",""
"597","","","","0.3205","0.3205","0.3205","","",""
"598","","","","0.321","0.321","0.321","","",""
"599","","","","0.3205","0.3205","0.3205","","",""
"600","","","","0.26","0.26","0.26","","",""
"601","","","","0.2985","0.2985","0.2985","","",""
"602","","","","0.303","0.303","0.303","","",""
"603","","","","0.3055","0.3055","0.3055","","",""
"604","","","","0.313","0.313","0.313","","",""
"605","","","","0.312","0.312","0.312","","",""
"606","","","","0.3135","0.3135","0.3135","","",""
"607","","","","0.319","0.319","0.319","","",""
"608","","","","0.3175","0.3175","0.3175","","",""
"609","","","","0.323","0.323","0.323","","",""
"610","","","","0.3175","0.3175","0.3175","","",""
"611","","","","0.3235","0.3235","0.3235","","",""
"612","","","","0.3215","0.3215","0.3215","","",""
"613","","","","0.327","0.327","0.327","","",""
"614","","","","0.321","0.321","0.321","","",""
"615","","","","0.322","0.322","0.322","","",""
"616","","","","0.319","0.319","0.319","","",""
"617","","","","0.33","0.33","0.33","","",""
"618","","","","0.321","0.321","0.321","","",""
"619","","","","0.334","0.334","0.334","","",""
"620","","","","0.316","0.316","0.316","","",""
"621","","","","0.329","0.329","0.329","","",""
"622","","","","0.317","0.317","0.317","","",""
"623","","","","0.3285","0.3285","0.3285","","",""
"624","","","","0.3195","0.3195","0.3195","","",""
"625","","","","0.272","0.272","0.272","","",""
"626","","","","0.298","0.298","0.298","","",""
"627","","","","0.33","0.33","0.33","","",""
"628","","","","0.3165","0.3165","0.3165","","",""
"629","","","","0.345","0.345","0.345","","",""
"630","","","","0.3335","0.3335","0.3335","","",""
"631","","","","0.349","0.349","0.349","","",""
"632","","","","0.3395","0.3395","0.3395","","",""
"633","","","","0.3485","0.3485","0.3485","","",""
"634","","","","0.344","0.344","0.344","","",""
"635","","","","0.35","0.35","0.35","","",""
"636","","","","0.3435","0.3435","0.3435","","",""
"637","","","","0.357","0.357","0.357","","",""
"638","","","","0.347","0.347","0.347","","",""
"639","","","","0.356","0.356","0.356","","",""
"640","","","","0.35","0.35","0.35","","",""
"641","","","","0.357","0.357","0.357","","",""
"642","","","","0.3515","0.3515","0.3515","","",""
"643","","","","0.3575","0.3575","0.3575","","",""
"644","","","","0.355","0.355","0.355","","",""
"645","","","","0.3545","0.3545","0.3545","","",""
"646","","","","0.346","0.346","0.346","","",""
"647","","","","0.3545","0.3545","0.3545","","",""
"648","","","","0.359","0.359","0.359","","",""
"649","","","","0.355","0.355","0.355","","",""
"650","","","","0.2655","0.2655","0.2655","","",""
"651","","","","0.291","0.291","0.291","","",""
"652","","","","0.2965","0.2965","0.2965","","",""
"653","","","","0.3","0.3","0.3","","",""
"654","","","","0.29","0.29","0.29","","",""
"655","","","","0.3095","0.3095","0.3095","","",""
"656","","","","0.301","0.301","0.301","","",""
"657","","","","0.3065","0.3065","0.3065","","",""
"658","","","","0.2975","0.2975","0.2975","","",""
"659","","","","0.3125","0.3125","0.3125","","",""
"660","","","","0.2975","0.2975","0.2975","","",""
"661","","","","0.3095","0.3095","0.3095","","",""
"662","","","","0.303","0.303","0.303","","",""
"663","","","","0.3185","0.3185","0.3185","","",""
"664","","","","0.3035","0.3035","0.3035","","",""
"665","","","","0.313","0.313","0.313","","",""
"666","","","","0.305","0.305","0.305","","",""
"667","","","","0.3135","0.3135","0.3135","","",""
"668","","","","0.3115","0.3115","0.3115","","",""
"669","","","","0.314","0.314","0.314","","",""
"670","","","","0.308","0.308","0.308","","",""
"671","","","","0.32","0.32","0.32","","",""
"672","","","","0.314","0.314","0.314","","",""
"673","","","","0.3215","0.3215","0.3215","","",""
"674","","","","0.3145","0.3145","0.3145","","",""
"675","","","","0.2565","0.2565","0.2565","","",""
"676","","","","0.3045","0.3045","0.3045","","",""
"677","","","","0.307","0.307","0.307","","",""
"678","","","","0.32","0.32","0.32","","",""
"679","","","","0.322","0.322","0.322","","",""
"680","","","","0.33","0.33","0.33","","",""
"681","","","","0.328","0.328","0.328","","",""
"682","","","","0.326","0.326","0.326","","",""
"683","","","","0.3275","0.3275","0.3275","","",""
"684","","","","0.327","0.327","0.327","","",""
"685","","","","0.334","0.334","0.334","","",""
"686","","","","0.331","0.331","0.331","","",""
"687","","","","0.334","0.334","0.334","","",""
"688","","","","0.3335","0.3335","0.3335","","",""
"689","","","","0.3375","0.3375","0.3375","","",""
"690","","","","0.335","0.335","0.335","","",""
"691","","","","0.3405","0.3405","0.3405","","",""
"692","","","","0.334","0.334","0.334","","",""
"693","","","","0.3415","0.3415","0.3415","","",""
"694","","","","0.3355","0.3355","0.3355","","",""
"695","","","","0.337","0.337","0.337","","",""
"696","","","","0.333","0.333","0.333","","",""
"697","","","","0.3375","0.3375","0.3375","","",""
"698","","","","0.3355","0.3355","0.3355","","",""
"699","","","","0.338","0.338","0.338","","",""
"700","","","","0.2835","0.2835","0.2835","","",""
"701","","","","0.3265","0.3265","0.3265","","",""
"702","","","","0.333","0.333","0.333","","",""
"703","","","","0.333","0.333","0.333","","",""
"704","","","","0.3395","0.3395","0.3395","","",""
"705","","","","0.338","0.338","0.338","","",""
"706","","","","0.35","0.35","0.35","","",""
"707","","","","0.351","0.351","0.351","","",""
"708","","","","0.3455","0.3455","0.3455","","",""
"709","","","","0.3495","0.3495","0.3495","","",""
"710","","","","0.3545","0.3545","0.3545","","",""
"711","","","","0.351","0.351","0.351","","",""
"712","","","","0.353","0.353","0.353","","",""
"713","","","","0.3535","0.3535","0.3535","","",""
"714","","","","0.3555","0.3555","0.3555","","",""
"715","","","","0.357","0.357","0.357","","",""
"716","","","","0.357","0.357","0.357","","",""
"717","","","","0.35","0.35","0.35","","",""
"718","","","","0.36","0.36","0.36","","",""
"719","","","","0.3555","0.3555","0.3555","","",""
"720","","","","0.358","0.358","0.358","","",""
"721","","","","0.357","0.357","0.357","","",""
"722","","","","0.357","0.357","0.357","","",""
"723","","","","0.3545","0.3545","0.3545","","",""
"724","","","","0.356","0.356","0.356","","",""
"725","","","","0.287","0.287","0.287","","",""
"726","","","","0.352","0.352","0.352","","",""
"727","","","","0.3685","0.3685","0.3685","","",""
"728","","","","0.3795","0.3795","0.3795","","",""
"729","","","","0","0","0","","",""
