"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"101","0.04815","0.04815","0.04815","0.164","0.164","0.164","0.0275","0.0275","0.0275"
"102","0.06855","0.06855","0.06855","0.2875","0.2875","0.2875","0.0355","0.0355","0.0355"
"103","0.0829","0.0829","0.0829","0.2135","0.2135","0.2135","0.057","0.057","0.057"
"104","0.09735","0.09735","0.09735","0.2975","0.2975","0.2975","0.0845","0.0845","0.0845"
"105","0.1071","0.1071","0.1071","0.2725","0.2725","0.2725","0.0995","0.0995","0.0995"
"106","0.115","0.115","0.115","0.2975","0.2975","0.2975","0.1235","0.1235","0.1235"
"107","0.1208","0.1208","0.1208","0.296","0.296","0.296","0.151","0.151","0.151"
"108","0.1245","0.1245","0.1245","0.3185","0.3185","0.3185","0.165","0.165","0.165"
"109","0.1298","0.1298","0.1298","0.3395","0.3395","0.3395","0.172","0.172","0.172"
"110","0.13525","0.13525","0.13525","0.334","0.334","0.334","0.1745","0.1745","0.1745"
"111","0.14105","0.14105","0.14105","0.2785","0.2785","0.2785","0.1855","0.1855","0.1855"
