"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"35923","0.4045","0.4045","0.4045","0.7205","0.7205","0.7205","0.4115","0.4115","0.4115","","",""
"35924","","","","0.7955","0.7955","0.7955","","","","","",""
"35926","0.1145","0.1145","0.1145","","","","0.09","0.09","0.09","","",""
"35927","0.208","0.208","0.208","","","","0.172","0.172","0.172","","",""
"35928","","","","","","","","","","0.3505","0.3505","0.3505"
"35929","0.337","0.337","0.337","","","","0.303","0.303","0.303","","",""
"35930","0.3695","0.3695","0.3695","","","","0.338","0.338","0.338","","",""
"35935","","","","0.7845","0.7845","0.7845","","","","0.414","0.414","0.414"
"35941","","","","0.783","0.783","0.783","","","","0.427","0.427","0.427"
"35942","","","","","","","","","","0.4265","0.4265","0.4265"
"35944","","","","0.803","0.803","0.803","","","","","",""
"35946","0.4345","0.4345","0.4345","","","","0.413","0.413","0.413","","",""
"35948","","","","0.7855","0.7855","0.7855","","","","","",""
"35950","0.0355","0.0355","0.0355","","","","0.038","0.038","0.038","","",""
"35952","0.2915","0.2915","0.2915","","","","0.269","0.269","0.269","","",""
"35955","0.457","0.457","0.457","","","","0.436","0.436","0.436","","",""
"35956","0.4805","0.4805","0.4805","","","","0.457","0.457","0.457","","",""
"35959","","","","0.8065","0.8065","0.8065","","","","","",""
"35961","0.508","0.508","0.508","","","","0.501","0.501","0.501","","",""
"35962","","","","0.8075","0.8075","0.8075","","","","0.52","0.52","0.52"
"35963","0.5145","0.5145","0.5145","","","","0.5075","0.5075","0.5075","","",""
"35971","0.5285","0.5285","0.5285","","","","0.518","0.518","0.518","","",""
"35972","","","","0.83","0.83","0.83","","","","","",""
"35973","0.53","0.53","0.53","","","","0.5215","0.5215","0.5215","","",""
"35977","","","","","","","","","","0.3805","0.3805","0.3805"
"35978","0.3305","0.3305","0.3305","","","","0.294","0.294","0.294","0.409","0.409","0.409"
"35979","0.38","0.38","0.38","0.8255","0.8255","0.8255","0.3665","0.3665","0.3665","","",""
"35986","0.486","0.486","0.486","","","","0.477","0.477","0.477","","",""
"35987","","","","0.833","0.833","0.833","","","","","",""
"35988","","","","","","","","","","0.5105","0.5105","0.5105"
"35989","","","","0.839","0.839","0.839","","","","","",""
"35990","","","","0.8435","0.8435","0.8435","","","","","",""
"35993","","","","0.837","0.837","0.837","","","","","",""
"35994","0.5085","0.5085","0.5085","","","","0.4975","0.4975","0.4975","","",""
"35995","0.5095","0.5095","0.5095","0.8535","0.8535","0.8535","0.5015","0.5015","0.5015","","",""
"35997","","","","","","","","","","0.518","0.518","0.518"
"35998","0.5075","0.5075","0.5075","","","","0.505","0.505","0.505","","",""
"35999","0.51","0.51","0.51","","","","0.5055","0.5055","0.5055","","",""
"36000","","","","0","0","0","","","","0.0645","0.0645","0.0645"
"36001","","","","0.689","0.689","0.689","","","","","",""
"36003","","","","","","","","","","0.3815","0.3815","0.3815"
"36004","","","","0.768","0.768","0.768","","","","","",""
"36008","0.385","0.385","0.385","","","","0.3745","0.3745","0.3745","","",""
"36011","0.4005","0.4005","0.4005","","","","0.3845","0.3845","0.3845","","",""
"36015","0.409","0.409","0.409","","","","0.399","0.399","0.399","","",""
"36018","0.412","0.412","0.412","","","","0.4005","0.4005","0.4005","","",""
"36020","0.4145","0.4145","0.4145","","","","0.4035","0.4035","0.4035","","",""
"36027","","","","","","","","","","0.399","0.399","0.399"
"36036","0.461","0.461","0.461","","","","0.4505","0.4505","0.4505","","",""
"36038","","","","0.8115","0.8115","0.8115","","","","","",""
"36039","","","","","","","","","","0.514","0.514","0.514"
"36043","","","","0.826","0.826","0.826","","","","","",""
"36047","","","","0.824","0.824","0.824","","","","","",""
"36050","","","","","","","","","","0.007","0.007","0.007"
"36051","","","","0.7705","0.7705","0.7705","","","","","",""
"36059","0.441","0.441","0.441","","","","0.4325","0.4325","0.4325","","",""
"36064","","","","","","","","","","0.484","0.484","0.484"
"36065","","","","","","","","","","0.4885","0.4885","0.4885"
"36066","0.4555","0.4555","0.4555","","","","0.453","0.453","0.453","","",""
"36068","","","","0.806","0.806","0.806","","","","","",""
"36070","0.4655","0.4655","0.4655","","","","0.4585","0.4585","0.4585","","",""
"36071","0.462","0.462","0.462","","","","0.454","0.454","0.454","","",""
"36072","0.465","0.465","0.465","","","","0.458","0.458","0.458","","",""
"36073","","","","","","","","","","0.4975","0.4975","0.4975"
"36077","0.281","0.281","0.281","","","","0.299","0.299","0.299","","",""
"36080","","","","","","","","","","0.478","0.478","0.478"
"36081","","","","","","","","","","0.487","0.487","0.487"
"36087","0.4805","0.4805","0.4805","0.7475","0.7475","0.7475","0.495","0.495","0.495","","",""
"36089","","","","0.7725","0.7725","0.7725","","","","0.515","0.515","0.515"
"36090","","","","0.755","0.755","0.755","","","","","",""
"36091","0.49","0.49","0.49","","","","0.496","0.496","0.496","","",""
"36098","","","","","","","","","","0.5265","0.5265","0.5265"
"36099","","","","0.76","0.76","0.76","","","","","",""
"36100","","","","","","","","","","0.0185","0.0185","0.0185"
"36103","","","","0.6735","0.6735","0.6735","","","","0.3775","0.3775","0.3775"
"36105","","","","0.7055","0.7055","0.7055","","","","","",""
"36107","","","","0.7385","0.7385","0.7385","","","","","",""
"36110","0.4315","0.4315","0.4315","","","","0.427","0.427","0.427","","",""
"36111","0.432","0.432","0.432","","","","0.4285","0.4285","0.4285","","",""
"36116","","","","","","","","","","0.455","0.455","0.455"
"36118","","","","0.743","0.743","0.743","","","","","",""
"36119","","","","","","","","","","0.456","0.456","0.456"
"36130","","","","","","","","","","0.387","0.387","0.387"
"36135","","","","","","","","","","0.415","0.415","0.415"
"36141","","","","0.7735","0.7735","0.7735","","","","0.424","0.424","0.424"
"36144","0.4135","0.4135","0.4135","","","","0.394","0.394","0.394","","",""
"36145","","","","","","","","","","0.43","0.43","0.43"
"36146","","","","","","","","","","0.432","0.432","0.432"
"36148","0.4125","0.4125","0.4125","","","","0.401","0.401","0.401","","",""
"36150","","","","0","0","0","","","","","",""
"36160","","","","","","","","","","0.448","0.448","0.448"
"36161","","","","0.833","0.833","0.833","","","","","",""
"36162","","","","0.801","0.801","0.801","","","","","",""
"36167","","","","","","","","","","0.4595","0.4595","0.4595"
"36169","0.4385","0.4385","0.4385","","","","0.4345","0.4345","0.4345","","",""
"36171","","","","0.8025","0.8025","0.8025","","","","","",""
"36175","","","","0","0","0","","","","","",""
"36176","0.065","0.065","0.065","","","","0.055","0.055","0.055","","",""
"36185","0.379","0.379","0.379","","","","0.3605","0.3605","0.3605","","",""
"36186","","","","0.812","0.812","0.812","","","","0.4095","0.4095","0.4095"
"36191","0.3905","0.3905","0.3905","","","","0.3705","0.3705","0.3705","","",""
"36193","0.3995","0.3995","0.3995","","","","0.376","0.376","0.376","","",""
"36196","","","","","","","","","","0.421","0.421","0.421"
"36197","","","","0.7955","0.7955","0.7955","","","","","",""
"36198","","","","","","","","","","0.425","0.425","0.425"
"36199","","","","","","","","","","0.426","0.426","0.426"
"36203","","","","0.745","0.745","0.745","","","","","",""
"36206","","","","0.783","0.783","0.783","","","","","",""
"36207","0.399","0.399","0.399","0.756","0.756","0.756","0.3755","0.3755","0.3755","","",""
"36208","","","","0.777","0.777","0.777","","","","","",""
"36213","","","","","","","","","","0.462","0.462","0.462"
"36217","0.439","0.439","0.439","0.7865","0.7865","0.7865","0.4245","0.4245","0.4245","","",""
"36218","0.4405","0.4405","0.4405","","","","0.4255","0.4255","0.4255","0.472","0.472","0.472"
"36219","","","","0.7915","0.7915","0.7915","","","","","",""
"36223","","","","0.8","0.8","0.8","","","","","",""
"36225","","","","0","0","0","","","","","",""
"36226","","","","","","","","","","0.366","0.366","0.366"
"36233","0.4935","0.4935","0.4935","","","","0.4835","0.4835","0.4835","","",""
"36237","","","","0.8315","0.8315","0.8315","","","","","",""
"36239","","","","0.8425","0.8425","0.8425","","","","","",""
"36243","","","","0.827","0.827","0.827","","","","","",""
"36244","","","","0.8195","0.8195","0.8195","","","","","",""
"36249","","","","","","","","","","0.541","0.541","0.541"
"36253","","","","0.774","0.774","0.774","","","","","",""
"36255","0.433","0.433","0.433","","","","0.4045","0.4045","0.4045","","",""
"36260","","","","","","","","","","0.4885","0.4885","0.4885"
"36261","","","","","","","","","","0.4965","0.4965","0.4965"
"36269","","","","","","","","","","0.511","0.511","0.511"
"36270","","","","0.833","0.833","0.833","","","","","",""
"36271","0.4945","0.4945","0.4945","0.848","0.848","0.848","0.479","0.479","0.479","","",""
"36272","","","","","","","","","","0.515","0.515","0.515"
"36273","","","","","","","","","","0.5195","0.5195","0.5195"
"36277","","","","","","","","","","0.3665","0.3665","0.3665"
"36279","","","","0.7475","0.7475","0.7475","","","","0.4235","0.4235","0.4235"
"36280","","","","0.7285","0.7285","0.7285","","","","","",""
"36283","","","","","","","","","","0.457","0.457","0.457"
"36285","0.443","0.443","0.443","","","","0.4275","0.4275","0.4275","","",""
"36286","","","","","","","","","","0.4705","0.4705","0.4705"
"36290","","","","0.7585","0.7585","0.7585","","","","","",""
"36292","","","","0.7755","0.7755","0.7755","","","","","",""
"36293","","","","","","","","","","0.486","0.486","0.486"
"36294","","","","0.782","0.782","0.782","","","","","",""
"36297","","","","0.784","0.784","0.784","","","","","",""
"36298","0.4675","0.4675","0.4675","0.784","0.784","0.784","0.461","0.461","0.461","","",""
"36299","0.47","0.47","0.47","","","","0.461","0.461","0.461","0.498","0.498","0.498"
"36301","","","","0.647","0.647","0.647","","","","","",""
"36302","","","","","","","","","","0.345","0.345","0.345"
"36303","0.274","0.274","0.274","0.707","0.707","0.707","0.2595","0.2595","0.2595","0.3835","0.3835","0.3835"
"36306","","","","0.755","0.755","0.755","","","","","",""
"36309","","","","","","","","","","0.4675","0.4675","0.4675"
"36310","0.4135","0.4135","0.4135","","","","0.4245","0.4245","0.4245","","",""
"36313","","","","0.785","0.785","0.785","","","","","",""
"36315","0.4235","0.4235","0.4235","0.7635","0.7635","0.7635","0.442","0.442","0.442","0.4795","0.4795","0.4795"
"36316","0.425","0.425","0.425","","","","0.441","0.441","0.441","","",""
"36321","0.4335","0.4335","0.4335","0.7885","0.7885","0.7885","0.4445","0.4445","0.4445","0.488","0.488","0.488"
"36330","","","","0.7395","0.7395","0.7395","","","","","",""
"36331","0.3695","0.3695","0.3695","","","","0.3645","0.3645","0.3645","","",""
"36337","","","","0.7625","0.7625","0.7625","","","","","",""
"36340","","","","0.7765","0.7765","0.7765","","","","","",""
"36341","0.4095","0.4095","0.4095","","","","0.3995","0.3995","0.3995","0.4445","0.4445","0.4445"
"36342","0.4105","0.4105","0.4105","","","","0.402","0.402","0.402","","",""
"36348","","","","","","","","","","0.4465","0.4465","0.4465"
"36357","","","","","","","","","","0.424","0.424","0.424"
"36366","","","","0.797","0.797","0.797","","","","","",""
"36368","","","","0.8165","0.8165","0.8165","","","","","",""
"36369","","","","","","","","","","0.438","0.438","0.438"
"36370","","","","0.7915","0.7915","0.7915","","","","","",""
"36373","","","","","","","","","","0.4365","0.4365","0.4365"
"36376","0.1165","0.1165","0.1165","","","","0.071","0.071","0.071","","",""
"36378","0.296","0.296","0.296","","","","0.2785","0.2785","0.2785","","",""
"36379","","","","","","","","","","0.41","0.41","0.41"
"36380","","","","","","","","","","0.4415","0.4415","0.4415"
"36382","","","","0.725","0.725","0.725","","","","0.461","0.461","0.461"
"36384","0.423","0.423","0.423","0.7475","0.7475","0.7475","0.437","0.437","0.437","","",""
"36386","","","","0.749","0.749","0.749","","","","","",""
"36389","","","","0.7805","0.7805","0.7805","","","","","",""
"36391","0.44","0.44","0.44","0.7585","0.7585","0.7585","0.457","0.457","0.457","","",""
"36394","","","","","","","","","","0.48","0.48","0.48"
"36396","0.4515","0.4515","0.4515","","","","0.4715","0.4715","0.4715","","",""
"36398","0.453","0.453","0.453","","","","0.4725","0.4725","0.4725","0.4795","0.4795","0.4795"
"36399","","","","0.7845","0.7845","0.7845","","","","0.484","0.484","0.484"
"36401","0.108","0.108","0.108","0.6485","0.6485","0.6485","0.09","0.09","0.09","","",""
"36402","0.198","0.198","0.198","","","","0.1755","0.1755","0.1755","","",""
"36403","0.263","0.263","0.263","","","","0.2505","0.2505","0.2505","","",""
"36406","","","","0.7195","0.7195","0.7195","","","","","",""
"36409","","","","0.754","0.754","0.754","","","","","",""
"36410","","","","","","","","","","0.428","0.428","0.428"
"36411","0.392","0.392","0.392","","","","0.3955","0.3955","0.3955","","",""
"36413","","","","0.7585","0.7585","0.7585","","","","","",""
"36414","0.406","0.406","0.406","","","","0.411","0.411","0.411","","",""
"36420","0.4115","0.4115","0.4115","","","","0.41","0.41","0.41","","",""
"36422","","","","0.7795","0.7795","0.7795","","","","","",""
"36423","","","","","","","","","","0.4415","0.4415","0.4415"
"36424","","","","","","","","","","0.44","0.44","0.44"
"36431","","","","","","","","","","0.4735","0.4735","0.4735"
"36434","","","","","","","","","","0.491","0.491","0.491"
"36435","","","","","","","","","","0.4915","0.4915","0.4915"
"36439","","","","","","","","","","0.498","0.498","0.498"
"36444","","","","","","","","","","0.5015","0.5015","0.5015"
"36445","","","","","","","","","","0.5065","0.5065","0.5065"
"36453","","","","","","","","","","0.3645","0.3645","0.3645"
"36455","","","","","","","","","","0.413","0.413","0.413"
"36460","","","","","","","","","","0.456","0.456","0.456"
"36461","0.4165","0.4165","0.4165","","","","0.413","0.413","0.413","","",""
"36464","","","","","","","","","","0.4605","0.4605","0.4605"
"36467","","","","","","","","","","0.473","0.473","0.473"
"36468","","","","0.7995","0.7995","0.7995","","","","0.4695","0.4695","0.4695"
"36469","","","","0.778","0.778","0.778","","","","","",""
"36473","0.436","0.436","0.436","","","","0.4415","0.4415","0.4415","","",""
"36478","","","","","","","","","","0.306","0.306","0.306"
"36479","0.25","0.25","0.25","","","","0.258","0.258","0.258","0.335","0.335","0.335"
"36481","0.2965","0.2965","0.2965","","","","0.2955","0.2955","0.2955","","",""
"36482","","","","","","","","","","0.3715","0.3715","0.3715"
"36484","","","","","","","","","","0.376","0.376","0.376"
"36486","","","","0.7025","0.7025","0.7025","","","","","",""
"36487","0.3175","0.3175","0.3175","","","","0.3205","0.3205","0.3205","","",""
"36488","","","","","","","","","","0.38","0.38","0.38"
"36489","0.3265","0.3265","0.3265","","","","0.326","0.326","0.326","","",""
"36491","","","","0.7435","0.7435","0.7435","","","","0.384","0.384","0.384"
"36493","0.3295","0.3295","0.3295","","","","0.332","0.332","0.332","0.378","0.378","0.378"
"36494","","","","","","","","","","0.3855","0.3855","0.3855"
"36497","0.335","0.335","0.335","","","","0.336","0.336","0.336","","",""
"36498","","","","0.703","0.703","0.703","","","","","",""
"36501","","","","","","","","","","0.2775","0.2775","0.2775"
"36502","","","","0.649","0.649","0.649","","","","0.3325","0.3325","0.3325"
"36504","","","","","","","","","","0.4015","0.4015","0.4015"
"36506","","","","0.733","0.733","0.733","","","","","",""
"36507","","","","0.7345","0.7345","0.7345","","","","0.455","0.455","0.455"
"36508","0.41","0.41","0.41","","","","0.39","0.39","0.39","","",""
"36510","","","","","","","","","","0.4555","0.4555","0.4555"
"36513","","","","0.749","0.749","0.749","","","","","",""
"36514","","","","","","","","","","0.468","0.468","0.468"
"36515","0.43","0.43","0.43","","","","0.416","0.416","0.416","","",""
"36527","","","","","","","","","","0.353","0.353","0.353"
"36528","0.2835","0.2835","0.2835","","","","0.2685","0.2685","0.2685","","",""
"36535","0.4215","0.4215","0.4215","","","","0.419","0.419","0.419","","",""
"36536","0.4325","0.4325","0.4325","","","","0.4275","0.4275","0.4275","","",""
"36538","","","","","","","","","","0.482","0.482","0.482"
"36540","0.445","0.445","0.445","","","","0.4475","0.4475","0.4475","","",""
"36541","0.447","0.447","0.447","","","","0.4445","0.4445","0.4445","0.483","0.483","0.483"
"36547","0.4585","0.4585","0.4585","","","","0.4525","0.4525","0.4525","0.4905","0.4905","0.4905"
"36550","","","","0","0","0","","","","","",""
"36551","","","","","","","","","","0.2525","0.2525","0.2525"
"36552","","","","","","","","","","0.342","0.342","0.342"
"36554","","","","","","","","","","0.4115","0.4115","0.4115"
"36558","","","","0.7205","0.7205","0.7205","","","","","",""
"36560","","","","","","","","","","0.464","0.464","0.464"
"36561","","","","","","","","","","0.451","0.451","0.451"
"36563","","","","","","","","","","0.46","0.46","0.46"
"36564","","","","0.731","0.731","0.731","","","","","",""
"36565","","","","0.7615","0.7615","0.7615","","","","0.466","0.466","0.466"
"36566","","","","0.7265","0.7265","0.7265","","","","","",""
"36567","","","","","","","","","","0.466","0.466","0.466"
"36572","","","","0.764","0.764","0.764","","","","","",""
"36573","0.451","0.451","0.451","","","","0.4195","0.4195","0.4195","","",""
"36577","","","","","","","","","","0.346","0.346","0.346"
"36579","0.3455","0.3455","0.3455","","","","0.3625","0.3625","0.3625","","",""
"36586","","","","0.861","0.861","0.861","","","","","",""
"36587","","","","","","","","","","0.474","0.474","0.474"
"36590","","","","","","","","","","0.48","0.48","0.48"
"36591","0.4615","0.4615","0.4615","","","","0.46","0.46","0.46","","",""
"36592","0.462","0.462","0.462","","","","0.466","0.466","0.466","","",""
"36597","","","","0.8695","0.8695","0.8695","","","","","",""
"36599","","","","","","","","","","0.4965","0.4965","0.4965"
"36604","","","","0.819","0.819","0.819","","","","","",""
"36605","","","","0.816","0.816","0.816","","","","","",""
"36606","","","","0.814","0.814","0.814","","","","","",""
"36614","","","","0.816","0.816","0.816","","","","","",""
"36616","0.5155","0.5155","0.5155","","","","0.508","0.508","0.508","","",""
"36620","","","","0.835","0.835","0.835","","","","","",""
"36621","0.5195","0.5195","0.5195","","","","0.5125","0.5125","0.5125","","",""
"36622","","","","0.8245","0.8245","0.8245","","","","","",""
"36623","0.5245","0.5245","0.5245","0.834","0.834","0.834","0.5165","0.5165","0.5165","","",""
"36624","0.524","0.524","0.524","","","","0.5185","0.5185","0.5185","","",""
"36626","","","","0.73","0.73","0.73","","","","","",""
"36628","","","","","","","","","","0.3835","0.3835","0.3835"
"36629","","","","0.7345","0.7345","0.7345","","","","","",""
"36630","0.371","0.371","0.371","0.77","0.77","0.77","0.401","0.401","0.401","","",""
"36631","0.3965","0.3965","0.3965","0.7495","0.7495","0.7495","0.4135","0.4135","0.4135","","",""
"36633","0.422","0.422","0.422","","","","0.4415","0.4415","0.4415","","",""
"36634","0.432","0.432","0.432","","","","0.452","0.452","0.452","","",""
"36635","0.435","0.435","0.435","","","","0.454","0.454","0.454","","",""
"36636","0.437","0.437","0.437","","","","0.4575","0.4575","0.4575","","",""
"36637","0.4405","0.4405","0.4405","","","","0.459","0.459","0.459","","",""
"36638","","","","","","","","","","0.477","0.477","0.477"
"36639","","","","","","","","","","0.4775","0.4775","0.4775"
"36641","","","","","","","","","","0.482","0.482","0.482"
"36643","","","","0.7735","0.7735","0.7735","","","","","",""
"36647","0.4595","0.4595","0.4595","","","","0.468","0.468","0.468","0.492","0.492","0.492"
"36653","","","","0.7655","0.7655","0.7655","","","","","",""
"36655","0.362","0.362","0.362","0.764","0.764","0.764","0.364","0.364","0.364","","",""
"36656","0.3815","0.3815","0.3815","","","","0.385","0.385","0.385","","",""
"36659","","","","","","","","","","0.444","0.444","0.444"
"36663","","","","","","","","","","0.4485","0.4485","0.4485"
"36664","","","","0.7745","0.7745","0.7745","","","","","",""
"36668","","","","","","","","","","0.452","0.452","0.452"
"36671","","","","0.803","0.803","0.803","","","","","",""
"36673","","","","","","","","","","0.456","0.456","0.456"
"36674","","","","0.786","0.786","0.786","","","","","",""
"36675","","","","0","0","0","","","","","",""
"36678","0.2735","0.2735","0.2735","0.8015","0.8015","0.8015","0.262","0.262","0.262","","",""
"36679","0.331","0.331","0.331","","","","0.3335","0.3335","0.3335","","",""
"36681","0.407","0.407","0.407","0.777","0.777","0.777","0.397","0.397","0.397","","",""
"36690","","","","0.787","0.787","0.787","","","","","",""
"36692","","","","","","","","","","0.489","0.489","0.489"
"36693","","","","0.8195","0.8195","0.8195","","","","","",""
"36696","0.467","0.467","0.467","","","","0.459","0.459","0.459","","",""
"36697","","","","","","","","","","0.4915","0.4915","0.4915"
"36698","","","","","","","","","","0.493","0.493","0.493"
"36699","","","","","","","","","","0.493","0.493","0.493"
"36700","0.0315","0.0315","0.0315","","","","0.0355","0.0355","0.0355","","",""
"36712","","","","","","","","","","0.4485","0.4485","0.4485"
"36714","0.407","0.407","0.407","","","","0.4105","0.4105","0.4105","","",""
"36715","0.409","0.409","0.409","","","","0.4105","0.4105","0.4105","","",""
"36716","","","","","","","","","","0.4485","0.4485","0.4485"
"36717","","","","0.783","0.783","0.783","","","","","",""
"36718","","","","","","","","","","0.452","0.452","0.452"
"36725","0.0065","0.0065","0.0065","","","","0.0105","0.0105","0.0105","","",""
"36728","","","","0.7695","0.7695","0.7695","","","","","",""
"36729","","","","","","","","","","0.4005","0.4005","0.4005"
"36730","0.37","0.37","0.37","","","","0.3675","0.3675","0.3675","","",""
"36734","0.413","0.413","0.413","","","","0.435","0.435","0.435","","",""
"36735","0.423","0.423","0.423","","","","0.438","0.438","0.438","0.454","0.454","0.454"
"36739","","","","0.804","0.804","0.804","","","","","",""
"36740","","","","","","","","","","0.464","0.464","0.464"
"36741","","","","","","","","","","0.4645","0.4645","0.4645"
"36742","0.439","0.439","0.439","","","","0.453","0.453","0.453","","",""
"36743","","","","0.8065","0.8065","0.8065","","","","0.468","0.468","0.468"
"36746","","","","0.8405","0.8405","0.8405","","","","","",""
"36747","","","","0.8285","0.8285","0.8285","","","","","",""
"36751","","","","0.74","0.74","0.74","","","","","",""
"36752","0.2115","0.2115","0.2115","","","","0.2135","0.2135","0.2135","0.3725","0.3725","0.3725"
"36753","","","","0.7355","0.7355","0.7355","","","","","",""
"36757","","","","0.7905","0.7905","0.7905","","","","","",""
"36758","","","","0.7785","0.7785","0.7785","","","","","",""
"36759","0.4125","0.4125","0.4125","","","","0.422","0.422","0.422","0.449","0.449","0.449"
"36762","0.4215","0.4215","0.4215","","","","0.432","0.432","0.432","","",""
"36771","","","","0.7925","0.7925","0.7925","","","","","",""
"36772","","","","","","","","","","0.4665","0.4665","0.4665"
"36773","0.4415","0.4415","0.4415","0.764","0.764","0.764","0.4495","0.4495","0.4495","0.473","0.473","0.473"
"36775","0.006","0.006","0.006","","","","0.008","0.008","0.008","","",""
"36776","","","","0.6905","0.6905","0.6905","","","","","",""
"36777","","","","","","","","","","0.3315","0.3315","0.3315"
"36778","","","","","","","","","","0.359","0.359","0.359"
"36779","0.3685","0.3685","0.3685","","","","0.3525","0.3525","0.3525","0.391","0.391","0.391"
"36784","","","","0.7925","0.7925","0.7925","","","","0.4485","0.4485","0.4485"
"36787","0.4405","0.4405","0.4405","","","","0.435","0.435","0.435","","",""
"36789","","","","","","","","","","0.463","0.463","0.463"
"36791","0.451","0.451","0.451","","","","0.4375","0.4375","0.4375","","",""
"36795","","","","0.7945","0.7945","0.7945","","","","","",""
"36797","","","","","","","","","","0.461","0.461","0.461"
"36798","0.4465","0.4465","0.4465","","","","0.446","0.446","0.446","","",""
"36800","","","","","","","","","","0.0125","0.0125","0.0125"
"36803","0.335","0.335","0.335","","","","0.334","0.334","0.334","","",""
"36807","0.4615","0.4615","0.4615","","","","0.453","0.453","0.453","","",""
"36810","","","","0.85","0.85","0.85","","","","","",""
"36811","0.4885","0.4885","0.4885","","","","0.476","0.476","0.476","","",""
"36813","","","","","","","","","","0.51","0.51","0.51"
"36815","","","","","","","","","","0.5165","0.5165","0.5165"
"36817","","","","","","","","","","0.5175","0.5175","0.5175"
"36818","0.5005","0.5005","0.5005","","","","0.483","0.483","0.483","","",""
"36822","","","","0.8615","0.8615","0.8615","","","","","",""
"36825","","","","0","0","0","","","","","",""
"36827","","","","","","","","","","0.3345","0.3345","0.3345"
"36831","0.3775","0.3775","0.3775","","","","0.36","0.36","0.36","","",""
"36838","","","","0.831","0.831","0.831","","","","","",""
"36841","","","","","","","","","","0.439","0.439","0.439"
"36842","","","","0.8285","0.8285","0.8285","","","","","",""
"36845","","","","0.847","0.847","0.847","","","","","",""
"36846","","","","","","","","","","0.4475","0.4475","0.4475"
"36847","","","","","","","","","","0.448","0.448","0.448"
"36848","","","","0.825","0.825","0.825","","","","","",""
"36849","","","","0.8385","0.8385","0.8385","","","","","",""
"36851","0.076","0.076","0.076","0.7135","0.7135","0.7135","0.079","0.079","0.079","0.244","0.244","0.244"
"36860","","","","0.7625","0.7625","0.7625","","","","","",""
"36861","","","","","","","","","","0.4315","0.4315","0.4315"
"36864","","","","","","","","","","0.4375","0.4375","0.4375"
"36865","","","","0.7755","0.7755","0.7755","","","","","",""
"36866","0.426","0.426","0.426","","","","0.4105","0.4105","0.4105","","",""
"36868","","","","0.7735","0.7735","0.7735","","","","","",""
"36869","","","","0.775","0.775","0.775","","","","0.4405","0.4405","0.4405"
"36871","0.433","0.433","0.433","","","","0.4215","0.4215","0.4215","","",""
"36873","0.4345","0.4345","0.4345","","","","0.42","0.42","0.42","","",""
"36876","","","","0.6985","0.6985","0.6985","","","","","",""
"36879","","","","","","","","","","0.406","0.406","0.406"
"36881","0.4095","0.4095","0.4095","","","","0.423","0.423","0.423","","",""
"36886","","","","0.763","0.763","0.763","","","","","",""
"36889","","","","","","","","","","0.491","0.491","0.491"
"36890","0.455","0.455","0.455","","","","0.463","0.463","0.463","","",""
"36891","","","","","","","","","","0.4935","0.4935","0.4935"
"36900","","","","0","0","0","","","","","",""
"36902","","","","","","","","","","0.4255","0.4255","0.4255"
"36905","0.4105","0.4105","0.4105","0.8075","0.8075","0.8075","0.4245","0.4245","0.4245","","",""
"36906","","","","0.8235","0.8235","0.8235","","","","","",""
"36908","","","","0.8345","0.8345","0.8345","","","","","",""
"36909","0.463","0.463","0.463","","","","0.4785","0.4785","0.4785","","",""
"36910","","","","0.8085","0.8085","0.8085","","","","","",""
"36911","","","","","","","","","","0.5265","0.5265","0.5265"
"36912","","","","0.8135","0.8135","0.8135","","","","","",""
"36913","","","","0.843","0.843","0.843","","","","","",""
"36920","","","","","","","","","","0.5305","0.5305","0.5305"
"36921","","","","","","","","","","0.534","0.534","0.534"
"36924","0.499","0.499","0.499","","","","0.5095","0.5095","0.5095","","",""
"36930","0.3975","0.3975","0.3975","","","","0.389","0.389","0.389","","",""
"36935","0.448","0.448","0.448","","","","0.445","0.445","0.445","","",""
"36936","","","","","","","","","","0.4985","0.4985","0.4985"
"36939","0.471","0.471","0.471","0.8025","0.8025","0.8025","0.455","0.455","0.455","","",""
"36940","","","","0.808","0.808","0.808","","","","0.512","0.512","0.512"
"36943","0.4755","0.4755","0.4755","","","","0.4705","0.4705","0.4705","","",""
"36945","","","","","","","","","","0.5145","0.5145","0.5145"
"36946","","","","","","","","","","0.519","0.519","0.519"
