"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"239","0.1855","0.1855","0.1855","0.6125","0.6125","0.6125","0.1705","0.1705","0.1705","0.172","0.172","0.172"
"240","","","","0.6225","0.6225","0.6225","","","","","",""
"242","0.194","0.194","0.194","","","","0.171","0.171","0.171","","",""
"245","","","","","","","","","","0.1795","0.1795","0.1795"
"246","","","","0.656","0.656","0.656","","","","0.1865","0.1865","0.1865"
"250","","","","0","0","0","","","","","",""
"251","","","","0.5","0.5","0.5","","","","","",""
"254","","","","0.581","0.581","0.581","","","","","",""
"256","","","","0.5595","0.5595","0.5595","","","","","",""
"260","","","","0.602","0.602","0.602","","","","","",""
"261","","","","0.606","0.606","0.606","","","","","",""
"264","","","","0.668","0.668","0.668","","","","","",""
"266","","","","0.6525","0.6525","0.6525","","","","","",""
"269","","","","0.5865","0.5865","0.5865","","","","","",""
"272","","","","","","","","","","0.2155","0.2155","0.2155"
"273","0.231","0.231","0.231","0.637","0.637","0.637","0.2125","0.2125","0.2125","","",""
"274","","","","0.614","0.614","0.614","","","","0.2185","0.2185","0.2185"
"275","0.0165","0.0165","0.0165","","","","0.0135","0.0135","0.0135","","",""
"277","0.0565","0.0565","0.0565","","","","0.055","0.055","0.055","","",""
"278","0.066","0.066","0.066","","","","0.065","0.065","0.065","","",""
"283","","","","0.679","0.679","0.679","","","","","",""
"284","","","","0.6345","0.6345","0.6345","","","","","",""
"285","0.188","0.188","0.188","","","","0.178","0.178","0.178","","",""
"287","0.202","0.202","0.202","0.659","0.659","0.659","0.1885","0.1885","0.1885","0.1945","0.1945","0.1945"
"288","0.2025","0.2025","0.2025","","","","0.194","0.194","0.194","0.205","0.205","0.205"
"289","","","","","","","","","","0.21","0.21","0.21"
"290","0.2065","0.2065","0.2065","","","","0.191","0.191","0.191","","",""
"297","","","","","","","","","","0.2185","0.2185","0.2185"
"303","0.053","0.053","0.053","","","","0.054","0.054","0.054","","",""
"308","","","","0.677","0.677","0.677","","","","","",""
"310","0.188","0.188","0.188","","","","0.1715","0.1715","0.1715","","",""
"312","0.204","0.204","0.204","","","","0.185","0.185","0.185","","",""
"315","0.217","0.217","0.217","0.682","0.682","0.682","0.2005","0.2005","0.2005","","",""
"323","0.2495","0.2495","0.2495","","","","0.226","0.226","0.226","","",""
"325","0","0","0","","","","0","0","0","","",""
"327","0.083","0.083","0.083","","","","0.085","0.085","0.085","","",""
"328","0.1","0.1","0.1","0.636","0.636","0.636","0.1","0.1","0.1","0.101","0.101","0.101"
"329","0.1025","0.1025","0.1025","","","","0.1025","0.1025","0.1025","","",""
"330","0.1095","0.1095","0.1095","","","","0.111","0.111","0.111","","",""
"331","","","","0.668","0.668","0.668","","","","","",""
"333","","","","","","","","","","0.1915","0.1915","0.1915"
"334","","","","0.6585","0.6585","0.6585","","","","0.2075","0.2075","0.2075"
"335","","","","0.7165","0.7165","0.7165","","","","","",""
"336","","","","0.6945","0.6945","0.6945","","","","","",""
