"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"26","0.16254859372973443","0.16254859372973443","0.16254859372973443","0.13657943554688246","0.13657943554688246","0.13657943554688246","0.14832139492034913","0.14832139492034913","0.14832139492034913","0.18963750161230564","0.18963750161230564","0.18963750161230564"
"27","0.13351085900329054","0.13351085900329054","0.13351085900329054","0.10845059127837885","0.10845059127837885","0.10845059127837885","0.11689639916061424","0.11689639916061424","0.11689639916061424","0.11994725964032113","0.11994725964032113","0.11994725964032113"
"28","0.1147968563035829","0.1147968563035829","0.1147968563035829","0.06968120242469013","0.06968120242469013","0.06968120242469013","0.1044580266517005","0.1044580266517005","0.1044580266517005","0.0706023550964892","0.0706023550964892","0.0706023550964892"
"29","0.08993647683644668","0.08993647683644668","0.08993647683644668","0.05606605222215876","0.05606605222215876","0.05606605222215876","0.09669596826424823","0.09669596826424823","0.09669596826424823","0.04457220382988453","0.04457220382988453","0.04457220382988453"
"30","0.0644692787528038","0.0644692787528038","0.0644692787528038","0.04830339454114437","0.04830339454114437","0.04830339454114437","0.09147829010093118","0.09147829010093118","0.09147829010093118","0.03437377352267504","0.03437377352267504","0.03437377352267504"
"31","0.04579566515982151","0.04579566515982151","0.04579566515982151","0.04063485264778137","0.04063485264778137","0.04063485264778137","0.08729095221497118","0.08729095221497118","0.08729095221497118","0.029149768799543382","0.029149768799543382","0.029149768799543382"
"32","0.03402351789176464","0.03402351789176464","0.03402351789176464","0.036996353194117544","0.036996353194117544","0.036996353194117544","0.08434526978526265","0.08434526978526265","0.08434526978526265","0.026255781650543212","0.026255781650543212","0.026255781650543212"
"33","0.025936082154512406","0.025936082154512406","0.025936082154512406","0.03259380776435137","0.03259380776435137","0.03259380776435137","0.08196657889522613","0.08196657889522613","0.08196657889522613","0.023272650092840196","0.023272650092840196","0.023272650092840196"
"34","0.02145023673772812","0.02145023673772812","0.02145023673772812","0.030150602869689465","0.030150602869689465","0.030150602869689465","0.08013685378246009","0.08013685378246009","0.08013685378246009","0.021176499649882316","0.021176499649882316","0.021176499649882316"
"35","0.018148338049650194","0.018148338049650194","0.018148338049650194","0.028417629860341548","0.028417629860341548","0.028417629860341548","0.07859389590099454","0.07859389590099454","0.07859389590099454","0.020467934161424638","0.020467934161424638","0.020467934161424638"
"36","0.016076260283589362","0.016076260283589362","0.016076260283589362","0.02434735655784607","0.02434735655784607","0.02434735655784607","0.07744049973087386","0.07744049973087386","0.07744049973087386","0.0184616918861866","0.0184616918861866","0.0184616918861866"
"37","0.015302751660346985","0.015302751660346985","0.015302751660346985","0.02382022824138403","0.02382022824138403","0.02382022824138403","0.0766120228735963","0.0766120228735963","0.0766120228735963","0.017931733578443527","0.017931733578443527","0.017931733578443527"
"38","0.013120570629835128","0.013120570629835128","0.013120570629835128","0.022655231915414333","0.022655231915414333","0.022655231915414333","0.07557108391076327","0.07557108391076327","0.07557108391076327","0.016138097792863845","0.016138097792863845","0.016138097792863845"
"39","0.012141557931900025","0.012141557931900025","0.012141557931900025","0.020802607350051402","0.020802607350051402","0.020802607350051402","0.07487450401298702","0.07487450401298702","0.07487450401298702","0.015507877469062806","0.015507877469062806","0.015507877469062806"
"40","0.011037766337394714","0.011037766337394714","0.011037766337394714","0.01984929334372282","0.01984929334372282","0.01984929334372282","0.07441477541346103","0.07441477541346103","0.07441477541346103","0.014503129199147225","0.014503129199147225","0.014503129199147225"
"41","0.010972394049167633","0.010972394049167633","0.010972394049167633","0.019120113067328928","0.019120113067328928","0.019120113067328928","0.07376412552781403","0.07376412552781403","0.07376412552781403","0.014103779941797257","0.014103779941797257","0.014103779941797257"
"42","0.010239212960004806","0.010239212960004806","0.010239212960004806","0.018834021911025046","0.018834021911025046","0.018834021911025046","0.0731847352720797","0.0731847352720797","0.0731847352720797","0.014236755445599556","0.014236755445599556","0.014236755445599556"
"43","0.010000330507755279","0.010000330507755279","0.010000330507755279","0.018026842921972274","0.018026842921972274","0.018026842921972274","0.07289078564383089","0.07289078564383089","0.07289078564383089","0.013777430057525636","0.013777430057525636","0.013777430057525636"
"44","0.009447940289974213","0.009447940289974213","0.009447940289974213","0.017196116037666798","0.017196116037666798","0.017196116037666798","0.07257447418756784","0.07257447418756784","0.07257447418756784","0.01240086428821087","0.01240086428821087","0.01240086428821087"
