"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MAX"
"40","0.01473988950252533","0.01473988950252533","0.01473988950252533","0.020143638998270035","0.020143638998270035","0.020143638998270035","0.024382748752832414","0.024382748752832414","0.024382748752832414","0.012361306697130203","0.012361306697130203","0.012361306697130203"
"41","0.01395827941596508","0.01395827941596508","0.01395827941596508","0.018692398592829704","0.018692398592829704","0.018692398592829704","0.02289890617132187","0.02289890617132187","0.02289890617132187","0.010849934369325638","0.010849934369325638","0.010849934369325638"
"42","0.013730050101876258","0.013730050101876258","0.013730050101876258","0.017989812716841698","0.017989812716841698","0.017989812716841698","0.022280715480446814","0.022280715480446814","0.022280715480446814","0.0108118337392807","0.0108118337392807","0.0108118337392807"
"43","0.01248376004397869","0.01248376004397869","0.01248376004397869","0.01667667120695114","0.01667667120695114","0.01667667120695114","0.021666447967290878","0.021666447967290878","0.021666447967290878","0.0105019810795784","0.0105019810795784","0.0105019810795784"
"44","0.012808895632624627","0.012808895632624627","0.012808895632624627","0.016776376739144325","0.016776376739144325","0.016776376739144325","0.020665847659111024","0.020665847659111024","0.020665847659111024","0.009893712848424911","0.009893712848424911","0.009893712848424911"
"45","0.012103256285190583","0.012103256285190583","0.012103256285190583","0.01568377897143364","0.01568377897143364","0.01568377897143364","0.021069823801517486","0.021069823801517486","0.021069823801517486","0.009586587250232696","0.009586587250232696","0.009586587250232696"
"46","0.012185658738017082","0.012185658738017082","0.012185658738017082","0.013842817321419716","0.013842817321419716","0.013842817321419716","0.020408227518200876","0.020408227518200876","0.020408227518200876","0.008899324685335159","0.008899324685335159","0.008899324685335159"
"47","0.011325282379984855","0.011325282379984855","0.011325282379984855","0.013185322061181068","0.013185322061181068","0.013185322061181068","0.02022362522780895","0.02022362522780895","0.02022362522780895","0.008813804984092712","0.008813804984092712","0.008813804984092712"
"48","0.011120575964450836","0.011120575964450836","0.011120575964450836","0.013495219647884369","0.013495219647884369","0.013495219647884369","0.019477444738149642","0.019477444738149642","0.019477444738149642","0.009681139588356018","0.009681139588356018","0.009681139588356018"
"49","0.010349217131733894","0.010349217131733894","0.010349217131733894","0.014125337302684783","0.014125337302684783","0.014125337302684783","0.019811846166849136","0.019811846166849136","0.019811846166849136","0.008739828467369079","0.008739828467369079","0.008739828467369079"
"50","0.010267079398036004","0.010267079398036004","0.010267079398036004","0.011866856254637242","0.011866856254637242","0.011866856254637242","0.019684128165245056","0.019684128165245056","0.019684128165245056","0.008342662006616592","0.008342662006616592","0.008342662006616592"
"51","0.19540397300384937","0.19540397300384937","0.19540397300384937","0.12059948052599793","0.12059948052599793","0.12059948052599793","0.14328032650053502","0.14328032650053502","0.14328032650053502","0.15512436360120774","0.15512436360120774","0.15512436360120774"
"52","0.1069008233374916","0.1069008233374916","0.1069008233374916","0.1189309509767918","0.1189309509767918","0.1189309509767918","0.12624007944017648","0.12624007944017648","0.12624007944017648","0.13685277335345744","0.13685277335345744","0.13685277335345744"
"53","0.06302818006835878","0.06302818006835878","0.06302818006835878","0.0903859870287306","0.0903859870287306","0.0903859870287306","0.11532828081399202","0.11532828081399202","0.11532828081399202","0.1178200152462523","0.1178200152462523","0.1178200152462523"
"54","0.04496371166780591","0.04496371166780591","0.04496371166780591","0.06869358824915253","0.06869358824915253","0.06869358824915253","0.10459465155377984","0.10459465155377984","0.10459465155377984","0.09239576195424888","0.09239576195424888","0.09239576195424888"
"55","0.03591861370950937","0.03591861370950937","0.03591861370950937","0.05620049842633307","0.05620049842633307","0.05620049842633307","0.09259785302181626","0.09259785302181626","0.09259785302181626","0.06594327153638005","0.06594327153638005","0.06594327153638005"
"56","0.0301926402002573","0.0301926402002573","0.0301926402002573","0.04665283862501383","0.04665283862501383","0.04665283862501383","0.08110602652188391","0.08110602652188391","0.08110602652188391","0.048632344081997875","0.048632344081997875","0.048632344081997875"
"57","0.026221402846276762","0.026221402846276762","0.026221402846276762","0.040327474772930146","0.040327474772930146","0.040327474772930146","0.07089453727006913","0.07089453727006913","0.07089453727006913","0.036745166033506395","0.036745166033506395","0.036745166033506395"
"58","0.023752536922693253","0.023752536922693253","0.023752536922693253","0.03513520996551961","0.03513520996551961","0.03513520996551961","0.06188032979145646","0.06188032979145646","0.06188032979145646","0.029446654319763184","0.029446654319763184","0.029446654319763184"
