"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MAX"
"136","0.1327","0.1327","0.1327","0.1386","0.1386","0.1386","0.2835","0.2835","0.2835"
"137","0.13635","0.13635","0.13635","0.14035","0.14035","0.14035","0.235","0.235","0.235"
"138","0.1378","0.1378","0.1378","0.14335","0.14335","0.14335","0.289","0.289","0.289"
"139","0.1401","0.1401","0.1401","0.1467","0.1467","0.1467","0.243","0.243","0.243"
"140","0.14255","0.14255","0.14255","0.1496","0.1496","0.1496","0.2905","0.2905","0.2905"
"141","0.1445","0.1445","0.1445","0.1499","0.1499","0.1499","0.2595","0.2595","0.2595"
"142","0.1458","0.1458","0.1458","0.15395","0.15395","0.15395","0.314","0.314","0.314"
"143","0.1485","0.1485","0.1485","0.15485","0.15485","0.15485","0.2975","0.2975","0.2975"
"144","0.15085","0.15085","0.15085","0.15675","0.15675","0.15675","0.3425","0.3425","0.3425"
"145","0.1522","0.1522","0.1522","0.1578","0.1578","0.1578","0.342","0.342","0.342"
"146","0.15325","0.15325","0.15325","0.159","0.159","0.159","0.359","0.359","0.359"
"147","0.1539","0.1539","0.1539","0.1603","0.1603","0.1603","0.344","0.344","0.344"
"148","0.1559","0.1559","0.1559","0.1617","0.1617","0.1617","0.354","0.354","0.354"
"149","0.15555","0.15555","0.15555","0.16135","0.16135","0.16135","0.357","0.357","0.357"
"150","0.0297","0.0297","0.0297","0.03245","0.03245","0.03245","0","0","0"
"151","0.05355","0.05355","0.05355","0.0588","0.0588","0.0588","0.0025","0.0025","0.0025"
"152","0.07025","0.07025","0.07025","0.07625","0.07625","0.07625","0.0695","0.0695","0.0695"
"153","0.0848","0.0848","0.0848","0.0907","0.0907","0.0907","0.0995","0.0995","0.0995"
"154","0.09515","0.09515","0.09515","0.10055","0.10055","0.10055","0.1425","0.1425","0.1425"
"155","0.10235","0.10235","0.10235","0.10735","0.10735","0.10735","0.2325","0.2325","0.2325"
"156","0.1092","0.1092","0.1092","0.11315","0.11315","0.11315","0.262","0.262","0.262"
"157","0.11405","0.11405","0.11405","0.1176","0.1176","0.1176","0.2965","0.2965","0.2965"
"158","0.1186","0.1186","0.1186","0.1217","0.1217","0.1217","0.298","0.298","0.298"
"159","0.12175","0.12175","0.12175","0.12645","0.12645","0.12645","0.313","0.313","0.313"
"160","0.1257","0.1257","0.1257","0.1296","0.1296","0.1296","0.326","0.326","0.326"
"161","0.12905","0.12905","0.12905","0.1323","0.1323","0.1323","0.3235","0.3235","0.3235"
"162","0.13165","0.13165","0.13165","0.13625","0.13625","0.13625","0.3405","0.3405","0.3405"
"163","0.13465","0.13465","0.13465","0.139","0.139","0.139","0.3295","0.3295","0.3295"
"164","0.1361","0.1361","0.1361","0.1402","0.1402","0.1402","0.3285","0.3285","0.3285"
"165","0.13855","0.13855","0.13855","0.14055","0.14055","0.14055","0.33","0.33","0.33"
"166","0.14165","0.14165","0.14165","0.1433","0.1433","0.1433","0.344","0.344","0.344"
"167","0.14205","0.14205","0.14205","0.1466","0.1466","0.1466","0.345","0.345","0.345"
"168","0.14365","0.14365","0.14365","0.1474","0.1474","0.1474","0.343","0.343","0.343"
"169","0.14585","0.14585","0.14585","0.1483","0.1483","0.1483","0.3485","0.3485","0.3485"
"170","0.14675","0.14675","0.14675","0.1493","0.1493","0.1493","0.341","0.341","0.341"
"171","0.147","0.147","0.147","0.15025","0.15025","0.15025","0.3485","0.3485","0.3485"
"172","0.14815","0.14815","0.14815","0.1507","0.1507","0.1507","0.35","0.35","0.35"
"173","0.1493","0.1493","0.1493","0.1517","0.1517","0.1517","0.356","0.356","0.356"
"174","0.1505","0.1505","0.1505","0.15195","0.15195","0.15195","0.354","0.354","0.354"
"175","0.02135","0.02135","0.02135","0.0222","0.0222","0.0222","0.015","0.015","0.015"
"176","0.04415","0.04415","0.04415","0.04715","0.04715","0.04715","0.0515","0.0515","0.0515"
"177","0.07285","0.07285","0.07285","0.0742","0.0742","0.0742","0.1025","0.1025","0.1025"
"178","0.09355","0.09355","0.09355","0.0965","0.0965","0.0965","0.1205","0.1205","0.1205"
"179","0.104","0.104","0.104","0.1107","0.1107","0.1107","0.1265","0.1265","0.1265"
"180","0.1114","0.1114","0.1114","0.119","0.119","0.119","0.2505","0.2505","0.2505"
"181","0.12","0.12","0.12","0.12565","0.12565","0.12565","0.2725","0.2725","0.2725"
"182","0.12675","0.12675","0.12675","0.1325","0.1325","0.1325","0.3045","0.3045","0.3045"
"183","0.1332","0.1332","0.1332","0.1383","0.1383","0.1383","0.31","0.31","0.31"
"184","0.13755","0.13755","0.13755","0.14255","0.14255","0.14255","0.33","0.33","0.33"
"185","0.1414","0.1414","0.1414","0.14915","0.14915","0.14915","0.335","0.335","0.335"
"186","0.14545","0.14545","0.14545","0.1534","0.1534","0.1534","0.343","0.343","0.343"
"187","0.1471","0.1471","0.1471","0.15555","0.15555","0.15555","0.342","0.342","0.342"
"188","0.1498","0.1498","0.1498","0.1595","0.1595","0.1595","0.3405","0.3405","0.3405"
"189","0.152","0.152","0.152","0.16305","0.16305","0.16305","0.345","0.345","0.345"
