"Step","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"3331","","","","0.4535","0.4535","0.4535","0.5025","0.5025","0.5025"
"3332","","","","0.454","0.454","0.454","0.4995","0.4995","0.4995"
"3333","","","","0.457","0.457","0.457","0.492","0.492","0.492"
"3334","","","","0.456","0.456","0.456","0.4975","0.4975","0.4975"
"3335","","","","0.454","0.454","0.454","0.494","0.494","0.494"
"3336","","","","0.4705","0.4705","0.4705","0.493","0.493","0.493"
"3337","","","","0.4645","0.4645","0.4645","0.496","0.496","0.496"
"3338","","","","0.4605","0.4605","0.4605","0.5035","0.5035","0.5035"
"3339","","","","0.4695","0.4695","0.4695","0.4955","0.4955","0.4955"
"3340","","","","0.469","0.469","0.469","0.497","0.497","0.497"
"3341","","","","0.476","0.476","0.476","0.4995","0.4995","0.4995"
"3342","","","","0.4765","0.4765","0.4765","0.4995","0.4995","0.4995"
"3343","","","","0.4775","0.4775","0.4775","0.499","0.499","0.499"
"3344","","","","0.4745","0.4745","0.4745","0.5015","0.5015","0.5015"
"3345","","","","0.4815","0.4815","0.4815","0.4985","0.4985","0.4985"
"3346","","","","0.477","0.477","0.477","0.497","0.497","0.497"
"3347","","","","0.4785","0.4785","0.4785","0.498","0.498","0.498"
"3348","","","","0.479","0.479","0.479","0.4975","0.4975","0.4975"
"3349","","","","0.4765","0.4765","0.4765","0.499","0.499","0.499"
"3350","","","","0.1145","0.1145","0.1145","0.113","0.113","0.113"
"3351","","","","0.2555","0.2555","0.2555","0.369","0.369","0.369"
"3352","","","","0.3565","0.3565","0.3565","0.4575","0.4575","0.4575"
"3353","","","","0.399","0.399","0.399","0.4795","0.4795","0.4795"
"3354","","","","0.427","0.427","0.427","0.4905","0.4905","0.4905"
"3355","","","","0.44","0.44","0.44","0.497","0.497","0.497"
"3356","","","","0.4435","0.4435","0.4435","0.5025","0.5025","0.5025"
"3357","","","","0.4535","0.4535","0.4535","0.5065","0.5065","0.5065"
"3358","","","","0.4595","0.4595","0.4595","0.5035","0.5035","0.5035"
"3359","","","","0.463","0.463","0.463","0.5065","0.5065","0.5065"
"3360","","","","0.464","0.464","0.464","0.509","0.509","0.509"
"3361","","","","0.468","0.468","0.468","0.5105","0.5105","0.5105"
"3362","","","","0.471","0.471","0.471","0.5025","0.5025","0.5025"
"3363","","","","0.4725","0.4725","0.4725","0.5065","0.5065","0.5065"
"3364","","","","0.477","0.477","0.477","0.507","0.507","0.507"
"3365","","","","0.4785","0.4785","0.4785","0.5055","0.5055","0.5055"
"3366","","","","0.4785","0.4785","0.4785","0.5035","0.5035","0.5035"
"3367","","","","0.4785","0.4785","0.4785","0.5095","0.5095","0.5095"
"3368","","","","0.4785","0.4785","0.4785","0.511","0.511","0.511"
"3369","","","","0.4755","0.4755","0.4755","0.5125","0.5125","0.5125"
"3370","","","","0.4775","0.4775","0.4775","0.5085","0.5085","0.5085"
"3371","","","","0.4785","0.4785","0.4785","0.515","0.515","0.515"
"3372","","","","0.4815","0.4815","0.4815","0.516","0.516","0.516"
"3373","","","","0.4805","0.4805","0.4805","0.5145","0.5145","0.5145"
"3374","","","","0.4785","0.4785","0.4785","0.514","0.514","0.514"
"3375","","","","0.0915","0.0915","0.0915","0.105","0.105","0.105"
"3376","","","","0.281","0.281","0.281","0.362","0.362","0.362"
"3377","","","","0.379","0.379","0.379","0.4395","0.4395","0.4395"
"3378","","","","0.409","0.409","0.409","0.453","0.453","0.453"
"3379","","","","0.4225","0.4225","0.4225","0.4625","0.4625","0.4625"
"3380","","","","0.4305","0.4305","0.4305","0.469","0.469","0.469"
"3381","","","","0.438","0.438","0.438","0.469","0.469","0.469"
"3382","","","","0.4365","0.4365","0.4365","0.477","0.477","0.477"
"3383","","","","0.441","0.441","0.441","0.4785","0.4785","0.4785"
"3384","","","","0.4425","0.4425","0.4425","0.4855","0.4855","0.4855"
"3385","","","","0.443","0.443","0.443","0.4835","0.4835","0.4835"
"3386","","","","0.4445","0.4445","0.4445","0.4835","0.4835","0.4835"
"3387","","","","0.4485","0.4485","0.4485","0.4805","0.4805","0.4805"
"3388","","","","0.4465","0.4465","0.4465","0.483","0.483","0.483"
"3389","","","","0.4455","0.4455","0.4455","0.4825","0.4825","0.4825"
"3390","","","","0.4455","0.4455","0.4455","0.4855","0.4855","0.4855"
"3391","","","","0.449","0.449","0.449","0.488","0.488","0.488"
"3392","","","","0.4465","0.4465","0.4465","0.486","0.486","0.486"
"3393","","","","0.451","0.451","0.451","0.4865","0.4865","0.4865"
"3394","","","","0.449","0.449","0.449","0.4845","0.4845","0.4845"
"3395","","","","0.4515","0.4515","0.4515","0.4865","0.4865","0.4865"
"3396","","","","0.4525","0.4525","0.4525","0.4905","0.4905","0.4905"
"3397","","","","0.451","0.451","0.451","0.4935","0.4935","0.4935"
"3398","","","","0.4525","0.4525","0.4525","0.4885","0.4885","0.4885"
"3399","","","","0.457","0.457","0.457","0.488","0.488","0.488"
"3400","","","","0.1735","0.1735","0.1735","0.1735","0.1735","0.1735"
"3401","","","","0.36","0.36","0.36","0.4145","0.4145","0.4145"
"3402","","","","0.423","0.423","0.423","0.4915","0.4915","0.4915"
"3403","","","","0.467","0.467","0.467","0.5235","0.5235","0.5235"
"3404","","","","0.494","0.494","0.494","0.5345","0.5345","0.5345"
"3405","","","","0.4995","0.4995","0.4995","0.544","0.544","0.544"
"3406","","","","0.511","0.511","0.511","0.553","0.553","0.553"
"3407","","","","0.518","0.518","0.518","0.5535","0.5535","0.5535"
"3408","","","","0.521","0.521","0.521","0.554","0.554","0.554"
"3409","","","","0.5215","0.5215","0.5215","0.5575","0.5575","0.5575"
"3410","","","","0.529","0.529","0.529","0.562","0.562","0.562"
"3411","","","","0.529","0.529","0.529","0.5665","0.5665","0.5665"
"3412","","","","0.5265","0.5265","0.5265","0.561","0.561","0.561"
"3413","","","","0.5325","0.5325","0.5325","0.566","0.566","0.566"
"3414","","","","0.528","0.528","0.528","0.567","0.567","0.567"
"3415","","","","0.531","0.531","0.531","0.5695","0.5695","0.5695"
"3416","","","","0.532","0.532","0.532","0.562","0.562","0.562"
"3417","","","","0.532","0.532","0.532","0.567","0.567","0.567"
"3418","","","","0.532","0.532","0.532","0.567","0.567","0.567"
"3419","","","","0.5385","0.5385","0.5385","0.568","0.568","0.568"
"3420","","","","0.532","0.532","0.532","0.5595","0.5595","0.5595"
"3421","","","","0.53","0.53","0.53","0.5665","0.5665","0.5665"
"3422","","","","0.5355","0.5355","0.5355","0.5655","0.5655","0.5655"
"3423","","","","0.535","0.535","0.535","0.5655","0.5655","0.5655"
"3424","","","","0.537","0.537","0.537","0.571","0.571","0.571"
"3425","","","","0.1525","0.1525","0.1525","0.141","0.141","0.141"
"3426","","","","0.2375","0.2375","0.2375","0.27","0.27","0.27"
"3427","","","","0.3065","0.3065","0.3065","0.356","0.356","0.356"
"3428","","","","0.36","0.36","0.36","0.4075","0.4075","0.4075"
"3429","","","","0.3815","0.3815","0.3815","0.437","0.437","0.437"
"3430","","","","0.397","0.397","0.397","0.446","0.446","0.446"
"3431","","","","0.4095","0.4095","0.4095","0.449","0.449","0.449"
"3432","","","","0.416","0.416","0.416","0.4475","0.4475","0.4475"
"3433","","","","0.414","0.414","0.414","0.4455","0.4455","0.4455"
"3434","","","","0.4215","0.4215","0.4215","0.4485","0.4485","0.4485"
"3435","","","","0.4235","0.4235","0.4235","0.454","0.454","0.454"
"3436","","","","0.4205","0.4205","0.4205","0.453","0.453","0.453"
"3437","","","","0.425","0.425","0.425","0.4555","0.4555","0.4555"
"3438","","","","0.426","0.426","0.426","0.4565","0.4565","0.4565"
"3439","","","","0.428","0.428","0.428","0.454","0.454","0.454"
"3440","","","","0.423","0.423","0.423","0.458","0.458","0.458"
"3441","","","","0.4265","0.4265","0.4265","0.4595","0.4595","0.4595"
"3442","","","","0.427","0.427","0.427","0.456","0.456","0.456"
"3443","","","","0.4235","0.4235","0.4235","0.4555","0.4555","0.4555"
"3444","","","","0.424","0.424","0.424","0.4555","0.4555","0.4555"
"3445","","","","0.4295","0.4295","0.4295","0.461","0.461","0.461"
"3446","","","","0.429","0.429","0.429","0.459","0.459","0.459"
"3447","","","","0.429","0.429","0.429","0.463","0.463","0.463"
"3448","","","","0.432","0.432","0.432","0.463","0.463","0.463"
"3449","","","","0.433","0.433","0.433","0.4675","0.4675","0.4675"
"3450","","","","0.101","0.101","0.101","0.088","0.088","0.088"
"3451","","","","0.2895","0.2895","0.2895","0.332","0.332","0.332"
"3452","","","","0.3515","0.3515","0.3515","0.4225","0.4225","0.4225"
"3453","","","","0.391","0.391","0.391","0.4465","0.4465","0.4465"
"3454","","","","0.41","0.41","0.41","0.4665","0.4665","0.4665"
"3455","","","","0.423","0.423","0.423","0.4775","0.4775","0.4775"
"3456","","","","0.436","0.436","0.436","0.4885","0.4885","0.4885"
"3457","","","","0.4445","0.4445","0.4445","0.4875","0.4875","0.4875"
"3458","","","","0.4475","0.4475","0.4475","0.493","0.493","0.493"
"3459","","","","0.454","0.454","0.454","0.5015","0.5015","0.5015"
"3460","","","","0.4575","0.4575","0.4575","0.4925","0.4925","0.4925"
"3461","","","","0.463","0.463","0.463","0.497","0.497","0.497"
"3462","","","","0.464","0.464","0.464","0.498","0.498","0.498"
"3463","","","","0.4655","0.4655","0.4655","0.4975","0.4975","0.4975"
"3464","","","","0.4635","0.4635","0.4635","0.5005","0.5005","0.5005"
"3465","","","","0.467","0.467","0.467","0.497","0.497","0.497"
"3466","","","","0.471","0.471","0.471","0.4925","0.4925","0.4925"
"3467","","","","0.474","0.474","0.474","0.501","0.501","0.501"
"3468","","","","0.4715","0.4715","0.4715","0.498","0.498","0.498"
"3469","","","","0.4715","0.4715","0.4715","0.5","0.5","0.5"
"3470","","","","0.4755","0.4755","0.4755","0.502","0.502","0.502"
"3471","","","","0.477","0.477","0.477","0.5015","0.5015","0.5015"
"3472","","","","0.476","0.476","0.476","0.5035","0.5035","0.5035"
"3473","","","","0.4785","0.4785","0.4785","0.505","0.505","0.505"
"3474","","","","0.4765","0.4765","0.4765","0.5025","0.5025","0.5025"
"3475","","","","0.074","0.074","0.074","0.086","0.086","0.086"
"3476","","","","0.324","0.324","0.324","0.345","0.345","0.345"
"3477","","","","0.4075","0.4075","0.4075","0.4165","0.4165","0.4165"
"3478","","","","0.4555","0.4555","0.4555","0.4805","0.4805","0.4805"
"3479","","","","0.478","0.478","0.478","0.493","0.493","0.493"
"3480","","","","0.49","0.49","0.49","0.501","0.501","0.501"
"3481","","","","0.5015","0.5015","0.5015","0.516","0.516","0.516"
"3482","","","","0.504","0.504","0.504","0.5215","0.5215","0.5215"
"3483","","","","0.5055","0.5055","0.5055","0.5245","0.5245","0.5245"
"3484","","","","0.504","0.504","0.504","0.5265","0.5265","0.5265"
"3485","","","","0.5075","0.5075","0.5075","0.525","0.525","0.525"
"3486","","","","0.5085","0.5085","0.5085","0.5235","0.5235","0.5235"
"3487","","","","0.5105","0.5105","0.5105","0.53","0.53","0.53"
"3488","","","","0.512","0.512","0.512","0.5265","0.5265","0.5265"
"3489","","","","0.512","0.512","0.512","0.525","0.525","0.525"
"3490","","","","0.513","0.513","0.513","0.527","0.527","0.527"
"3491","","","","0.516","0.516","0.516","0.5275","0.5275","0.5275"
"3492","","","","0.5175","0.5175","0.5175","0.5305","0.5305","0.5305"
"3493","","","","0.5175","0.5175","0.5175","0.5295","0.5295","0.5295"
"3494","","","","0.52","0.52","0.52","0.5305","0.5305","0.5305"
"3495","","","","0.517","0.517","0.517","0.5315","0.5315","0.5315"
"3496","","","","0.518","0.518","0.518","0.5335","0.5335","0.5335"
"3497","","","","0.5165","0.5165","0.5165","0.534","0.534","0.534"
"3498","","","","0.523","0.523","0.523","0.5355","0.5355","0.5355"
"3499","","","","0.52","0.52","0.52","0.5355","0.5355","0.5355"
"3500","","","","0.079","0.079","0.079","0.0815","0.0815","0.0815"
"3501","","","","0.2845","0.2845","0.2845","0.349","0.349","0.349"
"3502","","","","0.3675","0.3675","0.3675","0.4695","0.4695","0.4695"
"3503","","","","0.4155","0.4155","0.4155","0.4995","0.4995","0.4995"
"3504","","","","0.445","0.445","0.445","0.514","0.514","0.514"
"3505","","","","0.453","0.453","0.453","0.5175","0.5175","0.5175"
"3506","","","","0.4605","0.4605","0.4605","0.5205","0.5205","0.5205"
"3507","","","","0.4685","0.4685","0.4685","0.5195","0.5195","0.5195"
"3508","","","","0.4745","0.4745","0.4745","0.5225","0.5225","0.5225"
"3509","","","","0.4795","0.4795","0.4795","0.5215","0.5215","0.5215"
"3510","","","","0.482","0.482","0.482","0.524","0.524","0.524"
"3511","","","","0.4865","0.4865","0.4865","0.527","0.527","0.527"
"3512","","","","0.4885","0.4885","0.4885","0.5275","0.5275","0.5275"
"3513","","","","0.494","0.494","0.494","0.5275","0.5275","0.5275"
"3514","","","","0.4935","0.4935","0.4935","0.524","0.524","0.524"
"3515","","","","0.4925","0.4925","0.4925","0.527","0.527","0.527"
"3516","","","","0.4925","0.4925","0.4925","0.5235","0.5235","0.5235"
"3517","","","","0.4945","0.4945","0.4945","0.5245","0.5245","0.5245"
"3518","","","","0.492","0.492","0.492","0.524","0.524","0.524"
"3519","","","","0.4965","0.4965","0.4965","0.529","0.529","0.529"
"3520","","","","0.4995","0.4995","0.4995","0.5295","0.5295","0.5295"
"3521","","","","0.501","0.501","0.501","0.53","0.53","0.53"
"3522","","","","0.5015","0.5015","0.5015","0.5275","0.5275","0.5275"
"3523","","","","0.4995","0.4995","0.4995","0.5275","0.5275","0.5275"
"3524","","","","0.5","0.5","0.5","0.5255","0.5255","0.5255"
"3525","","","","0.0115","0.0115","0.0115","0.018","0.018","0.018"
"3526","","","","0.17","0.17","0.17","0.2755","0.2755","0.2755"
"3527","","","","0.286","0.286","0.286","0.3745","0.3745","0.3745"
"3528","","","","0.322","0.322","0.322","0.411","0.411","0.411"
"3529","","","","0.35","0.35","0.35","0.4245","0.4245","0.4245"
"3530","","","","0.3685","0.3685","0.3685","0.432","0.432","0.432"
"3531","","","","0.3795","0.3795","0.3795","0.4375","0.4375","0.4375"
"3532","","","","0.39","0.39","0.39","0.4395","0.4395","0.4395"
"3533","","","","0.385","0.385","0.385","0.4465","0.4465","0.4465"
"3534","","","","0.3975","0.3975","0.3975","0.446","0.446","0.446"
"3535","","","","0.3935","0.3935","0.3935","0.453","0.453","0.453"
"3536","","","","0.402","0.402","0.402","0.4485","0.4485","0.4485"
"3537","","","","0.3985","0.3985","0.3985","0.4435","0.4435","0.4435"
"3538","","","","0.399","0.399","0.399","0.445","0.445","0.445"
"3539","","","","0.407","0.407","0.407","0.443","0.443","0.443"
"3540","","","","0.4135","0.4135","0.4135","0.451","0.451","0.451"
"3541","","","","0.41","0.41","0.41","0.443","0.443","0.443"
"3542","","","","0.4075","0.4075","0.4075","0.4505","0.4505","0.4505"
"3543","","","","0.4145","0.4145","0.4145","0.4455","0.4455","0.4455"
"3544","","","","0.4135","0.4135","0.4135","0.444","0.444","0.444"
"3545","","","","0.4105","0.4105","0.4105","0.4475","0.4475","0.4475"
"3546","","","","0.4135","0.4135","0.4135","0.448","0.448","0.448"
"3547","","","","0.418","0.418","0.418","0.4435","0.4435","0.4435"
"3548","","","","0.4165","0.4165","0.4165","0.4445","0.4445","0.4445"
"3549","","","","0.4205","0.4205","0.4205","0.449","0.449","0.449"
"3550","","","","0.072","0.072","0.072","0.0905","0.0905","0.0905"
"3551","","","","0.2615","0.2615","0.2615","0.3155","0.3155","0.3155"
"3552","","","","0.334","0.334","0.334","0.398","0.398","0.398"
"3553","","","","0.3745","0.3745","0.3745","0.435","0.435","0.435"
"3554","","","","0.391","0.391","0.391","0.443","0.443","0.443"
"3555","","","","0.404","0.404","0.404","0.4495","0.4495","0.4495"
"3556","","","","0.4095","0.4095","0.4095","0.4545","0.4545","0.4545"
"3557","","","","0.4145","0.4145","0.4145","0.453","0.453","0.453"
"3558","","","","0.4215","0.4215","0.4215","0.4615","0.4615","0.4615"
"3559","","","","0.4215","0.4215","0.4215","0.4645","0.4645","0.4645"
"3560","","","","0.428","0.428","0.428","0.4665","0.4665","0.4665"
"3561","","","","0.4295","0.4295","0.4295","0.473","0.473","0.473"
"3562","","","","0.4365","0.4365","0.4365","0.469","0.469","0.469"
"3563","","","","0.4345","0.4345","0.4345","0.468","0.468","0.468"
"3564","","","","0.4365","0.4365","0.4365","0.47","0.47","0.47"
"3565","","","","0.4385","0.4385","0.4385","0.467","0.467","0.467"
"3566","","","","0.442","0.442","0.442","0.469","0.469","0.469"
"3567","","","","0.4375","0.4375","0.4375","0.4725","0.4725","0.4725"
"3568","","","","0.4355","0.4355","0.4355","0.473","0.473","0.473"
"3569","","","","0.4335","0.4335","0.4335","0.472","0.472","0.472"
"3570","","","","0.436","0.436","0.436","0.474","0.474","0.474"
"3571","","","","0.438","0.438","0.438","0.4715","0.4715","0.4715"
"3572","","","","0.4405","0.4405","0.4405","0.4705","0.4705","0.4705"
"3573","","","","0.4435","0.4435","0.4435","0.467","0.467","0.467"
"3574","","","","0.439","0.439","0.439","0.47","0.47","0.47"
"3575","","","","0.146","0.146","0.146","0.138","0.138","0.138"
"3576","","","","0.305","0.305","0.305","0.357","0.357","0.357"
"3577","","","","0.388","0.388","0.388","0.4445","0.4445","0.4445"
"3578","","","","0.4205","0.4205","0.4205","0.4735","0.4735","0.4735"
"3579","","","","0.438","0.438","0.438","0.486","0.486","0.486"
"3580","","","","0.444","0.444","0.444","0.494","0.494","0.494"
"3581","","","","0.4545","0.4545","0.4545","0.498","0.498","0.498"
"3582","","","","0.4645","0.4645","0.4645","0.5005","0.5005","0.5005"
"3583","","","","0.471","0.471","0.471","0.507","0.507","0.507"
"3584","","","","0.471","0.471","0.471","0.5095","0.5095","0.5095"
"3585","","","","0.4725","0.4725","0.4725","0.5085","0.5085","0.5085"
"3586","","","","0.476","0.476","0.476","0.5115","0.5115","0.5115"
"3587","","","","0.474","0.474","0.474","0.507","0.507","0.507"
"3588","","","","0.4735","0.4735","0.4735","0.506","0.506","0.506"
"3589","","","","0.4785","0.4785","0.4785","0.5125","0.5125","0.5125"
"3590","","","","0.4725","0.4725","0.4725","0.508","0.508","0.508"
"3591","","","","0.4735","0.4735","0.4735","0.5175","0.5175","0.5175"
"3592","","","","0.478","0.478","0.478","0.5105","0.5105","0.5105"
"3593","","","","0.4785","0.4785","0.4785","0.5165","0.5165","0.5165"
"3594","","","","0.482","0.482","0.482","0.51","0.51","0.51"
"3595","","","","0.4825","0.4825","0.4825","0.5155","0.5155","0.5155"
"3596","","","","0.486","0.486","0.486","0.5155","0.5155","0.5155"
"3597","","","","0.4875","0.4875","0.4875","0.515","0.515","0.515"
"3598","","","","0.487","0.487","0.487","0.5185","0.5185","0.5185"
"3599","","","","0.4845","0.4845","0.4845","0.5135","0.5135","0.5135"
"3600","","","","0.0725","0.0725","0.0725","0.0755","0.0755","0.0755"
"3601","","","","0.274","0.274","0.274","0.32","0.32","0.32"
"3602","","","","0.3595","0.3595","0.3595","0.4155","0.4155","0.4155"
"3603","","","","0.389","0.389","0.389","0.4485","0.4485","0.4485"
"3604","","","","0.411","0.411","0.411","0.4645","0.4645","0.4645"
"3605","","","","0.4165","0.4165","0.4165","0.4715","0.4715","0.4715"
"3606","","","","0.421","0.421","0.421","0.48","0.48","0.48"
"3607","","","","0.4335","0.4335","0.4335","0.487","0.487","0.487"
"3608","","","","0.439","0.439","0.439","0.482","0.482","0.482"
"3609","","","","0.4305","0.4305","0.4305","0.488","0.488","0.488"
"3610","","","","0.439","0.439","0.439","0.492","0.492","0.492"
"3611","","","","0.44","0.44","0.44","0.4935","0.4935","0.4935"
"3612","","","","0.4385","0.4385","0.4385","0.49","0.49","0.49"
"3613","","","","0.44","0.44","0.44","0.491","0.491","0.491"
"3614","","","","0.4375","0.4375","0.4375","0.487","0.487","0.487"
"3615","","","","0.4405","0.4405","0.4405","0.49","0.49","0.49"
"3616","","","","0.4445","0.4445","0.4445","0.487","0.487","0.487"
"3617","","","","0.4475","0.4475","0.4475","0.4925","0.4925","0.4925"
"3618","","","","0.444","0.444","0.444","0.492","0.492","0.492"
"3619","","","","0.446","0.446","0.446","0.492","0.492","0.492"
"3620","","","","0.4445","0.4445","0.4445","0.4945","0.4945","0.4945"
"3621","","","","0.4515","0.4515","0.4515","0.4945","0.4945","0.4945"
"3622","","","","0.447","0.447","0.447","0.4945","0.4945","0.4945"
"3623","","","","0.4505","0.4505","0.4505","0.4945","0.4945","0.4945"
"3624","","","","0.444","0.444","0.444","0.5","0.5","0.5"
"3625","","","","0.08","0.08","0.08","0.0775","0.0775","0.0775"
"3626","","","","0.3085","0.3085","0.3085","0.351","0.351","0.351"
"3627","","","","0.3965","0.3965","0.3965","0.466","0.466","0.466"
"3628","","","","0.437","0.437","0.437","0.4985","0.4985","0.4985"
"3629","","","","0.4625","0.4625","0.4625","0.509","0.509","0.509"
"3630","","","","0.4785","0.4785","0.4785","0.509","0.509","0.509"
"3631","","","","0.4835","0.4835","0.4835","0.5195","0.5195","0.5195"
"3632","","","","0.498","0.498","0.498","0.527","0.527","0.527"
"3633","","","","0.501","0.501","0.501","0.5235","0.5235","0.5235"
"3634","","","","0.4995","0.4995","0.4995","0.5255","0.5255","0.5255"
"3635","","","","0.5065","0.5065","0.5065","0.526","0.526","0.526"
"3636","","","","0.509","0.509","0.509","0.5265","0.5265","0.5265"
"3637","","","","0.5085","0.5085","0.5085","0.532","0.532","0.532"
"3638","","","","0.5115","0.5115","0.5115","0.5315","0.5315","0.5315"
"3639","","","","0.508","0.508","0.508","0.5295","0.5295","0.5295"
"3640","","","","0.516","0.516","0.516","0.53","0.53","0.53"
"3641","","","","0.512","0.512","0.512","0.53","0.53","0.53"
"3642","","","","0.5135","0.5135","0.5135","0.5315","0.5315","0.5315"
"3643","","","","0.515","0.515","0.515","0.5305","0.5305","0.5305"
"3644","","","","0.5135","0.5135","0.5135","0.533","0.533","0.533"
"3645","","","","0.5175","0.5175","0.5175","0.537","0.537","0.537"
"3646","","","","0.525","0.525","0.525","0.5355","0.5355","0.5355"
"3647","","","","0.5195","0.5195","0.5195","0.5325","0.5325","0.5325"
"3648","","","","0.525","0.525","0.525","0.536","0.536","0.536"
"3649","","","","0.5195","0.5195","0.5195","0.536","0.536","0.536"
"3650","","","","0.127","0.127","0.127","0.152","0.152","0.152"
"3651","","","","0.2635","0.2635","0.2635","0.3395","0.3395","0.3395"
"3652","","","","0.3355","0.3355","0.3355","0.41","0.41","0.41"
"3653","","","","0.3725","0.3725","0.3725","0.428","0.428","0.428"
"3654","","","","0.3815","0.3815","0.3815","0.436","0.436","0.436"
"3655","","","","0.394","0.394","0.394","0.4345","0.4345","0.4345"
"3656","","","","0.4035","0.4035","0.4035","0.4465","0.4465","0.4465"
"3657","","","","0.4085","0.4085","0.4085","0.448","0.448","0.448"
"3658","","","","0.4075","0.4075","0.4075","0.4455","0.4455","0.4455"
"3659","","","","0.4055","0.4055","0.4055","0.444","0.444","0.444"
"3660","","","","0.408","0.408","0.408","0.443","0.443","0.443"
"3661","","","","0.4125","0.4125","0.4125","0.4485","0.4485","0.4485"
"3662","","","","0.4135","0.4135","0.4135","0.4475","0.4475","0.4475"
"3663","","","","0.418","0.418","0.418","0.45","0.45","0.45"
"3664","","","","0.4215","0.4215","0.4215","0.45","0.45","0.45"
"3665","","","","0.4205","0.4205","0.4205","0.4495","0.4495","0.4495"
"3666","","","","0.4205","0.4205","0.4205","0.4485","0.4485","0.4485"
"3667","","","","0.4175","0.4175","0.4175","0.4415","0.4415","0.4415"
"3668","","","","0.4235","0.4235","0.4235","0.4495","0.4495","0.4495"
"3669","","","","0.4195","0.4195","0.4195","0.446","0.446","0.446"
"3670","","","","0.425","0.425","0.425","0.4455","0.4455","0.4455"
"3671","","","","0.4255","0.4255","0.4255","0.4455","0.4455","0.4455"
"3672","","","","0.423","0.423","0.423","0.448","0.448","0.448"
"3673","","","","0.426","0.426","0.426","0.449","0.449","0.449"
"3674","","","","0.4305","0.4305","0.4305","0.4505","0.4505","0.4505"
"3675","","","","0.095","0.095","0.095","0.1035","0.1035","0.1035"
"3676","","","","0.297","0.297","0.297","0.3645","0.3645","0.3645"
"3677","","","","0.3685","0.3685","0.3685","0.4655","0.4655","0.4655"
"3678","","","","0.3905","0.3905","0.3905","0.4875","0.4875","0.4875"
"3679","","","","0.402","0.402","0.402","0.4965","0.4965","0.4965"
"3680","","","","0.411","0.411","0.411","0.5075","0.5075","0.5075"
"3681","","","","0.418","0.418","0.418","0.509","0.509","0.509"
"3682","","","","0.419","0.419","0.419","0.5105","0.5105","0.5105"
"3683","","","","0.4205","0.4205","0.4205","0.5105","0.5105","0.5105"
"3684","","","","0.424","0.424","0.424","0.5105","0.5105","0.5105"
"3685","","","","0.426","0.426","0.426","0.5115","0.5115","0.5115"
"3686","","","","0.4285","0.4285","0.4285","0.509","0.509","0.509"
"3687","","","","0.4315","0.4315","0.4315","0.51","0.51","0.51"
"3688","","","","0.4335","0.4335","0.4335","0.509","0.509","0.509"
"3689","","","","0.4325","0.4325","0.4325","0.5115","0.5115","0.5115"
"3690","","","","0.4335","0.4335","0.4335","0.5085","0.5085","0.5085"
"3691","","","","0.431","0.431","0.431","0.513","0.513","0.513"
"3692","","","","0.4355","0.4355","0.4355","0.505","0.505","0.505"
"3693","","","","0.4335","0.4335","0.4335","0.508","0.508","0.508"
"3694","","","","0.438","0.438","0.438","0.505","0.505","0.505"
"3695","","","","0.439","0.439","0.439","0.5075","0.5075","0.5075"
"3696","","","","0.439","0.439","0.439","0.503","0.503","0.503"
"3697","","","","0.439","0.439","0.439","0.501","0.501","0.501"
"3698","","","","0.4355","0.4355","0.4355","0.5025","0.5025","0.5025"
"3699","","","","0.4395","0.4395","0.4395","0.504","0.504","0.504"
"3700","","","","0.0575","0.0575","0.0575","0.046","0.046","0.046"
"3701","","","","0.291","0.291","0.291","0.3535","0.3535","0.3535"
"3702","","","","0.396","0.396","0.396","0.4765","0.4765","0.4765"
"3703","","","","0.4355","0.4355","0.4355","0.519","0.519","0.519"
"3704","","","","0.463","0.463","0.463","0.5255","0.5255","0.5255"
"3705","","","","0.483","0.483","0.483","0.527","0.527","0.527"
"3706","","","","0.4975","0.4975","0.4975","0.5275","0.5275","0.5275"
"3707","","","","0.504","0.504","0.504","0.531","0.531","0.531"
"3708","","","","0.5065","0.5065","0.5065","0.528","0.528","0.528"
"3709","","","","0.5125","0.5125","0.5125","0.5335","0.5335","0.5335"
"3710","","","","0.5095","0.5095","0.5095","0.538","0.538","0.538"
"3711","","","","0.513","0.513","0.513","0.5395","0.5395","0.5395"
"3712","","","","0.5185","0.5185","0.5185","0.543","0.543","0.543"
"3713","","","","0.514","0.514","0.514","0.544","0.544","0.544"
"3714","","","","0.512","0.512","0.512","0.547","0.547","0.547"
"3715","","","","0.5215","0.5215","0.5215","0.549","0.549","0.549"
