"Step","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"275","0.0175","0.0175","0.0175","0.0295","0.0295","0.0295","0.033","0.033","0.033"
"276","0.045","0.045","0.045","0.0945","0.0945","0.0945","0.094","0.094","0.094"
"277","0.0565","0.0565","0.0565","0.2005","0.2005","0.2005","0.217","0.217","0.217"
"278","0.0775","0.0775","0.0775","0.264","0.264","0.264","0.2655","0.2655","0.2655"
"279","0.1155","0.1155","0.1155","0.269","0.269","0.269","0.27","0.27","0.27"
"280","0.1725","0.1725","0.1725","0.278","0.278","0.278","0.2835","0.2835","0.2835"
"281","0.1995","0.1995","0.1995","0.284","0.284","0.284","0.291","0.291","0.291"
"282","0.224","0.224","0.224","0.2905","0.2905","0.2905","0.296","0.296","0.296"
"283","0.2345","0.2345","0.2345","0.296","0.296","0.296","0.2975","0.2975","0.2975"
"284","0.241","0.241","0.241","0.29","0.29","0.29","0.3075","0.3075","0.3075"
"285","0.2455","0.2455","0.2455","0.303","0.303","0.303","0.312","0.312","0.312"
"286","0.2475","0.2475","0.2475","0.301","0.301","0.301","0.3115","0.3115","0.3115"
"287","0.249","0.249","0.249","0.3045","0.3045","0.3045","0.3165","0.3165","0.3165"
