"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"14096","0.872","0.872","0.872"
"14099","0.818","0.818","0.818"
"14100","0.924","0.924","0.924"
"14102","0.929","0.929","0.929"
"14108","0.987","0.987","0.987"
"14113","0.989","0.989","0.989"
"14115","0.99","0.99","0.99"
"14118","0.878","0.878","0.878"
"14120","0.969","0.969","0.969"
"14123","0.986","0.986","0.986"
"14126","0.986","0.986","0.986"
"14127","0.988","0.988","0.988"
"14130","0.989","0.989","0.989"
"14132","0.99","0.99","0.99"
"14136","0.991","0.991","0.991"
"14137","0.991","0.991","0.991"
"14141","0.99","0.99","0.99"
"14142","0.99","0.99","0.99"
"14146","0.992","0.992","0.992"
"14147","0.991","0.991","0.991"
"14148","0.992","0.992","0.992"
"14149","0.99","0.99","0.99"
"14150","0.992","0.992","0.992"
"14151","0.992","0.992","0.992"
"14157","0.991","0.991","0.991"
"14160","0.992","0.992","0.992"
"14161","0.99","0.99","0.99"
"14164","0.991","0.991","0.991"
"14165","0.992","0.992","0.992"
"14166","0.991","0.991","0.991"
"14170","0.989","0.989","0.989"
"14171","0.991","0.991","0.991"
"14172","0.99","0.99","0.99"
"14173","0.992","0.992","0.992"
"14174","0.991","0.991","0.991"
"14176","0.989","0.989","0.989"
"14184","0.987","0.987","0.987"
"14188","0.987","0.987","0.987"
"14191","0.991","0.991","0.991"
"14193","0.989","0.989","0.989"
"14199","0.99","0.99","0.99"
"14206","0.992","0.992","0.992"
"14208","0.992","0.992","0.992"
"14210","0.991","0.991","0.991"
"14211","0.949","0.949","0.949"
"14213","0.985","0.985","0.985"
"14224","0.992","0.992","0.992"
"14228","0.992","0.992","0.992"
"14229","0.991","0.991","0.991"
"14230","0.99","0.99","0.99"
"14231","0.991","0.991","0.991"
"14233","0.991","0.991","0.991"
"14234","0.991","0.991","0.991"
"14238","0.991","0.991","0.991"
"14239","0.991","0.991","0.991"
"14240","0.991","0.991","0.991"
"14243","0.992","0.992","0.992"
"14247","0.991","0.991","0.991"
"14251","0.8","0.8","0.8"
"14256","0.989","0.989","0.989"
"14257","0.991","0.991","0.991"
"14258","0.991","0.991","0.991"
"14265","0.993","0.993","0.993"
"14273","0.991","0.991","0.991"
"14275","0.991","0.991","0.991"
"14278","0.989","0.989","0.989"
"14283","0.899","0.899","0.899"
"14284","0.982","0.982","0.982"
"14285","0.988","0.988","0.988"
"14288","0.991","0.991","0.991"
"14291","0.991","0.991","0.991"
"14293","0.992","0.992","0.992"
"14294","0.991","0.991","0.991"
"14295","0.992","0.992","0.992"
"14296","0.992","0.992","0.992"
"14301","0.992","0.992","0.992"
"14303","0.992","0.992","0.992"
"14306","0.991","0.991","0.991"
"14308","0.993","0.993","0.993"
"14309","0.992","0.992","0.992"
"14311","0.992","0.992","0.992"
"14314","0.992","0.992","0.992"
"14315","0.992","0.992","0.992"
"14317","0.992","0.992","0.992"
"14318","0.992","0.992","0.992"
"14321","0.993","0.993","0.993"
"14327","0.992","0.992","0.992"
"14328","0.993","0.993","0.993"
"14330","0.993","0.993","0.993"
"14335","0.992","0.992","0.992"
"14336","0.992","0.992","0.992"
"14338","0.992","0.992","0.992"
"14341","0.993","0.993","0.993"
"14343","0.992","0.992","0.992"
"14344","0.992","0.992","0.992"
"14346","0.993","0.993","0.993"
"14348","0.993","0.993","0.993"
"14352","0.993","0.993","0.993"
"14354","0.992","0.992","0.992"
"14359","0.991","0.991","0.991"
"14367","0.993","0.993","0.993"
"14368","0.993","0.993","0.993"
"14373","0.977","0.977","0.977"
"14376","0.99","0.99","0.99"
"14381","0.99","0.99","0.99"
"14382","0.991","0.991","0.991"
"14384","0.991","0.991","0.991"
"14385","0.99","0.99","0.99"
"14389","0.993","0.993","0.993"
"14392","0.991","0.991","0.991"
"14394","0.992","0.992","0.992"
"14402","0.991","0.991","0.991"
"14404","0.992","0.992","0.992"
"14405","0.992","0.992","0.992"
"14407","0.993","0.993","0.993"
"14408","0.991","0.991","0.991"
"14414","0.991","0.991","0.991"
"14415","0.992","0.992","0.992"
"14416","0.992","0.992","0.992"
"14417","0.993","0.993","0.993"
"14421","0.992","0.992","0.992"
"14426","0.993","0.993","0.993"
"14427","0.992","0.992","0.992"
"14428","0.992","0.992","0.992"
"14431","0.992","0.992","0.992"
"14432","0.992","0.992","0.992"
"14433","0.992","0.992","0.992"
"14434","0.992","0.992","0.992"
"14435","0.992","0.992","0.992"
"14437","0.992","0.992","0.992"
"14443","0.991","0.991","0.991"
"14453","0.991","0.991","0.991"
"14454","0.992","0.992","0.992"
"14456","0.993","0.993","0.993"
"14463","0.993","0.993","0.993"
"14467","0.993","0.993","0.993"
"14469","0.992","0.992","0.992"
"14475","0.992","0.992","0.992"
"14479","0.992","0.992","0.992"
"14483","0.992","0.992","0.992"
"14490","0.992","0.992","0.992"
"14495","0.993","0.993","0.993"
"14497","0.992","0.992","0.992"
"14502","0.993","0.993","0.993"
"14506","0.992","0.992","0.992"
"14509","0.993","0.993","0.993"
"14510","0.993","0.993","0.993"
"14518","0.986","0.986","0.986"
"14522","0.992","0.992","0.992"
"14524","0.992","0.992","0.992"
"14527","0.992","0.992","0.992"
"14531","0.992","0.992","0.992"
"14532","0.991","0.991","0.991"
"14538","0.994","0.994","0.994"
"14540","0.991","0.991","0.991"
"14546","0.992","0.992","0.992"
"14547","0.993","0.993","0.993"
"14549","0.992","0.992","0.992"
"14551","0.993","0.993","0.993"
"14552","0.993","0.993","0.993"
"14556","0.991","0.991","0.991"
"14560","0.992","0.992","0.992"
"14564","0.992","0.992","0.992"
"14565","0.993","0.993","0.993"
"14570","0.993","0.993","0.993"
"14572","0.975","0.975","0.975"
"14576","0.877","0.877","0.877"
"14577","0.866","0.866","0.866"
"14579","0.986","0.986","0.986"
"14581","0.989","0.989","0.989"
"14582","0.988","0.988","0.988"
"14585","0.988","0.988","0.988"
"14591","0.993","0.993","0.993"
"14595","0.993","0.993","0.993"
"14598","0.991","0.991","0.991"
"14599","0.992","0.992","0.992"
"14603","0.992","0.992","0.992"
"14609","0.994","0.994","0.994"
"14617","0.992","0.992","0.992"
"14627","0.992","0.992","0.992"
"14632","0.992","0.992","0.992"
"14633","0.993","0.993","0.993"
"14636","0.992","0.992","0.992"
"14638","0.992","0.992","0.992"
"14640","0.992","0.992","0.992"
"14641","0.994","0.994","0.994"
"14645","0.992","0.992","0.992"
"14646","0.991","0.991","0.991"
"14650","0.994","0.994","0.994"
"14654","0.992","0.992","0.992"
"14671","0.991","0.991","0.991"
"14672","0.992","0.992","0.992"
"14678","0.993","0.993","0.993"
"14679","0.992","0.992","0.992"
"14681","0.991","0.991","0.991"
"14684","0.992","0.992","0.992"
"14687","0.992","0.992","0.992"
"14689","0.991","0.991","0.991"
"14691","0.991","0.991","0.991"
"14692","0.992","0.992","0.992"
"14703","0.991","0.991","0.991"
"14705","0.992","0.992","0.992"
"14706","0.992","0.992","0.992"
"14708","0.993","0.993","0.993"
"14711","0.993","0.993","0.993"
"14712","0.992","0.992","0.992"
"14715","0.992","0.992","0.992"
"14719","0.991","0.991","0.991"
"14722","0.993","0.993","0.993"
"14723","0.993","0.993","0.993"
"14724","0.992","0.992","0.992"
"14728","0.993","0.993","0.993"
"14731","0.994","0.994","0.994"
"14732","0.993","0.993","0.993"
"14734","0.992","0.992","0.992"
"14737","0.992","0.992","0.992"
"14738","0.992","0.992","0.992"
"14739","0.993","0.993","0.993"
"14741","0.993","0.993","0.993"
"14744","0.993","0.993","0.993"
"14749","0.993","0.993","0.993"
"14750","0.993","0.993","0.993"
"14752","0.991","0.991","0.991"
"14753","0.993","0.993","0.993"
"14756","0.993","0.993","0.993"
"14759","0.993","0.993","0.993"
"14763","0.993","0.993","0.993"
"14765","0.992","0.992","0.992"
"14766","0.993","0.993","0.993"
"14770","0.992","0.992","0.992"
"14773","0.993","0.993","0.993"
"14774","0.993","0.993","0.993"
"14775","0.993","0.993","0.993"
"14782","0.993","0.993","0.993"
"14786","0.993","0.993","0.993"
"14790","0.992","0.992","0.992"
"14791","0.992","0.992","0.992"
"14793","0.992","0.992","0.992"
"14794","0.993","0.993","0.993"
"14795","0.992","0.992","0.992"
"14796","0.992","0.992","0.992"
"14799","0.992","0.992","0.992"
"14800","0.993","0.993","0.993"
"14806","0.993","0.993","0.993"
"14807","0.993","0.993","0.993"
"14808","0.991","0.991","0.991"
"14812","0.992","0.992","0.992"
"14817","0.992","0.992","0.992"
"14818","0.991","0.991","0.991"
"14819","0.992","0.992","0.992"
"14820","0.992","0.992","0.992"
"14822","0.992","0.992","0.992"
"14825","0.992","0.992","0.992"
"14827","0.992","0.992","0.992"
"14830","0.992","0.992","0.992"
"14834","0.992","0.992","0.992"
"14838","0.991","0.991","0.991"
"14841","0.992","0.992","0.992"
"14843","0.992","0.992","0.992"
"14845","0.991","0.991","0.991"
"14846","0.991","0.991","0.991"
"14847","0.992","0.992","0.992"
"14850","0.992","0.992","0.992"
"14852","0.992","0.992","0.992"
"14854","0.991","0.991","0.991"
"14856","0.993","0.993","0.993"
"14859","0.991","0.991","0.991"
"14861","0.992","0.992","0.992"
"14862","0.992","0.992","0.992"
"14864","0.992","0.992","0.992"
"14866","0.992","0.992","0.992"
"14867","0.992","0.992","0.992"
"14868","0.992","0.992","0.992"
"14872","0.993","0.993","0.993"
"14878","0.993","0.993","0.993"
"14881","0.992","0.992","0.992"
"14886","0.992","0.992","0.992"
"14887","0.992","0.992","0.992"
"14890","0.993","0.993","0.993"
"14895","0.992","0.992","0.992"
"14901","0.993","0.993","0.993"
"14903","0.992","0.992","0.992"
"14905","0.992","0.992","0.992"
"14906","0.993","0.993","0.993"
"14907","0.993","0.993","0.993"
"14908","0.992","0.992","0.992"
"14909","0.992","0.992","0.992"
"14910","0.992","0.992","0.992"
"14916","0.991","0.991","0.991"
"14920","0.994","0.994","0.994"
"14928","0.993","0.993","0.993"
"14931","0.993","0.993","0.993"
"14932","0.993","0.993","0.993"
"14937","0.992","0.992","0.992"
"14941","0.992","0.992","0.992"
"14942","0.992","0.992","0.992"
"14943","0.992","0.992","0.992"
"14946","0.993","0.993","0.993"
"14954","0.993","0.993","0.993"
"14959","0.992","0.992","0.992"
"14964","0.992","0.992","0.992"
"14965","0.992","0.992","0.992"
"14966","0.993","0.993","0.993"
"14970","0.992","0.992","0.992"
"14971","0.993","0.993","0.993"
"14974","0.992","0.992","0.992"
"14976","0.993","0.993","0.993"
"14978","0.992","0.992","0.992"
"14979","0.992","0.992","0.992"
"14980","0.991","0.991","0.991"
"14987","0.99","0.99","0.99"
"14989","0.991","0.991","0.991"
"14990","0.993","0.993","0.993"
"14993","0.991","0.991","0.991"
"15002","0.487","0.487","0.487"
"15005","0.496","0.496","0.496"
"15007","0.494","0.494","0.494"
"15009","0.499","0.499","0.499"
"15011","0.524","0.524","0.524"
"15012","0.548","0.548","0.548"
"15014","0.567","0.567","0.567"
"15017","0.678","0.678","0.678"
"15021","0.793","0.793","0.793"
"15023","0.791","0.791","0.791"
"15024","0.782","0.782","0.782"
"15028","0.927","0.927","0.927"
"15029","0.837","0.837","0.837"
"15034","0.721","0.721","0.721"
"15036","0.892","0.892","0.892"
"15042","0.972","0.972","0.972"
"15048","0.973","0.973","0.973"
"15050","0.978","0.978","0.978"
"15053","0.979","0.979","0.979"
"15056","0.981","0.981","0.981"
"15058","0.979","0.979","0.979"
"15059","0.977","0.977","0.977"
"15060","0.977","0.977","0.977"
"15064","0.982","0.982","0.982"
"15074","0.982","0.982","0.982"
"15077","0.981","0.981","0.981"
"15084","0.981","0.981","0.981"
"15085","0.982","0.982","0.982"
"15086","0.983","0.983","0.983"
"15088","0.985","0.985","0.985"
"15091","0.984","0.984","0.984"
"15095","0.977","0.977","0.977"
"15096","0.984","0.984","0.984"
"15098","0.982","0.982","0.982"
"15099","0.976","0.976","0.976"
"15100","0.943","0.943","0.943"
"15101","0.855","0.855","0.855"
"15102","0.71","0.71","0.71"
"15103","0.741","0.741","0.741"
"15104","0.887","0.887","0.887"
"15105","0.896","0.896","0.896"
"15109","0.978","0.978","0.978"
"15112","0.977","0.977","0.977"
"15115","0.98","0.98","0.98"
"15117","0.98","0.98","0.98"
"15118","0.976","0.976","0.976"
"15120","0.98","0.98","0.98"
"15124","0.979","0.979","0.979"
"15126","0.981","0.981","0.981"
"15127","0.985","0.985","0.985"
"15130","0.983","0.983","0.983"
"15131","0.983","0.983","0.983"
"15134","0.984","0.984","0.984"
"15140","0.983","0.983","0.983"
"15141","0.981","0.981","0.981"
"15144","0.98","0.98","0.98"
"15148","0.98","0.98","0.98"
"15149","0.982","0.982","0.982"
"15152","0.98","0.98","0.98"
"15156","0.976","0.976","0.976"
"15165","0.984","0.984","0.984"
"15169","0.982","0.982","0.982"
"15172","0.983","0.983","0.983"
"15174","0.986","0.986","0.986"
"15175","0.985","0.985","0.985"
"15176","0.984","0.984","0.984"
"15178","0.986","0.986","0.986"
"15181","0.986","0.986","0.986"
"15184","0.982","0.982","0.982"
"15187","0.985","0.985","0.985"
"15188","0.986","0.986","0.986"
"15191","0.984","0.984","0.984"
"15192","0.986","0.986","0.986"
"15194","0.981","0.981","0.981"
"15197","0.987","0.987","0.987"
"15199","0.981","0.981","0.981"
"15204","0.984","0.984","0.984"
"15205","0.986","0.986","0.986"
"15208","0.982","0.982","0.982"
"15210","0.98","0.98","0.98"
"15211","0.984","0.984","0.984"
"15213","0.986","0.986","0.986"
"15215","0.987","0.987","0.987"
"15216","0.984","0.984","0.984"
"15219","0.983","0.983","0.983"
"15223","0.984","0.984","0.984"
"15227","0.985","0.985","0.985"
"15229","0.986","0.986","0.986"
"15231","0.985","0.985","0.985"
"15232","0.983","0.983","0.983"
"15235","0.982","0.982","0.982"
"15240","0.986","0.986","0.986"
"15241","0.984","0.984","0.984"
"15242","0.982","0.982","0.982"
"15248","0.984","0.984","0.984"
"15250","0.983","0.983","0.983"
"15251","0.982","0.982","0.982"
"15254","0.986","0.986","0.986"
"15256","0.987","0.987","0.987"
"15257","0.987","0.987","0.987"
"15258","0.984","0.984","0.984"
"15260","0.986","0.986","0.986"
"15261","0.987","0.987","0.987"
"15268","0.985","0.985","0.985"
"15272","0.983","0.983","0.983"
"15275","0.985","0.985","0.985"
"15282","0.987","0.987","0.987"
"15283","0.982","0.982","0.982"
"15284","0.985","0.985","0.985"
"15292","0.984","0.984","0.984"
"15299","0.984","0.984","0.984"
"15300","0.984","0.984","0.984"
"15302","0.986","0.986","0.986"
"15307","0.983","0.983","0.983"
"15308","0.986","0.986","0.986"
"15311","0.987","0.987","0.987"
"15316","0.985","0.985","0.985"
"15320","0.935","0.935","0.935"
"15326","0.985","0.985","0.985"
"15329","0.984","0.984","0.984"
"15333","0.985","0.985","0.985"
"15335","0.985","0.985","0.985"
"15336","0.983","0.983","0.983"
"15340","0.985","0.985","0.985"
"15344","0.986","0.986","0.986"
"15345","0.984","0.984","0.984"
"15350","0.985","0.985","0.985"
"15352","0.984","0.984","0.984"
"15354","0.984","0.984","0.984"
"15355","0.984","0.984","0.984"
"15356","0.984","0.984","0.984"
"15357","0.983","0.983","0.983"
"15358","0.986","0.986","0.986"
"15359","0.985","0.985","0.985"
"15360","0.983","0.983","0.983"
"15361","0.985","0.985","0.985"
"15371","0.987","0.987","0.987"
"15372","0.983","0.983","0.983"
"15375","0.985","0.985","0.985"
"15381","0.984","0.984","0.984"
"15387","0.985","0.985","0.985"
"15388","0.984","0.984","0.984"
"15389","0.985","0.985","0.985"
"15395","0.984","0.984","0.984"
"15396","0.987","0.987","0.987"
"15397","0.986","0.986","0.986"
"15399","0.985","0.985","0.985"
"15403","0.985","0.985","0.985"
"15405","0.985","0.985","0.985"
"15407","0.984","0.984","0.984"
"15408","0.984","0.984","0.984"
"15409","0.985","0.985","0.985"
"15413","0.984","0.984","0.984"
"15414","0.984","0.984","0.984"
"15416","0.984","0.984","0.984"
"15418","0.985","0.985","0.985"
"15420","0.984","0.984","0.984"
"15421","0.985","0.985","0.985"
"15425","0.985","0.985","0.985"
"15426","0.987","0.987","0.987"
"15427","0.985","0.985","0.985"
"15431","0.983","0.983","0.983"
"15434","0.986","0.986","0.986"
"15435","0.986","0.986","0.986"
"15437","0.987","0.987","0.987"
"15441","0.984","0.984","0.984"
"15445","0.986","0.986","0.986"
"15451","0.987","0.987","0.987"
"15452","0.987","0.987","0.987"
"15455","0.986","0.986","0.986"
"15457","0.985","0.985","0.985"
"15466","0.986","0.986","0.986"
"15471","0.985","0.985","0.985"
"15472","0.985","0.985","0.985"
"15478","0.984","0.984","0.984"
"15479","0.986","0.986","0.986"
"15480","0.984","0.984","0.984"
"15483","0.986","0.986","0.986"
"15484","0.987","0.987","0.987"
"15485","0.988","0.988","0.988"
"15494","0.987","0.987","0.987"
"15496","0.985","0.985","0.985"
"15499","0.985","0.985","0.985"
"15500","0.984","0.984","0.984"
"15504","0.985","0.985","0.985"
"15505","0.984","0.984","0.984"
"15506","0.989","0.989","0.989"
"15508","0.985","0.985","0.985"
"15513","0.986","0.986","0.986"
"15514","0.987","0.987","0.987"
"15516","0.987","0.987","0.987"
"15518","0.987","0.987","0.987"
"15524","0.987","0.987","0.987"
"15530","0.988","0.988","0.988"
"15532","0.988","0.988","0.988"
"15533","0.988","0.988","0.988"
"15534","0.987","0.987","0.987"
"15535","0.987","0.987","0.987"
"15536","0.985","0.985","0.985"
"15538","0.988","0.988","0.988"
"15539","0.987","0.987","0.987"
"15553","0.986","0.986","0.986"
"15556","0.987","0.987","0.987"
"15561","0.987","0.987","0.987"
"15565","0.986","0.986","0.986"
"15566","0.989","0.989","0.989"
"15567","0.984","0.984","0.984"
"15569","0.984","0.984","0.984"
"15570","0.986","0.986","0.986"
"15571","0.987","0.987","0.987"
"15574","0.985","0.985","0.985"
"15577","0.986","0.986","0.986"
"15579","0.986","0.986","0.986"
"15584","0.985","0.985","0.985"
"15585","0.986","0.986","0.986"
"15588","0.985","0.985","0.985"
"15593","0.985","0.985","0.985"
"15594","0.986","0.986","0.986"
"15595","0.986","0.986","0.986"
"15598","0.986","0.986","0.986"
"15599","0.987","0.987","0.987"
"15600","0.984","0.984","0.984"
"15601","0.988","0.988","0.988"
"15605","0.987","0.987","0.987"
"15606","0.987","0.987","0.987"
"15618","0.987","0.987","0.987"
"15621","0.985","0.985","0.985"
"15622","0.986","0.986","0.986"
"15624","0.986","0.986","0.986"
"15626","0.986","0.986","0.986"
"15627","0.985","0.985","0.985"
"15628","0.987","0.987","0.987"
"15632","0.988","0.988","0.988"
"15636","0.987","0.987","0.987"
"15637","0.987","0.987","0.987"
"15640","0.986","0.986","0.986"
"15645","0.987","0.987","0.987"
"15646","0.986","0.986","0.986"
"15648","0.985","0.985","0.985"
"15650","0.987","0.987","0.987"
"15651","0.985","0.985","0.985"
"15655","0.985","0.985","0.985"
"15657","0.988","0.988","0.988"
"15662","0.987","0.987","0.987"
"15663","0.987","0.987","0.987"
"15665","0.987","0.987","0.987"
"15666","0.987","0.987","0.987"
"15670","0.987","0.987","0.987"
"15671","0.984","0.984","0.984"
"15672","0.987","0.987","0.987"
"15674","0.986","0.986","0.986"
"15676","0.987","0.987","0.987"
"15678","0.987","0.987","0.987"
"15679","0.986","0.986","0.986"
"15683","0.986","0.986","0.986"
"15688","0.986","0.986","0.986"
"15690","0.988","0.988","0.988"
"15693","0.987","0.987","0.987"
"15694","0.985","0.985","0.985"
"15695","0.986","0.986","0.986"
"15704","0.987","0.987","0.987"
"15707","0.986","0.986","0.986"
"15708","0.987","0.987","0.987"
"15712","0.984","0.984","0.984"
"15716","0.988","0.988","0.988"
"15719","0.986","0.986","0.986"
"15724","0.988","0.988","0.988"
"15732","0.987","0.987","0.987"
"15733","0.986","0.986","0.986"
"15736","0.987","0.987","0.987"
"15738","0.985","0.985","0.985"
"15751","0.988","0.988","0.988"
"15753","0.986","0.986","0.986"
"15754","0.986","0.986","0.986"
"15756","0.988","0.988","0.988"
"15757","0.987","0.987","0.987"
"15758","0.986","0.986","0.986"
"15760","0.987","0.987","0.987"
"15761","0.987","0.987","0.987"
"15762","0.986","0.986","0.986"
"15764","0.986","0.986","0.986"
"15765","0.987","0.987","0.987"
"15767","0.989","0.989","0.989"
"15773","0.987","0.987","0.987"
"15774","0.986","0.986","0.986"
"15775","0.986","0.986","0.986"
"15777","0.985","0.985","0.985"
"15779","0.985","0.985","0.985"
"15789","0.984","0.984","0.984"
"15790","0.988","0.988","0.988"
"15794","0.987","0.987","0.987"
"15797","0.988","0.988","0.988"
"15803","0.985","0.985","0.985"
"15806","0.987","0.987","0.987"
"15807","0.986","0.986","0.986"
"15813","0.987","0.987","0.987"
"15814","0.988","0.988","0.988"
"15820","0.986","0.986","0.986"
"15821","0.987","0.987","0.987"
"15824","0.844","0.844","0.844"
"15826","0.883","0.883","0.883"
"15827","0.936","0.936","0.936"
"15836","0.978","0.978","0.978"
"15840","0.983","0.983","0.983"
"15841","0.979","0.979","0.979"
"15842","0.979","0.979","0.979"
"15845","0.981","0.981","0.981"
"15853","0.983","0.983","0.983"
"15855","0.984","0.984","0.984"
"15856","0.984","0.984","0.984"
"15857","0.984","0.984","0.984"
"15858","0.983","0.983","0.983"
"15869","0.984","0.984","0.984"
"15870","0.983","0.983","0.983"
"15871","0.984","0.984","0.984"
"15873","0.985","0.985","0.985"
"15878","0.984","0.984","0.984"
"15879","0.984","0.984","0.984"
"15880","0.985","0.985","0.985"
"15881","0.984","0.984","0.984"
"15883","0.983","0.983","0.983"
"15887","0.983","0.983","0.983"
"15888","0.983","0.983","0.983"
"15889","0.983","0.983","0.983"
"15890","0.981","0.981","0.981"
"15892","0.862","0.862","0.862"
"15894","0.917","0.917","0.917"
"15896","0.944","0.944","0.944"
"15905","0.976","0.976","0.976"
"15906","0.976","0.976","0.976"
"15909","0.978","0.978","0.978"
"15914","0.975","0.975","0.975"
"15915","0.974","0.974","0.974"
"15916","0.976","0.976","0.976"
"15920","0.977","0.977","0.977"
"15922","0.976","0.976","0.976"
"15923","0.975","0.975","0.975"
"15925","0.974","0.974","0.974"
"15926","0.976","0.976","0.976"
"15928","0.976","0.976","0.976"
"15931","0.976","0.976","0.976"
"15934","0.976","0.976","0.976"
"15935","0.976","0.976","0.976"
"15938","0.98","0.98","0.98"
"15940","0.977","0.977","0.977"
"15942","0.973","0.973","0.973"
"15944","0.978","0.978","0.978"
"15948","0.98","0.98","0.98"
"15953","0.975","0.975","0.975"
"15954","0.98","0.98","0.98"
"15955","0.977","0.977","0.977"
"15956","0.976","0.976","0.976"
"15960","0.976","0.976","0.976"
"15962","0.978","0.978","0.978"
"15964","0.978","0.978","0.978"
"15967","0.976","0.976","0.976"
"15970","0.976","0.976","0.976"
"15973","0.977","0.977","0.977"
"15993","0.98","0.98","0.98"
"15997","0.98","0.98","0.98"
"15999","0.981","0.981","0.981"
"16000","0.077","0.077","0.077"
"16003","0.514","0.514","0.514"
"16004","0.498","0.498","0.498"
"16005","0.49","0.49","0.49"
"16006","0.484","0.484","0.484"
"16007","0.51","0.51","0.51"
"16010","0.524","0.524","0.524"
"16011","0.518","0.518","0.518"
"16013","0.532","0.532","0.532"
"16014","0.572","0.572","0.572"
"16017","0.58","0.58","0.58"
"16022","0.74","0.74","0.74"
"16034","0.731","0.731","0.731"
"16043","0.942","0.942","0.942"
"16044","0.929","0.929","0.929"
"16048","0.966","0.966","0.966"
"16057","0.975","0.975","0.975"
"16061","0.973","0.973","0.973"
"16062","0.975","0.975","0.975"
"16067","0.981","0.981","0.981"
"16068","0.98","0.98","0.98"
"16071","0.982","0.982","0.982"
"16072","0.981","0.981","0.981"
"16078","0.986","0.986","0.986"
"16079","0.98","0.98","0.98"
"16082","0.984","0.984","0.984"
"16083","0.984","0.984","0.984"
"16084","0.988","0.988","0.988"
"16086","0.982","0.982","0.982"
"16087","0.981","0.981","0.981"
"16088","0.983","0.983","0.983"
"16089","0.98","0.98","0.98"
"16092","0.987","0.987","0.987"
"16095","0.986","0.986","0.986"
"16097","0.986","0.986","0.986"
"16099","0.986","0.986","0.986"
"16100","0.989","0.989","0.989"
"16101","0.986","0.986","0.986"
"16104","0.989","0.989","0.989"
"16105","0.985","0.985","0.985"
"16107","0.986","0.986","0.986"
"16109","0.986","0.986","0.986"
"16111","0.989","0.989","0.989"
"16113","0.989","0.989","0.989"
"16122","0.987","0.987","0.987"
"16123","0.986","0.986","0.986"
"16125","0.989","0.989","0.989"
"16130","0.99","0.99","0.99"
"16133","0.988","0.988","0.988"
"16134","0.989","0.989","0.989"
"16136","0.99","0.99","0.99"
"16139","0.97","0.97","0.97"
"16140","0.981","0.981","0.981"
"16145","0.987","0.987","0.987"
"16149","0.986","0.986","0.986"
"16152","0.989","0.989","0.989"
"16153","0.986","0.986","0.986"
"16155","0.919","0.919","0.919"
"16161","0.987","0.987","0.987"
"16162","0.986","0.986","0.986"
"16166","0.989","0.989","0.989"
"16170","0.989","0.989","0.989"
"16171","0.986","0.986","0.986"
"16173","0.99","0.99","0.99"
"16174","0.99","0.99","0.99"
"16175","0.99","0.99","0.99"
"16181","0.988","0.988","0.988"
"16186","0.99","0.99","0.99"
"16188","0.987","0.987","0.987"
"16190","0.99","0.99","0.99"
"16192","0.99","0.99","0.99"
"16196","0.991","0.991","0.991"
"16198","0.99","0.99","0.99"
"16202","0.991","0.991","0.991"
"16206","0.972","0.972","0.972"
"16209","0.937","0.937","0.937"
"16212","0.988","0.988","0.988"
"16217","0.988","0.988","0.988"
"16219","0.99","0.99","0.99"
"16224","0.988","0.988","0.988"
"16225","0.989","0.989","0.989"
"16226","0.99","0.99","0.99"
"16231","0.99","0.99","0.99"
"16238","0.991","0.991","0.991"
"16241","0.99","0.99","0.99"
"16243","0.991","0.991","0.991"
"16247","0.99","0.99","0.99"
"16248","0.991","0.991","0.991"
"16249","0.991","0.991","0.991"
"16253","0.991","0.991","0.991"
"16256","0.991","0.991","0.991"
"16257","0.991","0.991","0.991"
"16265","0.991","0.991","0.991"
"16269","0.991","0.991","0.991"
"16272","0.991","0.991","0.991"
"16274","0.99","0.99","0.99"
"16276","0.991","0.991","0.991"
"16280","0.75","0.75","0.75"
"16283","0.835","0.835","0.835"
"16285","0.891","0.891","0.891"
"16287","0.955","0.955","0.955"
"16288","0.95","0.95","0.95"
"16290","0.979","0.979","0.979"
"16294","0.984","0.984","0.984"
"16298","0.983","0.983","0.983"
"16300","0.985","0.985","0.985"
"16301","0.984","0.984","0.984"
"16304","0.987","0.987","0.987"
"16309","0.987","0.987","0.987"
"16312","0.985","0.985","0.985"
"16314","0.985","0.985","0.985"
"16315","0.985","0.985","0.985"
"16316","0.986","0.986","0.986"
"16317","0.986","0.986","0.986"
"16319","0.988","0.988","0.988"
"16320","0.986","0.986","0.986"
"16321","0.988","0.988","0.988"
"16322","0.986","0.986","0.986"
"16327","0.989","0.989","0.989"
"16329","0.99","0.99","0.99"
"16330","0.987","0.987","0.987"
"16331","0.988","0.988","0.988"
"16334","0.988","0.988","0.988"
"16344","0.989","0.989","0.989"
"16347","0.988","0.988","0.988"
"16348","0.989","0.989","0.989"
"16350","0.99","0.99","0.99"
"16353","0.991","0.991","0.991"
"16355","0.989","0.989","0.989"
"16357","0.99","0.99","0.99"
"16363","0.989","0.989","0.989"
"16376","0.989","0.989","0.989"
"16382","0.989","0.989","0.989"
"16383","0.99","0.99","0.99"
"16385","0.99","0.99","0.99"
"16387","0.99","0.99","0.99"
"16394","0.99","0.99","0.99"
"16396","0.992","0.992","0.992"
