"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"1261","0.986","0.986","0.986"
"1262","0.986","0.986","0.986"
"1263","0.984","0.984","0.984"
"1265","0.983","0.983","0.983"
"1272","0.984","0.984","0.984"
"1278","0.919","0.919","0.919"
"1279","0.94","0.94","0.94"
"1286","0.986","0.986","0.986"
"1289","0.987","0.987","0.987"
"1291","0.984","0.984","0.984"
"1309","0.987","0.987","0.987"
"1310","0.987","0.987","0.987"
"1314","0.956","0.956","0.956"
"1316","0.952","0.952","0.952"
"1322","0.988","0.988","0.988"
"1325","0.986","0.986","0.986"
"1335","0.988","0.988","0.988"
"1336","0.988","0.988","0.988"
"1339","0.987","0.987","0.987"
"1343","0.989","0.989","0.989"
"1349","0.989","0.989","0.989"
"1352","0.988","0.988","0.988"
"1355","0.986","0.986","0.986"
"1370","0.989","0.989","0.989"
"1373","0.989","0.989","0.989"
"1376","0.99","0.99","0.99"
"1378","0.989","0.989","0.989"
"1385","0.989","0.989","0.989"
"1388","0.989","0.989","0.989"
"1390","0.99","0.99","0.99"
"1391","0.99","0.99","0.99"
"1392","0.986","0.986","0.986"
"1399","0.989","0.989","0.989"
"1402","0.989","0.989","0.989"
"1404","0.99","0.99","0.99"
"1408","0.988","0.988","0.988"
"1409","0.99","0.99","0.99"
"1413","0.988","0.988","0.988"
"1415","0.858","0.858","0.858"
"1417","0.946","0.946","0.946"
"1420","0.978","0.978","0.978"
"1421","0.981","0.981","0.981"
"1422","0.983","0.983","0.983"
"1430","0.985","0.985","0.985"
"1432","0.987","0.987","0.987"
"1436","0.985","0.985","0.985"
"1438","0.986","0.986","0.986"
"1442","0.985","0.985","0.985"
"1444","0.987","0.987","0.987"
"1448","0.987","0.987","0.987"
"1452","0.987","0.987","0.987"
"1454","0.986","0.986","0.986"
"1456","0.987","0.987","0.987"
"1458","0.987","0.987","0.987"
"1463","0.985","0.985","0.985"
"1470","0.987","0.987","0.987"
"1472","0.986","0.986","0.986"
"1473","0.985","0.985","0.985"
"1474","0.984","0.984","0.984"
"1479","0.988","0.988","0.988"
"1485","0.988","0.988","0.988"
"1490","0.99","0.99","0.99"
"1492","0.985","0.985","0.985"
"1493","0.987","0.987","0.987"
"1496","0.985","0.985","0.985"
"1497","0.989","0.989","0.989"
"1499","0.988","0.988","0.988"
"1501","0.989","0.989","0.989"
"1505","0.988","0.988","0.988"
"1506","0.99","0.99","0.99"
"1508","0.988","0.988","0.988"
"1510","0.986","0.986","0.986"
"1511","0.988","0.988","0.988"
"1512","0.988","0.988","0.988"
"1514","0.989","0.989","0.989"
"1515","0.985","0.985","0.985"
"1516","0.987","0.987","0.987"
"1517","0.989","0.989","0.989"
"1518","0.987","0.987","0.987"
"1526","0.988","0.988","0.988"
"1529","0.99","0.99","0.99"
"1534","0.988","0.988","0.988"
"1543","0.989","0.989","0.989"
"1553","0.989","0.989","0.989"
"1554","0.989","0.989","0.989"
"1557","0.99","0.99","0.99"
"1569","0.99","0.99","0.99"
"1570","0.991","0.991","0.991"
"1572","0.99","0.99","0.99"
"1574","0.989","0.989","0.989"
"1575","0.989","0.989","0.989"
"1576","0.989","0.989","0.989"
"1578","0.989","0.989","0.989"
"1579","0.99","0.99","0.99"
"1589","0.99","0.99","0.99"
"1592","0.989","0.989","0.989"
"1594","0.989","0.989","0.989"
"1596","0.991","0.991","0.991"
"1597","0.99","0.99","0.99"
"1601","0.989","0.989","0.989"
"1603","0.989","0.989","0.989"
"1608","0.989","0.989","0.989"
"1617","0.989","0.989","0.989"
"1618","0.989","0.989","0.989"
"1619","0.987","0.987","0.987"
"1623","0.989","0.989","0.989"
