"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"91","0.36725","0.36725","0.36725","0.3359","0.3359","0.3359","0.1795","0.1795","0.1795"
"92","0.36435","0.36435","0.36435","0.3374","0.3374","0.3374","0.193","0.193","0.193"
"93","0.36615","0.36615","0.36615","0.33555","0.33555","0.33555","0.186","0.186","0.186"
"94","0.364","0.364","0.364","0.3374","0.3374","0.3374","0.1965","0.1965","0.1965"
"95","0.3665","0.3665","0.3665","0.34015","0.34015","0.34015","0.196","0.196","0.196"
"96","0.3635","0.3635","0.3635","0.3342","0.3342","0.3342","0.2005","0.2005","0.2005"
"97","0.36395","0.36395","0.36395","0.33755","0.33755","0.33755","0.204","0.204","0.204"
"98","0.36305","0.36305","0.36305","0.33795","0.33795","0.33795","0.2045","0.2045","0.2045"
"99","0.3611","0.3611","0.3611","0.3396","0.3396","0.3396","0.208","0.208","0.208"
"100","0.18355","0.18355","0.18355","0.20005","0.20005","0.20005","0","0","0"
"101","0.33305","0.33305","0.33305","0.287","0.287","0.287","0.048","0.048","0.048"
"102","0.3622","0.3622","0.3622","0.29735","0.29735","0.29735","0.156","0.156","0.156"
"103","0.3659","0.3659","0.3659","0.3062","0.3062","0.3062","0.162","0.162","0.162"
"104","0.36635","0.36635","0.36635","0.30785","0.30785","0.30785","0.1685","0.1685","0.1685"
"105","0.36335","0.36335","0.36335","0.3073","0.3073","0.3073","0.1685","0.1685","0.1685"
"106","0.3623","0.3623","0.3623","0.3093","0.3093","0.3093","0.184","0.184","0.184"
"107","0.35605","0.35605","0.35605","0.3083","0.3083","0.3083","0.1825","0.1825","0.1825"
"108","0.3535","0.3535","0.3535","0.30625","0.30625","0.30625","0.195","0.195","0.195"
"109","0.35315","0.35315","0.35315","0.3112","0.3112","0.3112","0.194","0.194","0.194"
"110","0.35195","0.35195","0.35195","0.30795","0.30795","0.30795","0.1995","0.1995","0.1995"
"111","0.34645","0.34645","0.34645","0.3083","0.3083","0.3083","0.204","0.204","0.204"
"112","0.3473","0.3473","0.3473","0.31205","0.31205","0.31205","0.194","0.194","0.194"
"113","0.34445","0.34445","0.34445","0.306","0.306","0.306","0.205","0.205","0.205"
"114","0.3415","0.3415","0.3415","0.3104","0.3104","0.3104","0.2075","0.2075","0.2075"
"115","0.3437","0.3437","0.3437","0.30855","0.30855","0.30855","0.2125","0.2125","0.2125"
"116","0.3425","0.3425","0.3425","0.30985","0.30985","0.30985","0.211","0.211","0.211"
"117","0.3371","0.3371","0.3371","0.30825","0.30825","0.30825","0.213","0.213","0.213"
"118","0.3388","0.3388","0.3388","0.30905","0.30905","0.30905","0.2145","0.2145","0.2145"
"119","0.33795","0.33795","0.33795","0.31315","0.31315","0.31315","0.2125","0.2125","0.2125"
"120","0.3373","0.3373","0.3373","0.3082","0.3082","0.3082","0.219","0.219","0.219"
"121","0.3355","0.3355","0.3355","0.31045","0.31045","0.31045","0.214","0.214","0.214"
"122","0.33425","0.33425","0.33425","0.31185","0.31185","0.31185","0.21","0.21","0.21"
"123","0.33185","0.33185","0.33185","0.30995","0.30995","0.30995","0.217","0.217","0.217"
"124","0.33155","0.33155","0.33155","0.31035","0.31035","0.31035","0.213","0.213","0.213"
"125","0.2496","0.2496","0.2496","0.2335","0.2335","0.2335","0.0175","0.0175","0.0175"
"126","0.35255","0.35255","0.35255","0.2926","0.2926","0.2926","0.065","0.065","0.065"
"127","0.3725","0.3725","0.3725","0.3052","0.3052","0.3052","0.126","0.126","0.126"
"128","0.3871","0.3871","0.3871","0.30835","0.30835","0.30835","0.1475","0.1475","0.1475"
"129","0.3988","0.3988","0.3988","0.31045","0.31045","0.31045","0.155","0.155","0.155"
"130","0.4104","0.4104","0.4104","0.31025","0.31025","0.31025","0.1695","0.1695","0.1695"
"131","0.4161","0.4161","0.4161","0.30895","0.30895","0.30895","0.18","0.18","0.18"
"132","0.42605","0.42605","0.42605","0.312","0.312","0.312","0.1855","0.1855","0.1855"
"133","0.43045","0.43045","0.43045","0.3113","0.3113","0.3113","0.198","0.198","0.198"
"134","0.43225","0.43225","0.43225","0.3116","0.3116","0.3116","0.202","0.202","0.202"
"135","0.4345","0.4345","0.4345","0.3142","0.3142","0.3142","0.2105","0.2105","0.2105"
"136","0.44045","0.44045","0.44045","0.3106","0.3106","0.3106","0.2145","0.2145","0.2145"
"137","0.44495","0.44495","0.44495","0.31295","0.31295","0.31295","0.218","0.218","0.218"
"138","0.4464","0.4464","0.4464","0.31075","0.31075","0.31075","0.223","0.223","0.223"
"139","0.44815","0.44815","0.44815","0.30965","0.30965","0.30965","0.2305","0.2305","0.2305"
"140","0.44965","0.44965","0.44965","0.3143","0.3143","0.3143","0.234","0.234","0.234"
"141","0.4501","0.4501","0.4501","0.3159","0.3159","0.3159","0.2375","0.2375","0.2375"
"142","0.4525","0.4525","0.4525","0.31055","0.31055","0.31055","0.238","0.238","0.238"
"143","0.45495","0.45495","0.45495","0.31335","0.31335","0.31335","0.243","0.243","0.243"
"144","0.4563","0.4563","0.4563","0.31455","0.31455","0.31455","0.247","0.247","0.247"
"145","0.4573","0.4573","0.4573","0.31455","0.31455","0.31455","0.2445","0.2445","0.2445"
"146","0.4574","0.4574","0.4574","0.31315","0.31315","0.31315","0.245","0.245","0.245"
"147","0.45895","0.45895","0.45895","0.3154","0.3154","0.3154","0.2515","0.2515","0.2515"
"148","0.45915","0.45915","0.45915","0.3143","0.3143","0.3143","0.258","0.258","0.258"
"149","0.46","0.46","0.46","0.3142","0.3142","0.3142","0.262","0.262","0.262"
"150","0.1248","0.1248","0.1248","0.19415","0.19415","0.19415","0.039","0.039","0.039"
"151","0.29365","0.29365","0.29365","0.2766","0.2766","0.2766","0.088","0.088","0.088"
"152","0.3245","0.3245","0.3245","0.2925","0.2925","0.2925","0.1115","0.1115","0.1115"
"153","0.3375","0.3375","0.3375","0.30095","0.30095","0.30095","0.1285","0.1285","0.1285"
"154","0.3385","0.3385","0.3385","0.30565","0.30565","0.30565","0.139","0.139","0.139"
"155","0.3426","0.3426","0.3426","0.3075","0.3075","0.3075","0.1535","0.1535","0.1535"
"156","0.3429","0.3429","0.3429","0.3063","0.3063","0.3063","0.1645","0.1645","0.1645"
"157","0.3438","0.3438","0.3438","0.3102","0.3102","0.3102","0.1885","0.1885","0.1885"
"158","0.3442","0.3442","0.3442","0.3091","0.3091","0.3091","0.197","0.197","0.197"
"159","0.34125","0.34125","0.34125","0.30835","0.30835","0.30835","0.207","0.207","0.207"
"160","0.3422","0.3422","0.3422","0.3128","0.3128","0.3128","0.209","0.209","0.209"
"161","0.3404","0.3404","0.3404","0.3126","0.3126","0.3126","0.2095","0.2095","0.2095"
"162","0.33845","0.33845","0.33845","0.31255","0.31255","0.31255","0.2105","0.2105","0.2105"
"163","0.33805","0.33805","0.33805","0.31595","0.31595","0.31595","0.21","0.21","0.21"
"164","0.3385","0.3385","0.3385","0.31505","0.31505","0.31505","0.2125","0.2125","0.2125"
"165","0.33465","0.33465","0.33465","0.31445","0.31445","0.31445","0.207","0.207","0.207"
"166","0.33415","0.33415","0.33415","0.31485","0.31485","0.31485","0.212","0.212","0.212"
"167","0.334","0.334","0.334","0.3141","0.3141","0.3141","0.215","0.215","0.215"
"168","0.3332","0.3332","0.3332","0.31395","0.31395","0.31395","0.22","0.22","0.22"
"169","0.33315","0.33315","0.33315","0.315","0.315","0.315","0.2255","0.2255","0.2255"
"170","0.33225","0.33225","0.33225","0.31415","0.31415","0.31415","0.219","0.219","0.219"
"171","0.33165","0.33165","0.33165","0.3123","0.3123","0.3123","0.2275","0.2275","0.2275"
